milliseconds,M,N,Z
0,2.5,1.5,0.5
100,2.815686464696991,1.5045246560409649,0.5023548261476921
200,2.991539595900011,1.5090974051297439,0.5045661464235331
300,3.085338127703571,1.5137164761735125,0.506639866747738
400,3.134095975914889,1.51838016422337,0.5085818101083205
500,3.1589682750967185,1.5230868309829158,0.5103976939800254
600,3.1714181230953824,1.5278349035920493,0.5120931141119898
700,3.177460174050619,1.532622873872654,0.5136735306472221
800,3.180222588401866,1.5374492968584819,0.5151442570303862
900,3.181294770268286,1.54231278926161,0.5165104512017257
1000,3.181504867231312,1.5472120280358503,0.517777108524651
1100,3.181267474016848,1.5521457486040158,0.5189490568462288
1200,3.1808004961742107,1.5571127431454046,0.5200309529288281
1300,3.180217480574466,1.5621118587640899,0.5210272804368424
1400,3.1795735020738913,1.5671419956230808,0.5219423492976729
1500,3.178894843687654,1.5722021050697548,0.5227802960344319
1600,3.1781941556363256,1.577291187744209,0.5235450851837242
1700,3.1774798700580433,1.582408291687806,0.5242405112209588
1800,3.1767589980959245,1.587552510456376,0.524870201242552
1900,3.1760346744264365,1.5927229812497872,0.5254376185782366
2000,3.175307475344175,1.597918883073408,0.5259460667205983
2100,3.174576614561921,1.603139434935863,0.526398693649823
2200,3.173840287700988,1.6083838940726263,0.5267984963990046
2300,3.1730992166182403,1.613651554241873,0.5271483258274804
2400,3.1723547341635774,1.6189417440400469,0.5274508914591292
2500,3.1716075507901076,1.624253825271091,0.5277087666375941
2600,3.170857852064576,1.6295871913727402,0.527924393710299
2700,3.1701062157610957,1.6349412659825666,0.528100089236022
2800,3.1693525480044196,1.6403155013280275,0.5282380491710023
2900,3.168594148471644,1.6457093766021917,0.5283403539391218
3000,3.167832931025957,1.6511223972089646,0.5284089734849738
3100,3.167067329141434,1.6565540926731077,0.5284457723267014
3200,3.1662991403889245,1.6620040162016583,0.5284525143202623
3300,3.165528894178462,1.6674717429197405,0.5284308674707009
3400,3.1647571883094128,1.6729568689869085,0.5283824086329098
3500,3.163983978394938,1.6784590104522499,0.5283086275173097
3600,3.163208670324159,1.6839778019961835,0.5282109319082723
3700,3.1624313031278035,1.6895128962838415,0.5280906505610039
3800,3.161651433256675,1.6950639616005543,0.5279490428282594
3900,3.1608700212838086,1.7006306811088587,0.527787302638587
4000,3.160086155649236,1.706212757610124,0.5276065367476666
4100,3.159299552655485,1.7118099067273755,0.5274077950292045
4200,3.158511703192429,1.71742184776123,0.5271921102869112
4300,3.1577215123649447,1.7230483312581937,0.5269603778935744
4400,3.156928752167126,1.7286891148298515,0.5267134611298996
4500,3.156134552686322,1.7343439456363705,0.5264522662345781
4600,3.155338431553732,1.7400126122193498,0.5261775193757685
4700,3.154540429077918,1.7456949060366236,0.5258899323095421
4800,3.153740764045051,1.7513906030966735,0.5255902844028467
4900,3.152939483738679,1.7570995191976326,0.5252791789034426
5000,3.152136704321457,1.7628214719867212,0.524957210344371
