milliseconds,IR,IRp,IRins,IRip,IRi,IRS1,IRS1p,IRS1p307,IRS1307,X,Xp,PKB,PKB308p,PKB473p,PKB308p473p,mTORC1,mTORC1a,mTORC2,mTORC2a,AS160,AS160p,GLUT4m,GLUT4,S6K,S6Kp,S6,S6p
0,50.54140881596183,0.0006772459563088361,0.641073904641588,0.014931056223168445,0.06924495841478068,86.25934491522374,0.0008894102713673147,-0.024626337843541256,13.724391718471015,99.99867902769296,0.0012748676675766895,77.11778186625219,11.102556616737667,9.714793811327883,0.7494534710313853,96.57282651057326,2.836480588428983,99.9088982166255,0.1004617044001077,96.9269175944009,4.461788047437496,4.87648680212434,45.924276866529944,99.84376826369717,0.18097041645924947,98.04886265479777,1.7713282189542643
100,27.22451100794394,0.010636921746254425,22.985515842808557,0.026596033572446772,0.08202573101714761,86.20914784737296,0.0020021306942441305,0.03706997676399828,13.890014197325229,99.99869389620221,0.001282317441527016,70.7261016098966,18.595644976752684,9.612624326236135,-0.6034007021827492,95.39123817091249,2.3975683631544262,99.92128139149719,0.08440561013482863,94.98712784276961,5.008597145955632,5.148608195447607,45.16780811528402,99.83345810814993,0.18131724828245013,98.28607484776211,1.8360511464939033
200,16.528102733138667,0.015334581903442538,34.04420345494353,0.05642494442986745,0.0864124135566211,85.95864234971546,0.004044828360030764,0.13361472943572758,13.765812880251964,99.9986275000559,0.0013206154171893194,56.19376568221207,34.37880838314068,8.664941829895001,0.15624309584217927,92.22874957675143,8.43335888486975,99.88347624165569,0.12465137267681609,95.11529550710955,4.760105500521252,5.346245103598977,44.49359225154398,99.84456823169789,0.17629667008981034,98.31814346440149,1.6465930028529843
300,11.257947021156074,0.017232382328859347,38.79335688778223,0.08829503213323563,0.10026745950479088,86.19131825634305,0.006409026601538868,0.25682936977307014,13.965069251673562,99.99848727526772,0.0014547988028532225,43.72963931439171,42.87121576434488,11.180918684524974,1.5712323815057272,85.97049446924984,13.860106965193062,99.8274368645154,0.16447468665161294,92.00700743056463,10.378244688486317,8.998592562624856,41.59067021172879,99.81226238333706,0.17153546086690194,98.34404243931412,1.6693633183433159
400,8.67174429187269,0.01866608387197863,40.92706397685438,0.11708496054841938,0.08515149203186022,85.71319308751377,0.00821315764404397,0.43763811114753826,13.949306806275894,99.99857400280901,0.0016046731663660976,37.49969284151468,46.78242246308437,14.034490899756635,2.770290050494122,81.51050979192398,20.634612448228147,99.74370876674777,0.24283676551143776,85.01173502984462,15.672546582201441,12.378578643526614,37.45377128121806,99.80797491353016,0.17534777551041172,98.03143836866792,1.767288572376323
500,7.433205913408886,0.019299746753981047,42.205894665934814,0.13880716218238495,0.1521194450320133,85.11038759892061,0.009455134439481956,0.7216815199586022,13.857308779885491,99.99829799258661,0.0016184213107215076,30.85095714072766,48.62492786610071,18.868072688940163,4.424793533155899,74.32366462772833,28.054181819307757,99.6871188550965,0.33747937231632535,78.52274668529023,22.911473831804592,16.03374928933419,33.364165159941216,99.81622518517682,0.16841366933039298,97.95789683851534,1.8644056012456742
600,5.9618208309888745,0.0193756297893145,42.98127414249138,0.15448927856391848,0.15433799313415852,84.29533781343854,0.010217004635062107,1.0685846221345552,14.12470598544486,99.9983047095938,0.0016459276577018222,27.756067127499684,44.81562718881967,20.695139085779388,7.654010777753478,62.20887745128105,35.69817151729272,99.5925434392532,0.3909936945839051,70.46459232582316,31.727736089507008,20.65928963363918,29.04216885034539,99.81799584015731,0.19383630245830885,97.95652792646295,1.806246715888846
700,6.176369461493323,0.019324980027925702,42.78425635457942,0.1582143585977539,0.2087779016931932,83.6311083705646,0.01056835530435551,1.4063986129633754,14.526029748215953,99.9980665443935,0.0018411445043703689,23.698446422149633,41.62984512593159,22.970017978884034,10.685292602577666,54.06713610929642,45.02048218045922,99.50511504766057,0.4721207376108162,60.01128543619902,37.92045402904085,23.185434945000846,26.90213054233645,99.7969180475705,0.18605930949415486,97.84736670338084,2.1252692519380165
800,6.367230577677706,0.019341073802922708,43.29137589744791,0.16272790599341566,0.25344306947232503,83.1511575083352,0.010715288932023967,1.7231147646267442,15.15519721709477,99.9979851783969,0.002003809994196107,21.39067141143306,36.010199409058885,29.0542406980002,15.460369364354987,47.49501139502133,53.4832272144704,99.43859674713494,0.5799387926540633,52.738957351934346,46.62214738741954,25.3419254728566,24.934891302902994,99.78770631264162,0.1900533503051818,97.72489332486263,2.05644171868904
900,5.815411325855385,0.019557838294505654,43.65869371903899,0.16097442895272934,0.3291880355035337,82.29387037701656,0.010681691621188785,1.9194723217113026,15.69943352806813,99.99780067675924,0.00219887970081106,17.97564421927222,31.689403459651842,31.6311364836146,18.36472295303542,42.444575529930155,57.2348126455891,99.33545627816704,0.6597916275739022,49.96277732668384,51.18988614949005,27.135260579936592,23.06355396622599,99.78237912456309,0.21958233096419552,97.7124598130386,2.3920724186520124
1000,5.545738270606537,0.019561606190314787,42.84494069674765,0.1546030819824456,0.37808218745879413,82.09282419396615,0.01043463821557657,1.9411946117084822,16.181723640729707,99.99781801669401,0.002288726336881512,16.90859006866631,26.618850324786198,34.92907117852367,21.245994592082305,36.57620801623483,60.423127141909525,99.29168797648127,0.723769737151428,44.89371610469243,55.52990542262452,26.88072692318834,22.447236563386966,99.76769008627838,0.21799049098858142,97.54383690424307,2.3647916769768886
1100,6.246129590647783,0.019638309591566174,43.39216552482512,0.15126443912854978,0.3927458444112637,81.25337345941242,0.01001900030581726,2.0137063640296646,16.315179974336086,99.99756338386133,0.002394068386141684,14.929585253354047,22.2438867258469,40.45771816434309,23.854481695153005,36.07139438205638,62.58943527701096,99.21303988638176,0.7635969589596985,43.14697208818116,56.78887879137097,28.260397694400737,21.617940361003615,99.74174866847721,0.23419419311679435,97.37601401076188,2.5057000997705767
1200,5.4383722324009405,0.01938846756378968,43.07555550399384,0.14582324668361488,0.46518197730095884,80.91287036004763,0.00949636727836231,1.9617824888424693,17.247307814842667,99.99755116329155,0.002526680313164039,12.801721722879314,17.98986677767702,43.050333058734104,24.829859871159975,35.28969795269974,64.14577445628036,99.18481529296915,0.8223132963666538,42.3790698095294,56.97234231167783,27.828356290176135,21.253449633933162,99.74595720389799,0.2722812634473882,97.33089080508154,2.568779055297565
1300,5.385116776063532,0.019177702383026834,42.75032413672367,0.13693432170488604,0.5015597387100679,80.6204363335121,0.009269863451388399,1.8828146884068275,17.34182755042238,99.99747689930426,0.002659831908674971,10.241367856724418,16.18761070156913,47.29419130372195,26.25600233088352,33.77845214868461,67.53198132126701,99.14232030706852,0.8563590248193769,41.11383788984479,58.959348306012735,28.778783467954316,20.97035941727353,99.71972944000153,0.26126351155904853,97.1177199127747,2.8702432406704084
1400,5.7208372679772,0.01926000861007941,43.04983301483621,0.1346234625561302,0.5252083005368794,80.43720236940254,0.008859268138906999,1.7716762387962024,18.043835911456412,99.99739479620064,0.0026580405113714456,11.138865074558204,13.438070676341363,48.00793872453612,26.59504360242013,34.41101932860882,68.1885323528644,99.13317482734597,0.8618234541681251,39.92276258038478,59.25176578773617,28.229046146950274,21.337486622651074,99.69777237375853,0.2890900415345675,97.00358881540217,3.0433455603321833
1500,6.4511758431508515,0.019245506854710343,43.938722661072994,0.12733719628577284,0.5798271119236115,80.13587850048019,0.008602517082641039,1.6899213220742797,18.435950955325314,99.9972856011916,0.0026786195757831587,8.823133153132066,12.605632513127816,52.06723700389546,27.135222027823723,33.18417792304388,67.86037088904583,99.10628097572825,0.8992958699540763,40.105756097781644,60.13982409887807,28.99975336021688,21.333202395352988,99.68136556908169,0.30223507026584,96.89872930287838,3.0502382394475163
1600,5.482238175245525,0.019571664225171946,43.025935287539205,0.12597965460841076,0.6158257279161423,79.7571342341267,0.007951925432672445,1.670652200117247,18.43326113877046,99.99705347789474,0.0029125828747979744,7.550837105430164,10.323458380674813,53.51275589940351,26.206460487903207,34.21230299790986,68.1362740373567,99.08272168642,0.9063850933307538,41.163057918771266,60.253572308531446,28.436183584036158,21.280276103841057,99.6909168220214,0.31403397754473295,96.60503596852008,3.389789825895791
1700,6.411118835621578,0.019324420941270327,43.662407880909576,0.11840476658451335,0.6222970451225773,79.85440409137773,0.007886220106904629,1.5240753015182333,18.991953065812886,99.99702139433461,0.002995195409339754,7.789112273390751,9.107690021791896,55.20005179065452,25.545137524132596,34.46845668262403,67.45114967255822,99.10991149040898,0.8845343387252688,41.38093377917749,60.632226295457,28.114443003745972,20.94926830710165,99.67340743946531,0.3266244372140885,96.61117840570853,3.460399281080323
