miliseconds,BMAL1,ROR,REV,DBP,E4BP4,CRY,PER,PERCRY
0,1.006563093183302,0.9831279089378986,109.82655369999924,0.9994946913935038,80.1695316963551,1.0088032346362816,25.035851619862374,-0.041650984175528705
100,1.2853102702101669,1.0992891897141264,108.95143660044631,0.9989495093697554,78.17167696306399,1.0567576659081754,24.12377964975533,0.3958674012221237
200,1.468593722641819,1.2095794424833497,108.1800084119081,1.0050136013923798,76.93369172573173,1.0549610752190757,23.457800253839952,0.7120857557360687
300,1.577287193046517,1.3552888330017827,107.61888702146996,1.0116908416311754,75.4526267643889,1.2002477231208173,22.797899035586685,0.8967923824877514
400,1.6389361618262306,1.4469156250964057,106.70985504633352,1.0173250316102058,74.33813001145835,1.3263555126586264,22.318051504501945,1.0022883052715017
500,1.6698957850283744,1.567867944105386,106.28904251087363,1.024551698869125,73.09929949519243,1.3857329886285836,21.75493684952206,1.073990915791467
600,1.6875487277278993,1.6661239297110813,105.54517207987432,1.0318038945084578,71.66965629787167,1.5042096429529737,21.16751987078427,1.1474244279353618
700,1.6818851545884919,1.7771106651652626,104.94224762173435,1.037451224635037,70.67085008239754,1.6479806830652681,20.684605718557908,1.2462411989270015
800,1.6894044219948283,1.8907519323889366,104.1265443964675,1.0440212856331488,69.58002001461828,1.7567138857815814,20.382625507990948,1.303772695490802
900,1.6778224958556864,2.001792842385352,103.86224083378971,1.0532145222398026,69.15973457371538,1.85001902004038,19.848354946075013,1.3929615730467573
1000,1.6568900909754154,2.1184757526584375,103.40974312743943,1.057456865166126,68.21010510740788,1.928629481948751,19.455969538027894,1.509931366961959
1100,1.6617841469180052,2.246390085400016,102.7856715002566,1.0661709922539784,67.60746264303128,2.106281966914796,19.202683662065283,1.5300519634618286
1200,1.6335622979789113,2.3277733347573535,102.36903423454008,1.0704820552270042,66.73784482546881,2.171426775839597,18.746967212105037,1.662547173224612
1300,1.6215465944338476,2.4093686944999173,101.91313399096441,1.0772017720587395,65.97648971641439,2.2540468192508505,18.365468266486126,1.734361712416339
1400,1.6031803468557084,2.558525353727809,101.27483195860425,1.0820624880662015,65.7424287144477,2.338178390243319,18.16288613272311,1.7785096269355813
1500,1.5945956404646413,2.625585178432788,100.98608928370794,1.0862145975208657,65.22889888742915,2.4967920515157935,17.939501295323176,1.8361427000080326
1600,1.5711691432024426,2.6467101397631505,100.70134040642567,1.0911159114327311,64.7138467907995,2.511846840736627,17.723909398878146,1.8763161948212521
1700,1.544107157937463,2.722777302513965,100.2443300361976,1.0954485070935591,64.09596317310927,2.653834470376255,17.31310242055301,1.9730564345172896
1800,1.5185024751600753,2.860487350145665,99.94827967413562,1.0990374351617278,63.98299348389584,2.698450343714371,17.14097319361837,2.060636210814755
1900,1.503742617205399,2.9102517822538,99.95960856764692,1.1037783407210457,63.48721236338123,2.7732136245350696,16.989202866934157,2.0731400634453303
2000,1.4679152696236517,2.975381731133957,99.59566322657987,1.1074728768870457,63.25529598002656,2.819766324055997,16.71318165286736,2.108368092661318
2100,1.4575088294467797,3.0232188709147523,99.31486959448254,1.1082262985971716,63.25257569489716,2.8725712750581467,16.69203560546937,2.2393279914051267
2200,1.4359301811245202,3.0782715634634217,98.90187281219657,1.1108710287483994,62.901025960309624,2.9837691882441746,16.25525206877779,2.22912359727414
2300,1.4107634773057962,3.159204428229118,98.61068704635282,1.1138642484433658,62.84291175904506,3.0714420059939385,16.14342507906956,2.3059190292736877
2400,1.387596133793369,3.205416518709879,98.559112087295,1.1158968162886937,62.494865711234766,3.1160586841869238,15.980833668739303,2.4174377074750097
2500,1.381695403417909,3.1883839904182754,98.15630050064814,1.116299464509474,62.068436981361856,3.1741700976524245,16.02270204539888,2.429296270670171
2600,1.358382472370058,3.2614067912829285,98.27505054137107,1.1181955749000045,62.03844085189287,3.172233644450852,15.770975549595427,2.521901512566295
2700,1.323256619359813,3.3234714952369537,97.72599604939785,1.1186382683069411,62.01733388299701,3.2117113536235453,15.813066604931741,2.549235347758512
2800,1.316087242751546,3.308906162497552,97.58808486903656,1.1202052362847195,61.89710517214216,3.3134256766169097,15.635611616945921,2.6306067181965487
