miliseconds,N,I,Q
0,19962234739.988083,49955891.913095325,6.575903783967858
100,17779481655.185795,46485498.603088446,701.1603661855991
200,14367645987.725826,40017923.81228677,615.7477388103533
300,12164543145.10787,36146208.20703161,408.89374284807525
400,10883428443.967888,34094919.53913622,267.98279112859274
500,10154580257.445911,32821063.999250077,183.16900773545095
600,9548467063.233395,31616135.84327243,123.88130399259336
700,9171099987.834139,31237697.399580356,74.65730740123333
800,8949189973.26624,30821989.07192089,46.1127131184566
900,8885875979.158907,30581649.640062667,27.3210617131894
1000,8776820119.69154,30479606.44842627,21.060042196216585
1100,8700393483.837643,30412886.679928154,9.094071320034091
1200,8602913092.712318,30692363.095238097,11.710146371795238
1300,8757382037.828989,30565060.919184335,12.358636587530174
1400,8734544720.850931,30562528.933894724,10.116534926483707
1500,8726578702.8095,30766207.404587835,3.0728673843151917
1600,8543391132.920562,30567863.016704712,-1.263996230668449
1700,8638525233.738695,30630551.61044434,2.895694489570894
1800,8654876065.656576,30660542.67176115,5.831972455033039
1900,8757401976.750315,30750948.491408844,1.056966249856943
2000,8749010018.772526,31026490.438336615,-4.982609914403059
2100,8624453102.358477,30921467.500956953,-3.8759601513724893
2200,8750366100.210396,31104759.44996374,6.611946190929777
2300,8640773856.969769,30964137.12782929,1.7254625761099578
2400,8711638336.189592,31345126.877475653,-0.16060570347160041
2500,8659557140.45237,31417941.01625763,5.240944789169315
2600,8600194592.036993,31432875.09958658,6.946710892494594
2700,8677872547.248093,31381040.016597383,0.9565195829267478
2800,8744333116.121134,31438870.154156387,2.5845572896144304
2900,8628807651.081387,31634874.978830844,4.516274527437711
3000,8646300299.10356,31558373.411722656,1.5081672417488428
3100,8690293437.293148,31538053.070030395,3.107178653750811
3200,8669857239.587393,31706294.428154238,6.302363894541818
3300,8669254068.717447,31872107.839200467,7.0875264911880524
3400,8709999069.387804,31876309.218599956,4.589710249793406
3500,8790328837.319998,31735541.435010236,5.2075365028640945
3600,8681655741.999826,31802172.768790517,-0.1267298057994363
3700,8856985268.973707,32128926.39440933,1.5377374306601321
3800,8864084301.649698,32141443.07234102,-4.442540353849925
3900,8807304021.655209,32054163.272502508,3.658476285960478
4000,8807535387.949629,32161833.47857722,-4.796826333010483
4100,8768472198.551529,32258144.778383408,6.9196119926519915
4200,8798715832.198053,32454006.66198303,-7.049077140745915
4300,8847447519.609068,32372865.527133677,-7.080398883150946
4400,8843787329.980972,32557572.69287391,-0.006260185607455664
4500,8938031786.535767,32399296.07854396,3.1056780333057055
4600,8934721587.812845,32615009.396685954,3.3082079138687335
4700,8759829703.836655,32554615.049424212,1.7152190058790435
4800,8811936038.053146,32628785.883962333,-1.5620103535973668
4900,8865317895.62208,32927182.828032024,3.789306719875009
5000,8920804906.61271,32721459.217849478,-2.2108507148046486
