miliseconds,N,I,Q
0,20052903770.903446,50024768.890760146,-3.7395369421107745
100,17756927396.2021,46542780.30033908,705.940199908309
200,14273947870.577463,40228016.057671316,623.2669198219544
300,12084514238.390158,36384389.55572875,410.25504732077775
400,10909131730.34659,34186069.97525662,263.05699026119726
500,9983741391.508018,32572047.587066382,177.58810011823303
600,9605969215.809855,31799482.166515704,112.93829004145915
700,9186093615.721375,31147015.901864424,81.19569592832632
800,9058999648.768106,31079457.847927134,57.24246519093865
900,8898307523.626959,30673398.39820301,32.70796052212583
1000,8720890620.700415,30447681.153494712,24.773605934970842
1100,8621000180.094486,30462168.640408665,18.266665400319063
1200,8671166610.45112,30388030.841635536,12.71161049481171
1300,8572982411.2356415,30496343.930792056,8.533998706451507
1400,8605481368.918867,30590383.702481773,10.491779829579805
1500,8752388418.370806,30679542.997819543,-0.4532204445262047
1600,8562267531.066787,30714346.69939158,-5.155708288450944
1700,8555502841.224635,30593607.957028523,6.165529274278724
1800,8634214939.819826,30888104.41085507,-5.731085708242787
1900,8659714589.476732,30844801.259395912,5.61986996875126
2000,8651612765.100616,31059052.47773889,-3.4659947561177287
2100,8758056502.170406,30973926.436591472,-4.166051143028908
2200,8779206832.45861,31043110.332345217,4.184205719565187
2300,8712029882.226645,31222878.750279974,2.8998755492425126
2400,8709250800.326775,31105419.653124113,-5.297849753046711
2500,8732478603.571993,31414043.86836432,-1.777366449625424
2600,8672260562.124702,31409960.877339274,6.0823470545911125
2700,8774588312.023117,31307537.731408525,0.019614346857133983
2800,8608833029.845785,31511666.844411124,4.924335479074202
2900,8616239330.21249,31415782.064743545,-2.682511971076699
3000,8808442638.63749,31640807.2572682,6.72409372324553
3100,8773954670.006235,31684248.072249502,1.666256906143141
3200,8727521878.414095,31861411.985895198,4.323589445034809
3300,8733958022.132792,31589454.38072007,-3.154355665300131
3400,8815306429.24743,31686678.27200232,-4.057874160741115
3500,8823942804.638533,32026598.422573056,1.5610136447650746
3600,8864477961.673113,31963485.021881852,-0.9834028619276827
3700,8820908623.871195,31864050.505485617,2.150543557941759
3800,8717348352.384102,31916521.235448763,-0.678144962055603
3900,8808825583.207352,32267039.022415243,-2.677009935865899
4000,8810739600.809706,32152134.883638382,-6.987754043900498
4100,8906762895.567049,32326225.39957065,6.000076723515729
4200,8738386343.77639,32476010.113807485,-7.173442671933924
4300,8759659805.943142,32521322.470110875,-1.1545658230349427
4400,8774988330.479126,32425330.470837753,4.815386441125142
4500,8807996056.143875,32681128.936037835,1.0074063495429837
4600,8847538284.483507,32430842.580618452,-4.173356264032603
4700,8761532466.722118,32666166.135295562,-3.723334942085258
4800,8851429364.432526,32769320.112418544,-1.8430831819523055
4900,8934876757.248775,32915754.907873783,0.5400649593269271
5000,8852167726.28491,33024828.15952699,0.9991731367557061
