miliseconds,N,I,Q
0,19960844527.730606,50057038.02388224,6.5256412547071045
100,17702430002.06677,46479724.26655567,702.6326315383151
200,14364856686.542051,40259232.39978402,617.4920701331986
300,12175791935.098087,36198820.59086814,409.5285697178567
400,10927692826.300308,34160253.99508958,268.9364290406016
500,10131430099.390612,32803111.92198601,177.85299984616725
600,9552100982.568998,31736160.36164282,115.61038939189346
700,9275210156.339256,31082539.611810647,81.23091796073149
800,9065768278.602655,30999669.95729787,50.528491356350564
900,8896881782.35046,30722907.60929269,38.42981901283507
1000,8686198215.902205,30736401.74090601,23.03164515518779
1100,8671674371.5733,30696559.32316216,18.147923773187483
1200,8613171952.557753,30567314.955472868,5.980280657886478
1300,8720129834.891106,30499018.653357588,10.380614743097189
1400,8742925293.21266,30439512.205112692,2.7395607949788436
1500,8730034057.020132,30523602.681448925,0.7825087546304506
1600,8558747255.676744,30754881.421886396,-1.221953846881744
1700,8623503764.76237,30890398.639489867,7.3615419387369965
1800,8707121384.922668,30794453.361486964,1.9618406109929813
1900,8631520238.6762,31039481.53887687,-1.9986843077433676
2000,8735059355.700127,30777070.612352964,3.9983284919363804
2100,8569623334.019386,30978503.833270755,-5.454362994401789
2200,8739360765.176409,31187113.933627944,2.7667011441249163
2300,8591829845.777245,31062779.056279697,5.681667471116041
2400,8643599798.631361,31029831.187805206,-2.0626142875255877
2500,8724917108.57171,31339192.255159542,-1.8133797763604858
2600,8663929084.359465,31448208.874816146,-4.008994312985485
2700,8735815115.6965,31275726.53541545,-6.433669091367489
2800,8764341847.233541,31525130.74348491,-0.4566408126024947
2900,8690771257.249851,31565156.599980585,7.050054306785121
3000,8663987143.425932,31534646.21472969,0.4122625508047678
3100,8810536019.293917,31710215.423967957,-4.168582929939609
3200,8639223930.801651,31672054.156393256,0.7618728184810984
3300,8669159931.13837,31861648.817042883,-1.2714402973660783
3400,8758496632.735441,31993895.70243583,-5.251622390880055
3500,8716383719.34348,31780439.998112127,-5.451507988124241
3600,8700448056.05478,32096684.57077595,-1.455839049029179
3700,8800761543.098543,31924141.133509275,-1.9479430688834654
3800,8783599746.99846,32082007.0756564,5.457461727993059
3900,8880611066.013987,32230412.64867383,4.172814854510303
4000,8781686311.70749,32147428.11189314,-6.7707832664232
4100,8898068443.88481,32103486.798459087,-1.0106726019885237
4200,8797693882.663994,32353528.598078568,-2.1609110172396986
4300,8801132431.96429,32356764.80040317,0.17150372084601115
4400,8789615665.672636,32609482.431160778,-1.901552189988347
4500,8914466343.838163,32424520.47921655,-1.2788921761458196
4600,8751590511.651632,32720465.23451721,-4.016122720290461
4700,8886427538.252222,32487442.220136702,3.741612155418875
4800,8863017693.199099,32616902.604038477,-2.707550357330062
4900,8931825573.02901,32967811.200948134,-5.1585737916572505
5000,8925331966.898935,32923440.45216844,-1.3922671790808543
