milliseconds,N,I,Q
0,20046441957.267315,50000487.669904485,0.9119825579771834
100,17788726853.851093,46408315.95401463,710.8152987887594
200,14373542827.9711,40050404.13491254,621.4744250312749
300,12280526428.4036,36318484.8948829,399.6931005585528
400,10847232894.489407,33887377.50907043,268.843484670391
500,10026830254.287334,32683703.74018122,176.9038306799194
600,9568317711.289095,31780019.201085452,122.32015217079288
700,9231718268.103422,31141983.50902917,76.88767482234644
800,8997485622.947325,30796056.15665359,54.07279241429893
900,8898345068.174429,30600270.72222896,38.37834422466691
1000,8682001963.810461,30659073.279743392,26.25177268183873
1100,8711889089.203722,30701800.71826434,8.637459968036953
1200,8748555906.317682,30456978.91695998,6.450397349716377
1300,8576743977.644882,30699461.88010158,3.337279096409796
1400,8625876327.917545,30671531.146936093,2.954993163647484
1500,8564332403.40203,30820757.44451295,4.477025412900774
1600,8610526995.547642,30823887.477465946,-3.694876654214959
1700,8555839199.607997,30789921.758942798,-4.334951620850587
1800,8557270083.793778,30907882.041540105,2.725970534326782
1900,8566554233.347876,30709487.824380446,2.1460294033873315
2000,8655054376.081646,31004221.409083378,2.802264391272333
2100,8654744930.49157,30887146.185133718,-1.9759526021320788
2200,8656057686.212652,31152676.266500775,5.06581107501896
2300,8641322407.040033,30953375.562106553,-6.236422220404675
2400,8642296932.571966,31067563.65133755,-4.647718809355937
2500,8652594491.396473,31380254.08141117,-3.637579197820065
2600,8675981609.880968,31175841.765127726,6.437959149180059
2700,8757327584.074278,31387853.874937415,2.53398841835861
2800,8806277205.233011,31602914.256673217,4.4329033097291815
2900,8623268643.294634,31675409.265125565,-5.177564148912312
3000,8834245180.815498,31480968.08835245,1.43781704492966
3100,8810594813.320692,31770377.38839546,-5.161229218528762
3200,8731968895.654175,31825726.135655306,1.210888902251939
3300,8802105760.284847,31903162.467958987,0.3246609219839448
3400,8749249267.994879,32002432.76863084,0.24727486397399767
3500,8742706986.631704,31862689.25391222,-0.8196491502275652
3600,8855424688.06265,31911340.233918022,1.1167250382562792
3700,8743295374.887522,31999377.118688706,-3.000675693772238
3800,8796939686.296272,32114817.95542042,1.659761733687389
3900,8872714067.255188,32140747.367364474,-5.360562345003196
4000,8818963296.61084,32314762.86121564,3.40887781996452
4100,8802385046.576977,32211531.5022884,3.2908905918662033
4200,8843870521.154709,32212351.316303235,-6.283597836097759
4300,8802543133.277906,32530189.6018563,-5.986370059474781
4400,8739211459.473263,32491170.133679193,5.411162277208384
4500,8833892507.461977,32386096.030405063,1.9829889828692626
4600,8930085811.83298,32507658.387558486,-4.388678092274945
4700,8957731655.16803,32840527.369310506,-6.689900478461779
4800,8908713759.002764,32732610.141695343,5.756539230567437
4900,8810019833.416906,32694556.487682506,7.225833445886375
5000,8945949077.06228,32989988.486349568,-6.760249031640898
