milliseconds,N,I,Q
0,20093873124.059715,50039760.2935433,2.628562940017957
100,17789142920.079376,46435365.162377,699.7047556687951
200,14260081997.22812,40047251.5784836,616.2021780668592
300,12098504929.349472,36207046.8899317,403.83299184252724
400,10864934825.948689,34073830.26679804,274.58280623035375
500,9991826460.035702,32659129.727297727,174.45809593868245
600,9467001788.515945,31624422.416247625,115.31675404513857
700,9161267625.432848,31388891.867480114,70.14361683382329
800,8976800676.904045,31079119.09184136,46.91087581864825
900,8868926933.389544,30722704.581997566,36.50297564812886
1000,8694353697.511744,30490011.764904182,27.799620544510937
1100,8714436952.774878,30691340.420947082,9.056743558545874
1200,8678378981.273046,30547371.836558226,15.895110204725999
1300,8732191021.101126,30558212.944143813,12.380833119419155
1400,8730858367.47801,30755521.139472347,6.444842126391258
1500,8599656668.036137,30708486.757341743,8.796381370093869
1600,8698448944.674412,30719400.309683856,-1.69827322555527
1700,8586547025.309368,30794093.085603707,6.644411156135936
1800,8690815567.288454,30705179.201670676,6.815840288020103
1900,8631951162.266699,30894099.754104756,6.901592998831049
2000,8717563907.446789,30770409.24016436,3.904202570618162
2100,8707745186.602383,31010291.549817678,0.5363502385021369
2200,8620775808.468866,31227334.605485875,-6.822352509581742
2300,8752590983.220692,31267722.0952288,-6.668567721206754
2400,8765704102.47468,31081746.511728268,4.811495305259463
2500,8744988883.71452,31155552.938349873,-0.886611417876209
2600,8710786093.76309,31366064.259562597,-3.1159357480304073
2700,8801549937.786291,31542043.162264187,4.760293994123338
2800,8816333671.593,31268354.986483634,6.512239855091881
2900,8675930047.344679,31437222.83025619,1.7494058350528958
3000,8669622500.843332,31740142.596725497,6.949439278332
3100,8816987206.214312,31498552.57810022,7.150526896859138
3200,8847422061.683716,31653973.630358398,1.2690030443563205
3300,8712932425.144444,31639141.94650262,-2.1744440189331193
3400,8813357997.432148,31875224.464852996,3.93919547558613
3500,8768164377.777536,31879579.530768998,-1.7112504835414106
3600,8685869257.102074,32119995.21578758,-5.63359781697579
3700,8743091146.408476,32065590.54895652,2.2283921179357145
3800,8702119585.137945,32125160.158555064,-4.7872854657462325
3900,8739917418.688963,32095999.6575862,2.8538848548273696
4000,8891970692.936563,32089686.52754151,5.911817266986633
4100,8720281938.901487,32131879.122663066,0.5110436794484676
4200,8833050576.390078,32217088.634802893,-3.9918695094857117
4300,8892581082.53491,32547716.80048266,7.008004329033306
4400,8889796525.390335,32469856.62440217,-6.22392096563868
4500,8888277512.551195,32545126.692275874,-0.7010838924224867
4600,8819345598.042898,32548183.457005765,0.36730216413301964
4700,8922040577.63689,32831459.435609616,2.810109387495836
4800,8785960084.966314,32574577.797372207,-2.573731315273249
4900,8842933926.1478,32926037.86505809,6.59861926817677
5000,8914152587.595915,32796825.826686013,5.431034618019878
