miliseconds,p53,MDM2
0,0.35999830122501103,0.7099951575235017
100,0.36001137688461926,0.7098366342849188
200,0.3600240822964362,0.7097524944429764
300,0.3600314885457283,0.7096099327386317
400,0.36003909797906763,0.7094954821415985
500,0.36004370626891835,0.7093749560384337
600,0.36005861544484064,0.7092908891917236
700,0.36007227835214695,0.7092040888168334
800,0.36008150245721326,0.7090875688416628
900,0.3600892817712966,0.7089960995212596
1000,0.36009083874721054,0.7088875637247355
1100,0.36010256924266143,0.7088441420330028
1200,0.3601129199210976,0.7087960020252826
1300,0.36012367825295083,0.7086682049329238
1400,0.36013645671070255,0.708610880897365
1500,0.36015545971022334,0.7085849132328216
1600,0.36016411646637925,0.7085300402388905
1700,0.3601735798796857,0.7084479201507838
1800,0.3601840981878979,0.7083824555556729
1900,0.36018902242985656,0.7083611312176522
2000,0.36020827614503076,0.7083000733481368
2100,0.3602115150379443,0.7082923058297029
2200,0.36021739639275346,0.7082353507826605
2300,0.3602413105420393,0.7081754897524146
2400,0.36025245230466363,0.7081787626770345
2500,0.3602532764546719,0.7081025689502715
2600,0.3602625515730421,0.7081158678865335
2700,0.36027574792621186,0.7080346723100537
2800,0.3602852769748127,0.7080378595010234
2900,0.3602983865618293,0.7079796083026666
3000,0.36031554025805557,0.7079581345269634
3100,0.3603187371608867,0.7079809857559795
3200,0.3603255476457548,0.7079163551350068
3300,0.3603479808311899,0.7078931862423943
3400,0.36035967991625784,0.7079327034882754
3500,0.36036850506302315,0.7078838691566488
3600,0.36037872893546147,0.7079026135775381
3700,0.3603802500280099,0.707845438580041
3800,0.36040139905045,0.7078557487435548
3900,0.3604011426908604,0.7078322478524576
4000,0.3604104859018508,0.7078321748754283
4100,0.36041904603597397,0.7077995847142917
4200,0.3604341861780917,0.7077869764363276
4300,0.36045396924401685,0.7078116722124985
4400,0.36045268761916277,0.707804201347514
4500,0.36046178155509667,0.7077783524406971
4600,0.36047667686503054,0.7077802364960565
4700,0.3604915357622689,0.7078083311443482
4800,0.36050004374647077,0.7077773933250207
4900,0.3604997182361202,0.7077404190446195
5000,0.3605122222025952,0.7077793133838405
