milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,1e+16,0.0,0.0,0.0,0.0,0.0
100,5015304500396621.0,4984695499603380.0,9145571748751790.0,4160938501069894.5,65325512491.08437,2080469250.5349557
200,4645078204985793.0,5354921795014208.0,1.5806438903412526e+16,1.0451623797074868e+16,112903135024.37585,5225811898.537451
300,4617579297237754.0,5382420702762247.0,2.22827612961409e+16,1.6900490317593326e+16,159162580686.72177,8450245158.796685
400,4615540237998612.0,5384459762001389.0,2.8745374595725268e+16,2.3361107489377972e+16,205324104255.1824,11680553744.689024
500,4615387591175479.0,5384612408824522.0,3.5206972138994252e+16,2.982259530943313e+16,251478372421.38934,14911297654.716602
600,4615367239684674.0,5384632760315327.0,4.166849844664064e+16,3.628414418859335e+16,297632131761.7208,18142072094.29672
700,4615365383529222.0,5384634616470779.0,4.813001479536438e+16,4.274570160397305e+16,343785819966.8902,21372850801.986565
800,4615372545693375.0,5384627454306626.0,5.45915262880021e+16,4.920726318171249e+16,389939473485.72943,24603631590.856255
900,4615372524313257.0,5384627475686744.0,6.1053041648655144e+16,5.566882144401032e+16,436093154633.2491,27834410722.00513
1000,4615367715403707.0,5384632284596294.0,6.751455958725165e+16,6.2130377496642e+16,482246854194.6521,31065188748.32097
1100,4615367338786096.0,5384632661213905.0,7.397607513926298e+16,6.859193559491791e+16,528400536709.0195,34295967797.458904
1200,4615367835782688.0,5384632164217313.0,8.043759022087179e+16,7.5053494096396e+16,574554215863.3685,37526747048.19796
1300,4615368159253884.0,5384631840746117.0,8.689910539591208e+16,8.151505251779e+16,620707895685.0851,40757526258.894966
1400,4615368574503539.0,5384631425496462.0,9.336062052153656e+16,8.797661098154032e+16,666861575153.8317,43988305490.77016
1500,4615368473785337.0,5384631526214664.0,9.982213592498363e+16,9.443816920715709e+16,713015256607.0249,47219084603.578575
1600,4615368408716287.0,5384631591283714.0,1.0628365130923469e+17,1.0089972744922754e+17,759168937923.1036,50449863724.613846
1700,4615368276391819.0,5384631723608182.0,1.1274516672969704e+17,1.073612856602598e+17,805322619497.8344,53680642830.13002
1800,4615368258166698.0,5384631741833303.0,1.1920668208872291e+17,1.1382284392395187e+17,851476300633.7333,56911421961.9761
1900,4615368274559776.0,5384631725440225.0,1.2566819742910808e+17,1.202844022036217e+17,897629981636.4843,60142201101.81104
2000,4615368253378572.0,5384631746621429.0,1.3212971278972366e+17,1.2674596046595117e+17,943783662783.738,63372980232.9758
2100,4615368194623086.0,5384631805376915.0,1.3859122817056966e+17,1.3320751871094029e+17,989937344075.4952,66603759355.4704
2200,4615368139268141.0,5384631860731860.0,1.4505274354958406e+17,1.3966907695749938e+17,1036091025354.1693,69834538478.74995
2300,4615368128392545.0,5384631871607456.0,1.5151425890464886e+17,1.4613063522458672e+17,1082244706461.7747,73065317612.29364
2400,4615368119522710.0,5384631880477291.0,1.57975774258633e+17,1.525921934926003e+17,1128398387561.6614,76296096746.30045
2500,4615368112658635.0,5384631887341366.0,1.6443728961153654e+17,1.5905375176154013e+17,1174552068653.8293,79526875880.77037
