milliseconds,X,Y,Z
0,0.09933238823387097,1.4870302383643226,0.10093404148856445
100,0.2966673688246543,1.3064236554791153,0.10346904979792705
200,0.2986512113629882,1.2887067259225997,0.10419944616520066
300,0.2976865024925157,1.262328985493816,0.10652985590776559
400,0.29907798145486986,1.2617043161992634,0.10533812321677069
500,0.2982147190951467,1.2489771514257548,0.10740045052058915
600,0.3029537015887517,1.2410289162477752,0.10830592896001877
700,0.2985779085372332,1.2377218199143276,0.11161049533068126
800,0.30165859499953857,1.2185527756010073,0.11342823506937813
900,0.30382728919991897,1.2000459248405082,0.11278418610928054
1000,0.3025831510990242,1.2035927546683671,0.11512340319504058
1100,0.3001195359257475,1.1925974370537897,0.11722112894651371
1200,0.30444735150290964,1.1674254022764752,0.11920480847043696
1300,0.3013596216805084,1.1749899182193322,0.11965342168144533
1400,0.3020477384762446,1.170583304542629,0.1234674841098761
1500,0.3032109470157219,1.1545553405972477,0.12469106389420932
1600,0.29965435024326204,1.14302586519112,0.12551619302543052
1700,0.2985222063657701,1.1222421414277883,0.12646225690049098
1800,0.3019065415582448,1.114385046797038,0.12838588469601941
1900,0.2996102574979357,1.1182648885757924,0.1288602623715605
2000,0.3014141486265454,1.097181784866187,0.1307263550772494
2100,0.29765547768013895,1.1014750514973677,0.1326667761258625
2200,0.29667002141798465,1.0714090124898368,0.13537587598418488
2300,0.29485097935424165,1.0666639382004222,0.13439703166833208
2400,0.2982693009852817,1.0583386027749668,0.13686874945984082
2500,0.2970710057426473,1.0461663727204662,0.1379501421645646
2600,0.2936389916953313,1.0331098148988336,0.13787356084297686
2700,0.29424583527443415,1.0264453236689688,0.13947491256310718
2800,0.29597231983476535,1.0428515790298234,0.14294297975412285
2900,0.29486971065826806,1.0302066845888487,0.14338704450191178
3000,0.29061219315298886,1.0163776324000457,0.14598035138290588
3100,0.29046473295583436,1.0074433722373766,0.1450213656167898
3200,0.29071691010372025,0.9915077969448838,0.14671779736376245
3300,0.29042563908991265,0.9789953798901176,0.14715770463203712
3400,0.28885675860621834,0.9832639813017565,0.15050216937939942
3500,0.2884246447006844,0.9777869802885786,0.15173444899034297
3600,0.2854585154634172,0.9749838123822309,0.15259084448310573
3700,0.28231918912867626,0.9491838048732497,0.15195317333601177
3800,0.2804798548937813,0.9579467750517514,0.15535219695737731
3900,0.27926832728548545,0.9258001826151385,0.15747341594090034
4000,0.2802188666712735,0.9166025871076248,0.1574512167274855
4100,0.27642035768180123,0.9138952636062231,0.1583728054066697
4200,0.27796295195623477,0.9226806513363802,0.15739353644616083
4300,0.27568060799705213,0.8954357153573745,0.16078398648233927
4400,0.275889536134437,0.9092615369972601,0.16117050824895374
4500,0.27411553633339564,0.8959398550058317,0.16045194708322702
4600,0.27387213352750184,0.8788476825091223,0.16279691128866924
4700,0.2700280685925325,0.882049584645197,0.1637579866278356
4800,0.27007491925726795,0.8634232907867346,0.16353114921715667
4900,0.2659451895489337,0.8517378369357201,0.16625203783930162
5000,0.26654903495007765,0.8643580730270676,0.16607064670350194
