miliseconds,T,T_i,V_I,V_NI
0,179765.68132330544,1672.5527580596759,133708.761373941,-38.03639434255881
100,179279.02117718413,1679.931260629027,130131.28750157669,3575.871225945915
200,178668.03074279134,1668.5953206625645,127894.81006248792,5958.152745909897
300,178301.87069958032,1655.9938340866279,126235.85574280444,7950.198495596374
400,177938.12095090895,1661.7810053872831,123778.77419971843,9382.07420072768
500,177028.99748055066,1640.3321272891412,122368.46366172747,10427.474426629296
600,176711.5714163161,1639.984496064775,121187.63408256992,11050.417528729571
700,175561.16731370785,1631.609268628815,121061.08750174927,11612.925489153455
800,175169.16877174083,1617.1392224645576,120245.67464749857,11928.73481345835
900,174339.1771067076,1618.6871550017904,119247.00837848701,12256.055339608112
1000,174314.13125033418,1607.1017243856145,118741.64569308767,12394.86805552339
1100,173059.73238721062,1593.4766946139111,117542.65202866394,12561.566150625105
1200,173179.14184141887,1581.0477179750094,116380.86444017262,12549.257653684092
1300,172371.40222932675,1581.8583040904805,116151.81357364831,12564.203659385654
1400,171298.09560128872,1556.3042786443732,115066.87354380438,12467.835624926922
1500,171279.77144047525,1548.2786368136246,114637.2418409389,12543.06920295586
1600,170626.04098772944,1546.7304498160952,114042.42950244561,12527.28163967463
1700,169510.90946890696,1534.814829031556,112813.51822957338,12391.540091869761
1800,169082.40501619616,1518.265584825268,112393.31596213224,12336.415752856601
1900,168859.12230179415,1514.099158731497,111264.69490560758,12296.45669192314
2000,167895.9302674792,1505.4568014436736,110181.73885460106,12315.786838055361
2100,167573.85167376258,1483.3264561537826,109796.35374321266,12167.432303897482
2200,167038.88398485206,1482.53258243935,108324.8421137268,12041.930790006347
2300,166188.40850774164,1470.4332450384663,108613.84478884625,11890.40758534082
2400,165840.9660704056,1458.4080849897205,106720.231906507,12002.180960539827
2500,165295.55082253268,1448.5408786883736,107057.36902522885,11735.042689918944
2600,164530.20198110834,1430.9843538772868,106294.7067188307,11696.736936717949
2700,164492.79828171703,1414.5314739012463,105201.90709925124,11642.31027208287
2800,163806.02359593663,1407.7504899077153,104495.22379497005,11493.881334857188
2900,162794.2806146289,1391.3737312175579,103470.74646016392,11373.020398629385
3000,162354.00251746038,1384.0474354398173,102838.10038263306,11362.263075311763
3100,162254.7958526735,1365.4085730936677,101559.7368484245,11290.922890884993
3200,161243.04206133983,1352.3411004911288,100880.16519108352,11165.68062977551
3300,161252.88958709312,1338.7909224568084,100200.90445048413,11019.836037048215
3400,160312.6746865484,1329.8114013941004,99471.6955622045,10930.947642468449
3500,159754.49987626876,1317.8975848450398,97592.02478663858,10782.528113956205
3600,159308.15969264417,1310.7589867220056,97582.93928622163,10706.445991937182
3700,158906.4282824718,1288.3093111758749,96600.61693582463,10781.007267741199
3800,158574.07015837345,1284.0652803533055,95552.90746087825,10632.54857601248
3900,157573.9314469093,1263.9787124693626,94999.80929688818,10412.504030712085
4000,157098.63458703825,1264.8223048704929,94217.19967734673,10447.486248555992
4100,156421.39004463982,1250.553775539995,93364.06814229325,10284.029644508646
4200,156512.8076942783,1227.6443229508043,92414.1768090634,10153.937234120767
4300,155509.10230298978,1217.165912377229,91154.30416492648,10105.151800977685
4400,155286.25918749435,1213.4008327600802,89801.72068351756,9908.106289504489
4500,154561.3220907208,1204.0788545851144,88800.84798589542,9799.964728838382
4600,154084.55921325897,1189.6708543958587,88602.47477058292,9827.135656950739
4700,153287.06189535532,1179.7744802583638,87813.87574642344,9759.088928699231
4800,153568.46455629083,1151.713747140362,86892.262220809,9492.20087946073
4900,152618.06691582993,1150.4708258460926,85039.45902293353,9469.812251113222
5000,152152.7526343733,1136.9352490684423,84829.60214851209,9359.876992465659
