miliseconds,T,T_i,V_I,V_NI
0,179757.35901818308,1670.7740146768106,133666.39654105456,98.48160410780424
100,179193.75770934613,1673.353363843214,130144.77779608843,3453.477981944782
200,179034.25697110422,1674.565321479424,127482.02299761276,6094.135967764907
300,177770.48615848977,1667.3985999286915,126297.68107350697,7988.014494271303
400,177305.90608769815,1660.2558964847487,124186.35889265493,9289.196468158581
500,177095.5114075763,1653.3663864269583,122856.92276503493,10399.699540495389
600,176036.8735026719,1642.5330732689727,121616.58491114923,11082.0821097083
700,175636.02768812826,1629.4545360682455,121219.35023249371,11562.128555404313
800,174958.42793865563,1616.8193092746155,120214.86513427878,12009.228682816058
900,174310.67818856912,1615.7663032824153,119076.82854857287,12230.548688352286
1000,174256.320167521,1602.999187836734,118216.48460609249,12441.996147736067
1100,173414.01230996283,1595.3435318599968,117552.0934902188,12380.71409805553
1200,172912.8197611198,1582.4120635954039,116721.36790673148,12617.370886983243
1300,172148.82963145373,1567.614119769526,115662.32893307159,12542.268828951237
1400,171514.02481698085,1567.956637109942,114693.5938477174,12574.948350098093
1500,171030.47241521993,1545.7681717038936,114594.99996576343,12447.913997445616
1600,170092.89298887327,1549.3650201850526,113900.27202238954,12471.790837355513
1700,169720.8804358631,1524.3234446024392,112467.27442072684,12497.83633724167
1800,168903.76745103358,1512.3303219718125,112429.1356680297,12281.068516158553
1900,168732.25507797074,1514.3411250650781,110807.63623186143,12347.962085568102
2000,167894.9403314895,1495.9678966783104,109968.05770623616,12174.440128222537
2100,167832.98507583287,1490.763550451369,109753.19308089431,12186.453927389402
2200,167000.84786572913,1469.393108231564,108559.08969634761,12122.876685714387
2300,166408.77735493664,1459.9011733475468,108143.34792446307,12051.849466966363
2400,166299.11454446052,1455.9737455194577,107941.44292992509,11810.274892583806
2500,165466.9249718449,1434.4435542793522,106846.23557204466,11754.021733905473
2600,164863.90338483005,1434.278948402184,105933.18110640791,11807.09368145417
2700,164393.8097757693,1421.4955007295316,104726.11055897632,11617.284525430026
2800,163936.1412798403,1398.1179918263879,104049.8417180123,11539.711571569831
2900,163296.68163870525,1400.5434898248225,103331.2027870692,11406.268994619557
3000,162283.88453508494,1378.3406693415698,102115.28414708967,11346.16281677962
3100,161652.71500612152,1375.7056405702517,101054.80184752714,11279.785044862087
3200,161866.9487106812,1351.2524910240334,100819.79674586984,11258.307115833286
3300,161151.2419781924,1349.9899486441334,99674.49164229326,11166.300567977403
3400,160680.2165573178,1334.9720389581425,98314.1591825914,10958.8104090381
3500,159933.98716277786,1315.703921226488,98502.5073961213,10938.908855901276
3600,159780.08575298576,1311.506495993311,97055.47190221971,10800.598807159586
3700,159200.50222405023,1293.3132195809185,96290.79251131321,10714.275302479788
3800,158192.12280555157,1280.4945884071522,95427.19688200299,10584.335242893627
3900,157799.3167372783,1268.8043977210968,94539.5343148813,10594.903742180746
4000,157239.77618488797,1263.4027417945763,93724.43679019438,10438.171271498122
4100,156426.49205598095,1243.7859688481867,93370.25405543075,10261.418848529183
4200,155991.28444951397,1241.9292106596154,91992.53532015017,10246.262839880217
4300,155432.64896612486,1216.5691235275299,91506.08998175737,10049.513423093902
4400,155600.5534868613,1201.8588785353786,90041.72385433406,10112.165758294263
4500,154789.04479331325,1188.6322026683567,89543.14605313954,9988.149562092443
4600,154570.65147265638,1184.9428574666147,88767.15312460497,9743.002682130144
4700,153578.81565712363,1172.681486841732,87970.46966134678,9610.14728578983
4800,153326.6910420343,1158.2322451297985,86448.85806177674,9542.022118032473
4900,152858.67767128572,1141.0044363813336,85319.93430653878,9473.770458050563
5000,152062.2825089815,1127.3360406938014,84187.9209613534,9354.116431006403
