miliseconds,T,T_i,V_I,V_NI
0,179660.16985039006,1674.066551807752,134275.58531246486,-68.33784134015391
100,179627.62773523846,1668.5354244927767,130449.3840556016,3557.549481752782
200,178463.98506341697,1667.9962955229882,127263.33839487525,6141.709974848301
300,178381.6034482906,1660.3714349016852,125227.58091322302,7817.669888718936
400,177511.02610860966,1656.969576758424,123667.73034892148,9263.373220146399
500,176795.13938212342,1650.3559562447667,122546.69650008068,10230.713176350373
600,175980.1419725001,1640.236521123074,122251.46213980933,10990.237555618898
700,175404.12817757856,1628.068014197004,121167.60077788588,11477.528708256415
800,175148.010212571,1623.649587060004,120032.64959039305,11850.689307814426
900,174594.4475107835,1618.7346633652953,119358.19516733159,12191.707314703937
1000,174155.36817506814,1606.4512889618582,118467.28850981795,12301.355937724378
1100,173006.97137842554,1593.7930447246245,117065.04996207138,12428.534753823236
1200,173076.63916623718,1588.370175886323,116156.50968818479,12471.371299787264
1300,171801.11474175498,1570.4148880604268,115229.7994057107,12515.585886685585
1400,171247.4522266972,1556.7898806921974,115396.34959096398,12592.771972990957
1500,171385.8883506725,1546.7105608048603,113794.13580607259,12596.107496688654
1600,170189.3297847297,1545.764244446472,113677.54453772643,12570.665673592594
1700,170148.65611246374,1532.8885582575956,112960.70103319219,12352.20005445748
1800,169620.54431434127,1512.5059383860012,111813.39472275734,12398.130906588054
1900,168597.0927077844,1502.2338484960383,110733.9504970085,12321.967829737825
2000,167970.93237844747,1492.965053118072,110776.62156063004,12351.74522244101
2100,167879.2553033101,1486.5693108701896,110082.12989925903,12217.843140399058
2200,167187.84638203963,1477.9975848497409,108606.38819813085,12037.717107824788
2300,166638.13387281573,1464.6492948080258,108719.04645358119,12015.482439081079
2400,165992.52688624337,1456.2868486717953,107096.19538080966,12012.71165733216
2500,165347.2282094688,1433.4736503483664,106022.57001945948,11894.682685527912
2600,165049.72011252452,1431.250978197162,106110.3555085557,11827.987320415868
2700,164373.32965302875,1420.587420304505,105013.41769297695,11721.254602338404
2800,163495.4561815813,1411.381645687836,104598.08999618943,11524.174953209094
2900,162917.328124341,1389.6220583456122,103414.61015985694,11537.606961165222
3000,162332.62388668885,1386.1406933384349,102395.03125110398,11467.0540349754
3100,162085.40541559775,1377.8069143016187,101559.61849029218,11249.428560032331
3200,161894.6258122607,1353.3802977580683,101233.82308825362,11149.686735810432
3300,160679.7640098581,1339.7125385153324,99975.35176841535,11146.143101661404
3400,160121.5203949179,1340.7868025117898,99534.0595799512,11030.624026654645
3500,160162.0133849679,1318.3550724299098,97547.89118693059,10793.309243304144
3600,159781.3050998495,1313.4505391146176,97742.7201159818,10759.645107451872
3700,158876.11701148195,1295.4006334544501,95918.909037842,10672.031050283069
3800,158672.7664179495,1280.2277783448376,95887.92122734363,10582.66094558139
3900,157861.48043322476,1276.0574284811348,94300.10064383046,10462.802816831276
4000,157095.7801181745,1266.05603854906,93585.33491685078,10359.066483429433
4100,156765.807005589,1248.9608260740722,92665.88153017392,10407.409449113902
4200,156054.88072491574,1227.2717740236064,92460.84949086612,10152.225056132964
4300,155531.5590189711,1226.6772558447783,90991.01262650816,10128.477489011038
4400,155051.73965114268,1214.9085365577046,89733.08151220201,9975.185624660915
4500,154404.11859423286,1194.3635237827257,89392.33202233705,9995.811864341904
4600,153850.6408169895,1188.4270728767895,88017.23603736352,9861.654258613407
4700,153568.8547168461,1175.4751078684865,87238.85724536444,9717.386382522089
4800,153414.94767382924,1165.3251492954869,86202.87696647318,9513.133049562613
4900,152612.02947019815,1138.6707616499907,86015.718336228,9498.176758094916
5000,151937.84984607762,1141.8899853155058,84227.18282484736,9440.539161433064
