miliseconds,Target
0,10.068858137896042
100,10.397244566014718
200,11.02984365706523
300,11.371436242559206
400,11.845450124887709
500,12.385833559928072
600,12.418471961450516
700,12.984133961578824
800,13.427328150795914
900,13.691244452738855
1000,14.44456582423556
1100,14.614014610043927
1200,15.116226970065291
1300,15.55422581103111
1400,15.900414539974514
1500,16.32062159720621
1600,16.516483446549504
1700,16.9849190807479
1800,17.601091191706537
1900,17.81611804246628
2000,18.120589007091628
2100,18.55002856725985
2200,19.135611058654913
2300,19.379578837768058
2400,19.79473317089981
2500,19.693847822408628
2600,20.179126384246594
2700,20.80962897502339
2800,21.189926633912744
2900,21.401010652918004
3000,21.51338448217272
3100,22.10770326996708
3200,22.516388835419747
3300,22.617890939605182
3400,22.756731357208537
3500,23.11744828071053
3600,23.35647013815896
3700,24.054827732252694
3800,24.26475920338978
3900,24.588573401643533
4000,25.018948030524385
4100,24.94488574995086
4200,25.177392502917204
4300,25.648975868725522
4400,26.24994934758532
4500,26.060065813194097
4600,26.44678976195137
4700,27.09772224975615
4800,27.15885508525859
4900,27.46679444644257
5000,27.88461527251954
