miliseconds,Target
0,9.818772721516405
100,10.568087920435534
200,10.729665794214272
300,11.234751000401385
400,11.5388557037447
500,12.376792208436042
600,12.639950169541187
700,12.873710535904618
800,13.201626599741402
900,13.72205360048461
1000,14.183728405193657
1100,14.608687858598769
1200,15.121452602417811
1300,15.238794962558512
1400,16.138473929437268
1500,16.043215105574973
1600,16.48290833123452
1700,17.176191572538567
1800,17.304286833625575
1900,17.56076704699643
2000,18.412397555580004
2100,18.488407939195053
2200,18.696345454881232
2300,19.20047030571671
2400,19.722967099508836
2500,19.998053103199723
2600,20.516013234562532
2700,20.598557333523477
2800,21.138382814225174
2900,21.341920585423864
3000,21.792709556062665
3100,22.244961996843983
3200,22.412113448507206
3300,22.863059816783228
3400,22.890076503323577
3500,23.52149714559647
3600,23.418457761857706
3700,24.003618457930635
3800,24.181439629287475
3900,24.320730429405344
4000,24.712485480567207
4100,24.995027653070537
4200,25.68464890422911
4300,25.780591595921415
4400,25.992034429942937
4500,26.07971246330369
4600,26.37803149671562
4700,26.796989022966233
4800,27.302186916404036
4900,27.580285772849408
5000,27.481885552683643
