milliseconds,EGFR,pEGFR,pEGFR_Akt,Akt,pAkt,S6,pAkt_S6,pS6,EGF_EGFR,EGFR_i,EGF_EGFR_i
0,68190.2000000002,0.0,0.0,0.043309,0.0,3.54317,0.0,0.0,0.0,0.0,0.0
100,66828.38189366845,1.310104844222637,2.9441044715644015e-08,0.0433089705198359,3.9119386965013476e-11,3.54317,5.941039939946207e-18,1.2519562137688743e-22,1360.5109069985585,0.0,0.0
200,65499.246664238286,5.177763330230429,2.3308948219491062e-07,0.043308766293728804,6.167888135570656e-10,3.54317,1.872212790932806e-16,7.966280047770071e-21,2685.769802010179,0.0,0.0
300,64201.99950023831,11.510945419434195,7.784837692026833e-07,0.043308218420383154,3.095846261627888e-09,3.5431699999999986,1.3946102118881261e-15,8.619586049400393e-20,3976.6381410415047,0.0,0.0
400,62935.86493023605,20.220162362765148,1.8260901870196853e-06,0.04330716421079401,9.699013161481407e-09,3.5431699999999946,5.816916709068717e-15,4.7484450533845585e-19,5233.9564118104545,0.0,0.0
500,61700.086299734336,31.21839489825303,3.5295162912458494e-06,0.04330544701711513,2.3466576008561182e-08,3.5431699999999826,1.7617267412790052e-14,1.7971089606296575e-18,6458.544700905394,0.0,0.0
600,60493.925426868824,44.42104528599013,6.035650997610807e-06,0.043302916125010214,4.822394867226999e-08,3.543169999999957,4.3504166755673166e-14,5.329127199007419e-18,7651.203067196366,0.0,0.0
700,59316.66214136269,59.745873952354636,9.48484386859811e-06,0.04329942661249219,8.854354591306452e-08,3.543169999999907,9.330552830246331e-14,1.3340057833594557e-17,8812.712041871155,0.0,0.0
800,58167.593748594096,77.11292590745357,1.4011108334610348e-05,0.0432948391883618,1.4970312306729991e-07,3.54316999999982,1.805298173478533e-13,2.951638159397445e-17,9943.833208505901,0.0,0.0
900,57046.03464638367,96.44447821567864,1.9742261753517978e-05,0.04328902008508662,2.3765283699729758e-07,3.5431699999996775,3.228670432566765e-13,5.944036129850933e-17,11045.309619636926,0.0,0.0
1000,55951.3159250914,117.66498486671033,2.68000702302514e-05,0.04328184094765816,3.5898156891316687e-07,3.5431699999994577,5.426737914415139e-13,1.1112365665208598e-16,12117.866230104715,0.0,0.0
1100,54882.78494221953,140.70101832010008,3.530040102335762e-05,0.043273178715928166,5.20882181032231e-07,3.5431699999991326,8.674461182532586e-13,1.9558760109264047e-16,13162.210358026376,0.0,0.0
1200,53839.80494876856,165.481218106193,4.535335185715434e-05,0.0432629155268407,7.311199718877126e-07,3.5431699999986694,1.3302516188572354e-12,3.275136970174838e-16,14179.032089934748,0.0,0.0
1300,52821.754716543895,191.9362397120771,5.706337670131628e-05,0.04325093861965546,9.980016730903507e-07,3.5431699999980295,1.9701290762686173e-12,5.259723106031657e-16,15169.00468503994,0.0,0.0
1400,51828.02813841423,219.99869982160092,7.052942267467383e-05,0.04323714023144069,1.3303430521455905e-06,3.5431699999971666,2.832487400827358e-12,8.151640182799776e-16,16132.785008581603,0.0,0.0
1500,50858.03385765878,249.6031255018771,8.584505468016342e-05,0.04322141750295342,1.7374383969415066e-06,3.5431699999960293,3.969472418592562e-12,1.2252161661143805e-15,17071.013933652757,0.0,0.0
1600,49911.1949275274,280.6859075567848,0.00010309856709631956,0.04320367239522801,2.229032235393895e-06,3.543169999994558,5.440278342665057e-12,1.7930806437974733e-15,17984.31671026624,0.0,0.0
1700,48986.94839465707,313.18524344532284,0.00012237312758384066,0.04318381157955104,2.8152855535249804e-06,3.543169999992686,7.311590557333152e-12,2.563193832831272e-15,18873.303417095998,0.0,0.0
1800,48084.74509731637,347.04110976826684,0.00014374683115993866,0.04316174640133239,3.5067578500337837e-06,3.5431699999903388,9.6576347568497e-12,3.588850607612168e-15,19738.56918011942,0.0,0.0
1900,47204.049083471575,382.1951823790582,0.00016729291306203848,0.04313739271334004,4.314361036987436e-06,3.543169999987434,1.2560931876638264e-11,4.932296212108912e-15,20580.694803714534,0.0,0.0
2000,46344.33762978388,418.5908394992371,0.00019307971427311299,0.04311067091102622,5.249358588787371e-06,3.5431699999838813,1.6111877412557792e-11,6.666945056758978e-15,21400.246749883107,0.0,0.0
