miliseconds,cytoplasm_Foxo1_Pa0_pUb0,nucleus_Foxo1_Pa0_pUb0,dnabound_Foxo1_Pa0_pUb0,cytoplasm_Foxo1_Pa0_pUb1,nucleus_Foxo1_Pa0_pUb1,dnabound_Foxo1_Pa0_pUb1,cytoplasm_Foxo1_Pa1_pUb0,nucleus_Foxo1_Pa1_pUb0,dnabound_Foxo1_Pa1_pUb0,cytoplasm_Foxo1_Pa1_pUb1,nucleus_Foxo1_Pa1_pUb1,dnabound_Foxo1_Pa1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,60716102970959.67,402039545525.0539,760016226913.2311,-1554450835.6630843,-1752343239.138546,3041883348.8939066,279819800730.0695,-1288721220366.6375,3885366253467.899,-6266468228.029433,-16656065753.315317,40067517563.95676,1056178821594.9584,440556361.6462149,-2925657917.6721845,594712010616.2855,-953498914.148221,938033113.0334537,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
100,52900717152550.81,31441782793376.504,663006226391.2639,5377674754.404373,5743774089.51012,-4830603837.262479,7046616764367.979,3175105145376.9204,-1819413011281.768,-2159846637.1075153,16110803089.951233,-3609332461.631943,1380141339259.2446,1491255756.9051623,-2882129370.082788,1925603937625.0977,-227484357.67518678,-1374384381.7006567,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
200,46374614524248.016,55169800931278.23,5579758362899.757,7354910514.853215,19750242209.3524,-6180178514.371085,12474224570514.625,9493679168030.336,313092049886.4281,11314149635.374485,-6285491427.452904,-4995174129.929051,1286483004654.6025,-461076431.8940129,-38163470.635282464,1270199553249.5115,64971428.60094172,-618171358.7313757,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
300,40363486621419.59,71382250565099.3,13310551197825.902,14139907155.82399,17071584529.953945,6801424822.521282,17376106860798.38,16353571782802.492,-2977364610087.6865,16388038929.921307,23106813204.127106,-39661922461.15151,951162440594.4038,440453440.8280829,-3536525664.6066895,2584192921283.362,1927991747.5491986,-1351967990.9014473,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
400,36369117645602.39,82531565072059.73,21635857871251.19,14459308799.47792,38781104257.026,-2007274611.5266075,21261884630971.215,25234175106508.336,7278811335080.073,17802104311.84629,22794357873.99057,-2952381332.7254047,2684239568708.3354,1537459322.6549554,-981132534.3425891,3869223248189.677,2723132727.210986,-133965905.44782752,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
500,32402598788761.01,91511478279100.86,30290976749647.586,18378468525.695164,37558000885.22115,40373138343.850464,24258751464803.67,34466654391880.492,8647964018131.02,23122784555.748566,15479015103.452435,-43326873555.05853,3498571338521.984,3616066532.9201736,681402323.70809,2476307105381.4146,2799392263.7336283,2262328459.607026,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
600,29594761909792.766,96476616103521.12,35499819838110.6,17131432571.251104,52346013200.21658,3062643719.9791527,26621892305108.9,43462742743769.9,12889512970926.473,28883098258.834293,28223550765.35408,-51666714120.26551,5326749875374.361,2977268223.050135,3866007814.027008,4302642195322.8325,3222110425.8424063,-879607786.4549493,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
700,26826411680720.938,101580304934019.52,41841556537911.98,19773185762.81482,63364625806.06036,17045145998.533148,28987803686832.08,50341652284595.53,15755909307836.742,45865939066.4746,58572948873.70752,46775772843.80022,5129929252509.133,3401325117.4826937,691872614.1805481,4694174321741.754,3979101651.786298,4529029807.148262,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
800,25021951056346.652,103730111423913.6,52319138914983.375,23967032379.091946,101950141056.3351,34764313721.362366,30324592395138.35,57072019743271.086,33932992468427.984,58418786659.328735,79766550684.65837,11772147284.23,5523018689241.984,4676847374.565995,1918105699.0466413,6760934999139.531,4084429722.0917892,360175453.2437508,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
900,22909165953769.742,104521328104700.1,59456043058223.01,22970096595.51053,106431754125.77249,90074067887.70546,31804920830971.527,66548997350557.41,42845031906508.625,66511462228.19457,114517595502.83618,129035439952.383,7196383598003.203,7342802141.692732,2962459975.1066976,8031495019991.932,7451849268.74809,5099144669.783451,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
