miliseconds,cytoplasm_Foxo1_Pa0_pUb0,nucleus_Foxo1_Pa0_pUb0,dnabound_Foxo1_Pa0_pUb0,cytoplasm_Foxo1_Pa0_pUb1,nucleus_Foxo1_Pa0_pUb1,dnabound_Foxo1_Pa0_pUb1,cytoplasm_Foxo1_Pa1_pUb0,nucleus_Foxo1_Pa1_pUb0,dnabound_Foxo1_Pa1_pUb0,cytoplasm_Foxo1_Pa1_pUb1,nucleus_Foxo1_Pa1_pUb1,dnabound_Foxo1_Pa1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,60941684103539.66,783191444185.7493,858172681352.4207,815752342.0587021,-5654349246.007144,2789232085.1042976,-213293551216.94678,1340171907965.703,-233985902046.04858,-4415225148.006325,9486177608.185452,62782034895.73204,-1119255370781.6682,95151796.90336846,2701267212.66421,-836320695253.757,512513651.48684216,-1517633460.22367,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
100,52210591914047.93,30680820026211.9,1982526322276.8906,3571183495.0070515,-7512547342.680555,-3743234306.743746,7112523108417.291,1242921270746.3208,-6148588744682.614,-2825163658.601513,-14553364209.561329,32702872205.630154,1838230577205.898,-156037449.1256456,-2633210357.915925,1336821761431.6675,-450227002.89813936,-3458336067.7821836,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
200,46621833635128.516,55278530294357.41,6987097802914.069,9839300887.184282,15308423332.855703,-31030616118.004875,12783100413886.203,6643414540892.592,2957215033442.512,6131641183.738283,2042112936.1064935,-38473184752.950645,1399874872091.9277,-612364036.3169025,-2348052494.5717525,1497960109978.7578,-506855532.47062814,-1340411819.1911988,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
300,40647416489850.78,70531456169939.28,12975925114273.0,13182872854.330837,18608253724.21608,25047521776.73894,16807457359752.018,15200054862228.871,-4447575479762.603,12783695292.978138,8597985720.206438,32097420584.80898,3278650318891.536,1603408419.1559482,-1539096807.694106,970323409056.0961,1861980069.4377031,-3153661853.479337,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
400,35634453819888.54,83081877960039.84,23339395793349.445,16407080751.884708,33101746257.615986,4236924673.2373705,20843676904507.69,24226530559693.793,1009051968580.831,18424158322.155407,16247129740.38307,-24896164943.772583,2452867791551.271,2423586272.2362924,-656936238.0534582,1908012139586.5117,909691927.3384296,-132964446.65649343,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
500,32865052891922.24,91195661963750.6,30305186071479.305,18452459946.8074,48661598652.71124,-10306160817.237383,24441672167738.207,33636516498938.312,7662011345316.686,20420299356.38098,17654275793.8715,-20774127991.840176,3351960581165.8784,933019360.3104768,2668666723.110354,2719817981106.534,2357612524.5803895,-2101910210.7723546,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
600,29427432929448.316,96890371148549.81,34179488872867.316,18515286661.570484,73373632310.76193,25953988503.63208,26420449271697.82,42751928864151.23,11785325226596.73,29177388181.30227,36453777378.74907,-152087625.3800888,3341559239769.7446,1985274906.2621841,-1718332299.3063145,2981324051890.998,3548232304.948858,2126265495.7671103,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
700,26903202661545.793,101807653748425.9,47092236994112.02,19449172118.20693,77265733786.00615,39659777567.057526,28861884600178.875,49501827671744.68,15551728397387.314,39790240524.26773,56151366667.06547,23245543883.310753,5180625221705.6875,4295445781.932499,4198452629.865354,5300823457986.016,3129302378.2944927,3934609677.7457223,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
800,24859159807998.098,103147630023882.45,51399522576475.3,22727460328.27791,75391013420.3022,67828915775.33145,30494758004446.33,60317574448665.695,34125511401232.62,47889386108.09027,95604289217.08968,106900620328.24829,5545174699562.408,5056233419.79753,4532814564.82309,4680644239636.486,5594593159.16538,1796987618.6656485,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
900,22258078907472.773,105125715992530.14,61884298143248.836,26256376223.220287,114955784096.76878,73213895283.23477,31770349318415.98,67409481193380.58,40209817818848.6,58767464981.46379,88572581911.84436,-8544028861.64296,7939090607344.655,5050109928.009321,145078239.5504923,6158391156635.376,6980449469.380625,888393497.1980109,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1000,21656168745958.29,105134000578602.97,65162496913613.25,26534952326.940754,114286468459.01405,93741471900.44693,33023280512492.695,71745597743740.3,42214729871952.69,67608280057.14522,153165398319.92142,49548705240.15288,7736147371725.314,5730043295.8644085,3899592283.5129232,8954365282011.049,8632266017.406948,5723037166.146418,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1100,19955993973067.703,104689690345637.55,71366159096300.94,28040392139.05296,121553732402.6941,89902956849.3086,33939593794278.46,80915005837611.2,57286234771902.87,79871600509.28226,172024331437.53995,61498378417.97425,8530054789355.915,7699471041.784157,1158053572.5091715,8073179978758.289,8169045764.959482,2023880677.9688501,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1200,19100494633396.59,105275955704796.02,79742151397574.58,29898331800.119263,149814161219.74396,130556328522.51547,34544387233819.684,84694770456924.38,63698993487248.92,89565244117.8185,170963830994.38116,147675791087.50595,10683248992799.305,9361835121.042318,4711895695.046099,11702051542890.781,11232489369.549608,7196184916.2390175,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1300,18461658872031.08,104831205402548.4,86808520464499.38,32786176376.504986,167416783527.08185,141763916604.05194,35441373848469.96,91718442264151.25,81999641016926.92,99332466971.62091,194665340974.0809,155902195379.69565,12876980226363.305,12000528888.266651,5892864908.067013,10932001395428.768,11000734966.533558,7767168428.87889,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1400,17639777986816.98,103070541377392.39,90047996457925.72,33560944705.34751,174655357660.911,140786013934.85846,35907007745269.67,92707280830738.19,86480756418387.77,108415010238.4267,261690067175.15704,189041015598.01398,14334010151080.271,12599635460.065403,11540986542.380249,12975291550052.512,12851263896.529213,6662365357.722923,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1500,16839980402486.12,103098057312885.39,96911323299781.4,38185795715.45056,208765702000.60165,150200362426.48654,36203317158769.0,97090285392265.22,109860139064214.92,122578383591.51138,256621013805.81522,273418954727.80597,15044725522688.098,14585381664.100645,9497859690.440968,14203377270403.549,13769911766.031815,11450708555.638365,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1600,16119088853107.863,101931339793353.92,99004238691187.02,38681530884.11776,199066784646.30667,191993848342.14288,36761880845806.375,102620717005622.14,109138868918987.53,123638330966.71776,317699167967.1956,300834038064.4411,15740479548698.535,17154737563.269896,13504441011.115088,15829036976836.564,14345855327.09864,13761481531.322098,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1700,16105467496131.791,100322717869477.47,104787569049013.2,40527999872.75014,239521150739.78928,249693638384.9419,37143765528500.266,104779091006038.06,121568803458324.23,143324580244.32553,323460727600.211,385484299783.0873,17178064242689.953,18681719711.01697,17356118857.276314,16063180861817.834,16164367989.157146,14292624516.323269,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1800,15499754663174.93,100493172303539.36,110167383208915.06,43570295200.56477,232912926637.68985,268443131185.728,37396357690153.16,107236750195929.75,139311722898540.28,153819991823.14145,370396427376.797,456729802619.86694,18321456904909.07,20446566156.078,13375327872.68874,17922251731326.547,18633879952.638203,13979744198.365225,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1900,15180261106076.414,99048824443558.19,113200708190913.56,49085991588.12989,255673175985.1798,312714407254.1034,37088482673409.54,110020445329147.66,148077387088315.6,161539324874.55035,384955713735.35333,467414572735.65753,20460878527883.0,22509553308.988075,15058519356.54076,20672560440328.855,22246680205.8728,16778588309.544193,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
2000,14630891506038.2,98361539057200.9,116415736752656.23,48958996802.23054,294191061634.905,313989746577.7467,37268028423380.41,110959896716558.67,166376005374060.56,172935495932.89417,411319697588.955,568792803775.69,22060407157735.594,22645808578.934193,23125832222.72099,22451128443685.92,23323530473.757652,20351312637.7894,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
