miliseconds,cytoplasm_Foxo1_Pa0_pUb0,nucleus_Foxo1_Pa0_pUb0,dnabound_Foxo1_Pa0_pUb0,cytoplasm_Foxo1_Pa0_pUb1,nucleus_Foxo1_Pa0_pUb1,dnabound_Foxo1_Pa0_pUb1,cytoplasm_Foxo1_Pa1_pUb0,nucleus_Foxo1_Pa1_pUb0,dnabound_Foxo1_Pa1_pUb0,cytoplasm_Foxo1_Pa1_pUb1,nucleus_Foxo1_Pa1_pUb1,dnabound_Foxo1_Pa1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,60641074150790.83,-619256265961.8458,3283962175610.0938,485877988.46778584,-10930710465.017483,21424660869.561504,14078720249.187582,-882362114910.2318,-4870458179148.808,6250160121.430563,-6563415211.739249,-38348548959.351265,-629915843072.6364,-431504171.5195029,-2036542683.7660038,-1159115694682.0217,983442609.6279993,-501098774.8114592,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
100,52752950805076.266,31039428971978.812,-1082601384218.6545,3595828857.8853846,-2827535461.2881603,-7747756553.851859,6805758620882.007,1701807872122.621,-4680253023157.541,5837112515.074099,-2043951967.4215498,-48791817767.73479,-817521557716.7135,-649275558.6975783,3025654037.817014,1831716395205.9863,1196084860.0217552,-2865300269.004899,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
200,45866211915669.33,54023270786167.68,7689879655926.144,9901073806.290827,24410318352.317757,-5943575544.726612,12289006670976.266,7174055354454.259,7226278328579.597,11771589037.715725,-9447275691.792603,-48252177847.60332,900436308571.0952,2121350610.2159667,-1221205994.5457265,2009663267460.166,1431390045.3139198,-1799921166.6863105,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
300,40818486359377.055,71044687021451.89,13307961909789.406,13393581994.279179,11988349204.100887,-27141908049.917778,17531596741538.45,16498955294996.902,4159891027084.765,9541583908.18481,-13642659595.408749,-25243843871.92204,3271360739104.168,2393102221.5008564,1738666196.6133869,2536248452424.5986,1407957425.3574212,2421740995.5927787,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
400,36192579815714.305,83806672661547.03,20754507557896.133,17024397737.042011,29830031458.904747,7587820028.149122,20948163092039.758,24745890065939.06,12009689945036.176,11880464548.270678,26798747682.738903,-55396889257.12151,2420032609845.039,1095651085.856677,-3015753639.428807,2371004951803.437,670554332.4590797,651423417.2761302,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
500,32328535075287.215,90930911440022.9,29678213529550.285,17481939879.955982,56708097402.9675,23782274804.030373,24491323089571.89,33067461387117.504,5143557016776.231,28440885825.325237,26092262677.67077,38142481327.70137,2153367370907.8137,2716585638.801967,4117483271.1224155,2807494613341.122,1481288576.5598795,3337217512.147194,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
600,29666729904538.34,97361328211478.08,39850687611360.76,18409296259.757774,63543908091.66882,53491811148.68771,26725878038831.6,42703993351362.82,11463289722908.793,30306370239.493553,25951112855.573986,-15261806727.225325,4631858309089.164,3314289131.0486407,1749473088.227579,4551149936945.844,2497259672.830246,-503205883.26233804,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
700,26596219801474.4,101329552437426.23,45540228589993.02,22414469636.57401,88934301625.76004,20251383165.13089,29154320608789.516,51280109230651.055,23674717736835.74,41141223394.85567,77923824460.02748,-5080506649.366535,5312519319483.792,5806236929.847868,4081331900.778972,3659950852440.3257,3954569622.0597663,3609737490.759268,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
800,24863036122792.613,103258688348342.84,54469405310743.93,21637142927.69532,80353154826.25607,33206072130.009888,30275686681228.746,58610955271572.52,37733890656749.414,47925114197.27519,102596450712.44127,44497561749.80166,6941221053104.289,4734941953.931892,594596027.5934381,4549714974632.077,5513502424.08846,-455488886.7738435,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
900,22215884262919.344,105031666331751.31,57890239337567.35,23662272330.478546,101497126102.65045,32961346274.504,31721478468654.723,66488583304091.69,37905615827696.97,61700898925.930115,89385982842.39969,41204023005.550156,6570565034141.672,4994575772.8142605,1862368267.7224066,7068818410119.303,6681487393.874072,127089259.29373217,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
