milliseconds,cytoplasm_Foxo1_Pa0_pUb0,nucleus_Foxo1_Pa0_pUb0,dnabound_Foxo1_Pa0_pUb0,cytoplasm_Foxo1_Pa0_pUb1,nucleus_Foxo1_Pa0_pUb1,dnabound_Foxo1_Pa0_pUb1,cytoplasm_Foxo1_Pa1_pUb0,nucleus_Foxo1_Pa1_pUb0,dnabound_Foxo1_Pa1_pUb0,cytoplasm_Foxo1_Pa1_pUb1,nucleus_Foxo1_Pa1_pUb1,dnabound_Foxo1_Pa1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,60149075525104.27,-15869793543.577145,-687853507325.6085,-1008064594.7124937,-5819597958.075128,-22375790725.135574,315387290413.80945,1074792107867.5052,6754689482061.879,-3485483695.043965,-11654204789.745466,-7542775497.701751,-324907987099.4032,-433121075.1527095,-694977335.883066,5416861382.632305,1279761000.2757246,-2367932700.2859416,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
100,53081444337240.266,31245943226356.703,268524679397.86304,7169545537.901984,-3521994256.904546,11401896450.213306,6726091007119.774,612919861399.5457,-661929401569.8131,3912977120.331157,-6537635468.140653,50648359765.97049,-615548984782.2504,-1082834319.0025082,90036706.95630734,1616144672657.3372,1751749807.1702683,3187978656.172936,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
200,46584402224241.42,54836892015211.03,6157265955969.16,9607073352.221533,14726691286.437414,19030650709.19604,12187069136132.81,7736466902141.404,-5231812386151.982,1109132212.5339804,4205621993.435057,-20105186931.40525,599593745734.1299,2021634100.0630794,1164107816.867054,1256107403858.6018,-947319595.5092026,-58311434.682687946,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
300,40957395955664.44,70831534076891.44,16603563927171.445,11564693934.326082,15821950439.149563,-24588694581.854073,17034041696846.004,14248337967942.617,-3656994145828.5938,12334570009.559124,-8027613494.931084,54244350725.16468,792596217996.4441,-133069071.39109612,-881679700.8036791,1337035217808.7058,-314338153.53180504,-1842958324.2417037,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
400,35674222387719.04,82767702707612.36,21448101255839.08,16834218489.721779,39604244319.298775,15410270560.245663,21173431146602.633,25121697545469.01,7871187849081.729,10795976249.350422,31753831616.911896,14771917217.705027,1364434058309.575,2888823522.300103,2126472177.975107,2800279444512.2295,2588103122.0915847,3988095950.635354,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
500,32895619654679.723,90932742971394.97,28015273506219.58,16198604405.789383,41807501170.042595,-14764510363.673502,24108284636887.656,34231941080650.92,13998212832174.633,26864770085.646336,18066918106.127014,70786623573.1479,4002804834542.262,3205125477.5692544,-96803001.45393384,2480176545400.316,3808265435.5780983,2051631987.5836272,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
600,28949472898924.15,97405509749492.47,35569110838351.25,20785701792.448032,55742223001.05854,689038752.8958626,27126079738789.707,40590938321604.74,22962079754267.117,39580851976.11981,51296748148.39154,18809720464.669376,5410721318777.971,2706837286.649761,1254212712.138526,4767823392707.637,4623295789.919694,3229431010.6221275,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
700,26297978710566.617,100767991723335.94,42285560776157.266,22999650335.67558,66631796799.10424,26478910193.121952,28898497308051.1,50834506843135.17,17399295448931.31,46880486113.6086,65275782475.05979,91823841255.32404,4898559670473.523,3090136557.437856,3221102300.049716,4427799380080.011,2979999901.2349396,1713889391.2130601,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
800,24722098644617.04,102940020857842.6,52236912049627.96,21820209223.73884,87182990953.87941,52118568610.47484,30670108511464.812,57838503839105.18,30186341154987.1,55983433388.83102,90134184961.35104,69647765160.12282,5852055568617.074,4373455961.752087,5516356173.414738,5670580775620.605,3591297827.747478,5137153769.811523,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
900,22312963665950.527,104121659421828.28,61665210845888.6,25723230867.50753,90909190932.61938,77775390464.94812,31819446986930.492,66561406254079.234,32918417873596.36,67329276844.37601,124190184527.02708,-10099173206.016632,7808512704585.978,4920366889.21736,1936469034.4567156,6731130024248.271,5444076103.796966,-235488198.95441723,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
