milliseconds,T,N,D,L
0,101.18075301279436,1261.845114373945,51.08512439098081,-56.9756069738377
100,108.2049558987622,2771.468048176565,87.91958164873819,-2.5442069770323235
200,103.59437174211745,3912.616186770535,98.39929168233968,-26.10260563966406
300,116.04847268878261,5457.26725384128,165.74148339021394,4.604502616553727
400,125.76164554845555,6425.552491729275,229.08855185756616,-55.621103395230016
500,122.61936763148891,6807.068782845421,260.2108722787904,40.559780393844136
600,123.59398478288821,9401.986422880613,275.8917920433112,30.326738041029543
700,124.83595340358707,9601.344416650287,371.04313220598544,55.94911910089819
800,149.1813081986743,10009.540260793852,423.15268705571606,284.2395548450687
900,146.55497841517249,11633.10770378524,478.2017675466319,347.620838659071
1000,148.1812173597299,14387.809880641305,498.11836587429855,369.0613409589131
1100,145.9988226507291,13347.465757865635,496.4376304566057,410.3371995374888
1200,150.25710023351206,14913.900489425749,613.3943993221078,576.8963965500661
1300,161.62015902001497,16687.473462798796,635.2942045935973,518.962423196497
1400,173.84007969513166,18035.23783580112,686.7281595640089,583.8837604449877
1500,177.10148387442723,17478.12116991258,662.3788008106005,739.9140000207468
1600,195.26218032818343,21713.09845670355,766.1873650583091,964.2840645432407
1700,189.8732625250957,22883.08713291293,763.6089759156328,917.1715541450453
1800,211.30138256072348,22205.552870072508,837.3229112872593,1068.9616394060727
1900,208.12967902348956,23641.14852828067,894.5902604480656,1151.3646776300714
2000,227.11617856092806,26139.92179706345,972.775112047774,1292.3273692526343
2100,225.28548423793222,25966.523141798873,964.7280564012025,1426.1755605345754
2200,226.66541943466893,28809.475424361946,1017.6466282624318,1680.5408924854057
2300,249.96887397539604,29378.421356535357,1110.7388474801057,1642.521548323723
2400,253.584786219231,29911.067931623227,1117.175500952639,1808.0685562009478
2500,248.73829001204405,31099.233041425647,1152.3078571724138,1827.2628874874447
2600,271.94199039947176,30354.431727350642,1157.3857611054698,1893.6677018866
2700,274.77253508603764,31732.137354498474,1184.7656949053826,2098.0898857067414
2800,282.86025660512735,34720.42877219789,1267.4233793399787,2111.917679637295
2900,289.93172465926654,34513.52509774802,1300.9234229912147,2218.7725256964304
3000,299.34171057369014,37568.225278938495,1281.3845002319129,2283.80754257012
3100,300.2444774840861,36687.64226578559,1399.7103556921966,2248.7205487500123
3200,319.5016985035155,37211.294921092944,1406.3043085452377,2296.8278837859216
3300,329.64280711765804,40474.96478784889,1480.541730731181,2311.3752008408655
3400,343.8893138442877,42369.09383301351,1513.0343743590709,2432.542788668294
3500,353.60407790747104,43838.41092930884,1532.9275816215995,2472.432972431717
3600,349.00287662205903,45108.17797293587,1572.2977203624619,2572.311708742934
3700,359.7678850428992,44669.06531837215,1513.5245375846187,2545.89808347217
3800,381.61618372265514,45049.088607549354,1644.3657185441473,2712.380575373193
3900,387.73356343768273,47950.73401953767,1604.8400437255848,2675.611546380137
4000,407.07156620996153,47819.96032439587,1603.8223465259714,2730.6784241449855
4100,397.80848991320096,50052.75734962543,1694.5729190601899,2664.996985092628
4200,408.3947323541447,50612.17921588312,1661.6971328744712,2702.9329535036723
4300,434.95606017525984,52366.989167298794,1679.1152174655967,2728.2667447734584
4400,448.32867701284977,50471.64598302707,1755.7005067680147,2805.656228639859
4500,447.9562505278321,52907.89024501383,1751.0260288472602,2759.453895872324
4600,455.7271796192621,53412.12618276787,1746.0346208894869,2831.6483864207444
4700,461.6586314700587,56706.04000823969,1805.9047970961817,2908.199857728477
4800,491.6428280226324,55368.70110261573,1855.3698070113692,2811.2531505169504
4900,495.3041095547246,56867.20068050827,1816.6282087923933,2917.118574153113
5000,497.5693734189689,58085.7511606093,1842.041766880949,2942.654424260212
