milliseconds,T,N,D,L
0,105.53342006509693,1241.2552196861755,-10.447402263798416,13.971959019343027
100,99.70665360438755,70.36272966705656,73.71593267918288,5.553780646362376
200,97.1606118275037,2666.507336921969,153.03966526500182,-68.95964711957065
300,121.78544200601061,2275.825508734919,201.28008986720664,-20.971996833248678
400,111.3532319845879,4323.645976169863,176.5696512997035,67.35410011725709
500,119.71731885138846,5696.748591071263,213.63755325313227,3.323811560295624
600,139.64482357906755,6242.326782121387,275.5178045216488,143.1045721325852
700,144.85985741891355,9927.00007823055,333.55219723551465,166.43499390111566
800,141.95112459888517,10248.14288979575,341.7489837723099,196.82630663927736
900,148.54206733540323,12099.694973333199,490.3479238542534,296.73185800633746
1000,142.98197705040488,14041.734625687859,506.01373937437006,242.9099100364125
1100,148.2852039327758,15336.43952041194,559.2859432535112,434.18412008805905
1200,157.27479385964355,16272.895076914725,542.3393613597837,561.1867799345486
1300,161.0509899812184,17071.255332322642,620.5237414393982,648.5482115384356
1400,168.97737724482292,16564.75948332828,680.4817724316031,608.974716334786
1500,180.47150702051817,19763.65201063192,675.4340734505583,695.2651072628508
1600,189.14739403661605,19677.19098917892,796.3958076808777,785.6806631454986
1700,185.41716754344407,20808.477146655925,843.679742961938,1013.0308681258575
1800,190.96387638761104,23819.425888560774,854.3228219464584,1057.288765907934
1900,218.40364754596968,23324.486590661658,909.2840804708704,1229.8955693165374
2000,206.25639909295933,26279.928564706595,980.00221600764,1320.5617104808032
2100,225.113573007678,26393.820298696755,1008.644512010739,1447.877977874459
2200,234.9847611826625,27395.635425754135,1018.0690245992048,1599.1249459337876
2300,238.6636482157011,28228.7919353094,1076.5976623666254,1747.605956545977
2400,258.0989540734936,28370.213965922376,1077.8984468569242,1742.1448300449795
2500,254.9899056430708,31812.139203943345,1154.1461181358077,1924.3798523002743
2600,264.36978355459365,32457.402113704706,1127.9011900587905,2070.1330172643443
2700,276.65005976625196,34680.38507404924,1233.1134784930302,2156.143663383189
2800,276.44766835580674,34563.314815330195,1278.5587446862376,2213.235901526184
2900,294.8183438384542,35703.04879902093,1287.1636982173652,2109.0243726538793
3000,303.52905877650363,34897.51155259751,1369.1424836217102,2228.3127026164666
3100,297.7269561473073,38553.69459999815,1312.7973583881555,2304.9073141526014
3200,324.8382693649121,38543.01725160262,1374.3211946947952,2294.471619068326
3300,315.74740945645937,39446.798226710955,1460.0392488979826,2461.12228578866
3400,326.9316673507538,42549.36694775378,1423.4107579319557,2456.0067564570827
3500,342.36020587965504,42306.26484120807,1523.6423837526281,2500.3541151422396
3600,351.28493528640615,44260.76005106573,1501.7532052267393,2480.4341824284156
3700,374.30991885264825,43320.29747953949,1536.5363603851533,2576.1662720515064
3800,384.30014077961584,44351.193882721454,1534.14887769034,2623.2158134754354
3900,397.3782935210481,48230.95088356938,1650.0469307273418,2615.8483088672356
4000,388.72839781129113,48525.02910421415,1611.0864652306077,2613.0138502430505
4100,418.67693485818614,48165.85808568878,1721.5187245199736,2699.159071662221
4200,424.54388933431756,48862.06970233535,1752.4163188472594,2776.6441697136684
4300,431.32516575167136,51325.96805132514,1741.951124212714,2853.231784137036
4400,439.96172770397277,50684.14413581907,1691.1046971283495,2780.280104256478
4500,457.0054646984192,52517.49283427827,1764.24406344492,2839.832316800842
4600,453.4959463736297,54007.79910293599,1794.7536803074545,2818.8568737259534
4700,463.96800540246755,53823.599889079196,1816.630107650462,2904.7955803034097
4800,496.23342347239986,55770.397840438185,1796.2318527255088,2839.2414185035677
4900,494.96890488682857,57649.98873572841,1895.605260695942,2867.3943523807734
5000,516.2049328461036,58697.13673852865,1865.7540946336424,2997.1118754427443
