milliseconds,T,N,D,L
0,97.01738612447674,690.2456326293176,32.44705269661573,1.7228723955361223
100,109.89896434051197,578.6837665539842,-2.4534818191797996,-89.07463885326834
200,119.61987827901814,2626.5932783953317,68.92601174191964,-12.55318222719282
300,121.06443552322915,5601.4476698109065,144.93816177796236,-51.028345819844745
400,119.12115672458762,4222.1819770645925,165.42752591160263,-3.008741926030524
500,124.51300459276567,7365.019168199564,282.36118666979837,154.68948166197006
600,119.76349933218857,7573.443042896802,301.25321051031705,145.4358140758648
700,144.08696072647643,9057.917535483397,298.30381356843463,142.49441959708295
800,144.4936390679339,9676.198939932578,397.2222395518888,251.10986793387846
900,139.06257807542752,9768.310757708945,405.14066961086854,294.9364874949407
1000,155.54394340734163,14077.012552921455,449.3103834971568,352.7616067057271
1100,168.54039059276093,14496.272602119607,500.6503441645681,438.979683226546
1200,169.35720777426405,14972.356496559045,604.4140203105825,531.5584482056131
1300,164.5226777808352,14780.728095675742,660.4051609046609,568.210765139601
1400,172.35741450548684,17569.80807249663,643.1142798164369,624.4391692766345
1500,190.41133545116057,18425.5578082746,757.7154403793478,863.9770082248937
1600,176.92207584858275,20373.306898898383,809.9756638657078,828.7665739741719
1700,199.49929846666936,22752.051366241252,832.3725929537126,1073.540039962115
1800,210.15185002570007,23677.260560350067,886.5539506774229,1052.8749365668532
1900,215.9569378599911,25016.244395047157,907.6674713709683,1211.29217732819
2000,225.52184283670175,25425.615240010593,986.1536334720022,1298.9090134095356
2100,217.28793642466943,24469.910113865786,951.0254928114558,1552.6917268485429
2200,240.52579648837312,28951.15283041644,1055.7340493857594,1485.4490820341048
2300,245.0529263515069,30018.361877806678,1074.6133912261566,1781.3974122806992
2400,241.24265769842089,30933.21984700564,1125.5698478413667,1839.3072583861708
2500,263.45229397071375,30267.372614149455,1145.1484409194331,1823.2664842596653
2600,263.99075439056617,30400.723325894447,1153.2729645045877,2009.2382122974363
2700,284.82245932730694,33023.161989106695,1272.6430886148305,1960.6528305909142
2800,273.7677047943162,35529.846232796364,1291.9283049017145,2182.750916434166
2900,299.2674323366905,35305.27624026194,1289.8905280504268,2192.525010328118
3000,303.8749436965619,38167.58574080673,1384.0078366359253,2270.393988972372
3100,299.7969509136266,37136.16577242716,1338.7656833057238,2302.473171679293
3200,306.7221622001026,37690.426171481246,1361.397673887058,2258.165167030892
3300,338.3562926158576,41583.280248363706,1446.4628639390467,2381.783797724818
3400,344.73610445677826,42682.87486991077,1498.6578273274554,2370.111971849524
3500,353.1091558828641,41963.43364129705,1494.9727962418135,2419.5323425242163
3600,347.34935563434334,43187.93289671768,1479.181536072635,2603.442655638303
3700,372.885793528776,44756.11874766359,1613.247759476832,2585.7700823127143
3800,381.2384876378734,46424.187537888945,1646.1983306001705,2564.832227076338
3900,390.9325020072858,45476.599011322316,1616.343683355397,2690.537524511143
4000,403.0608503834792,49394.80785021345,1669.7098337019052,2729.995083995726
4100,401.677685173503,49429.04031736746,1618.2060684909668,2755.8899277406126
4200,407.16210034284984,49430.58980336555,1646.2657954421604,2785.0244485577427
4300,431.2144086987098,49927.882043973936,1760.106290574375,2779.119760620173
4400,448.72079524124473,52652.07408195914,1788.5736383339402,2732.9200164536496
4500,442.8610578929726,54528.509273383715,1731.384465704767,2733.7665908574268
4600,460.87245320721104,54955.60269300427,1756.1585170764097,2860.213653184396
4700,480.60507066945087,53806.80237494191,1761.1900267783058,2795.49165604965
4800,491.5694345246587,57061.61917850383,1811.1343439465902,2912.3287708419252
4900,486.6223692719533,57441.212575244055,1795.7624663595261,2932.547093921591
5000,507.57648390431063,57708.32999197448,1827.6182171638122,2910.7317893847003
