milliseconds,T,N,D,L
0,109.87644511097729,-357.15058072979417,-44.22551503157557,-79.4052745535823
100,107.49377041758348,-86.17964997255376,26.1478428596224,-66.76250878523655
200,108.33935186774332,2420.2196705746987,118.67461090996838,-26.101601744297678
300,122.43841167048504,3052.8442342141307,129.12636449904636,102.33649718495117
400,127.33458901986732,5036.675105778772,138.9749498431917,24.9174728119423
500,134.9240961468013,5776.213612473811,258.9945733140607,151.45180173915531
600,137.526403402548,8025.110952168227,239.26709858911414,4.024899721788785
700,137.24571778704234,8116.334675042946,343.80545945503354,64.08188362871
800,150.62126703543117,9834.510368135307,386.5567240028643,205.62823316476775
900,141.1634824191969,11485.954983974128,471.33816035227125,279.4845172884682
1000,142.68906421486707,13903.291937690927,451.1344254719699,344.69066231008156
1100,158.90304670677511,15395.555868455653,565.8697681886856,476.33506366254795
1200,169.42684329596247,16956.993602851617,605.3532988633143,572.0730557648257
1300,167.54306103145984,16313.494879676598,627.5923649866422,506.34533319052036
1400,173.27128667148284,16185.116248582746,685.1820167084416,677.4796963739311
1500,184.8783948788459,17781.568058058278,713.3817679478304,826.4051158304836
1600,186.41837780055812,18598.28761172821,804.64011947252,840.3470265121562
1700,188.61925092522156,21055.631796391746,800.8631587754688,1072.2408910734114
1800,192.72853724374303,22909.500630625844,854.0444443975397,1169.2227511722467
1900,219.58271050850544,23339.075878757678,935.7611235972902,1140.3187403702773
2000,207.31975810014575,23790.0799118698,932.5649142070855,1357.9896762555306
2100,221.73982635189242,27674.167620816304,996.5395829474688,1503.6743626494165
2200,239.6137956733313,28983.2246163432,986.6068460167494,1681.649153320275
2300,250.38667081779002,26792.269907433612,1077.2904761157404,1586.3626343415367
2400,236.35594269830074,30592.480054786553,1101.3272947883886,1729.4087826878042
2500,252.66708044868176,31263.375075861004,1090.165615921142,1781.7325074352252
2600,254.9026286335211,31994.701426751082,1181.9502146613459,1878.4474086054843
2700,272.09910090586425,33789.26558600234,1202.5215859193358,2023.987726538787
2800,286.5169547175648,33947.1089982651,1216.0675555606447,2171.8890946536008
2900,287.66676000087,36440.15816231142,1290.6660579143215,2175.189790888514
3000,298.4792033986145,36381.849580546856,1322.6517313060301,2168.2464465391686
3100,311.8121641667861,36520.22503541046,1412.0599191106396,2246.145740000024
3200,321.76861315239154,38374.34608961074,1365.6817674781737,2366.1517664970215
3300,315.33459049973493,40481.28575293869,1462.0172581040472,2409.1663168990467
3400,342.89820801212875,41984.875337420795,1454.7914069508113,2437.156891045935
3500,349.196094776947,42921.7442572464,1442.022390365076,2435.638663926924
3600,345.99686991635554,43821.69160295095,1480.5015536615115,2628.961718290995
3700,378.04858241805624,44293.38397137712,1538.9559221327108,2625.1355461172443
3800,367.2417757348762,47210.1147589124,1533.9179527027668,2709.7142764263253
3900,391.06711099244853,46673.15126118191,1646.1324716324093,2700.3993679044547
4000,396.39057857978804,46634.44824358807,1689.3279432626205,2653.1981408065362
4100,397.03306279929177,47241.90272560284,1709.6511657035355,2642.8626191738076
4200,414.3876787683631,48514.043409477104,1723.4051433605666,2638.566781155722
4300,418.34023041705666,51421.097350009506,1668.9691845035288,2733.210017015683
4400,451.6636764421795,53586.48830434658,1754.9746532998458,2729.467468469524
4500,445.73696517763074,52782.46967361279,1785.60800927215,2917.530942572494
4600,450.22986532094376,55258.911512101826,1769.0797375356767,2898.9963302526617
4700,463.4791771980689,57022.99710981153,1862.540589272079,2850.7362930059357
4800,475.57155203277705,57794.28109596731,1832.7234293428362,2980.9642068737203
4900,494.92596065537884,58986.25268027734,1894.9715800445886,2840.729432532193
5000,513.8951009101434,58249.15330800255,1829.1109612276343,2903.9497161245667
