milliseconds,Effector_cells,Tumor_cells,IL_2
0,1.0594979715979385e-05,9.95282066040655e-06,1.013376666453626e-05
100,1.0673730318044571e-05,1.021021716939507e-05,8.808845428954573e-06
200,1.2508457467983016e-05,1.0175481213919618e-05,7.819119934098813e-06
300,1.3524878531524468e-05,1.0306719356485013e-05,6.964802213132009e-06
400,1.4601903118384032e-05,1.0553658197107913e-05,6.342794046403269e-06
500,1.4375516308018292e-05,1.0692786644997755e-05,6.021843064936956e-06
600,1.6288528853071437e-05,1.0741925902338012e-05,5.6758178051729405e-06
700,1.7139859097476907e-05,1.0822555695846666e-05,5.406974658479499e-06
800,1.749475155172355e-05,1.0932015651938318e-05,5.265025352770594e-06
900,1.8617520400427633e-05,1.10963131463956e-05,5.12277494890438e-06
1000,2.1048915640953e-05,1.130887934589039e-05,5.331276779089041e-06
1100,2.1446709004471982e-05,1.1451980132795633e-05,5.20657998291204e-06
1200,2.1636069640516116e-05,1.148919807548555e-05,5.429602248637092e-06
1300,2.3997616353663126e-05,1.1743627989552213e-05,5.297931474934327e-06
1400,2.4639468282461418e-05,1.1728325380977043e-05,5.5106006204948895e-06
1500,2.4845741960688106e-05,1.2091793030718034e-05,5.673378243975723e-06
1600,2.6364939226473973e-05,1.2157707991029719e-05,6.20854078802886e-06
1700,2.8482768550229377e-05,1.2187107793356933e-05,6.305943479175212e-06
1800,2.805945507571903e-05,1.2360334553229968e-05,6.602402745697234e-06
1900,3.079430433159435e-05,1.2559579292884152e-05,6.749642534243032e-06
2000,3.213044131447024e-05,1.2603420239386622e-05,6.94245787953337e-06
2100,3.300483463476397e-05,1.2965972187668795e-05,7.502796543094493e-06
2200,3.364963614016986e-05,1.3062318650361202e-05,7.752220652540735e-06
2300,3.475224361245427e-05,1.3253564586366184e-05,8.19759871882382e-06
2400,3.645345147779804e-05,1.3314383023741818e-05,8.225672366286491e-06
2500,3.73077508615917e-05,1.3559451920035983e-05,8.951311373848268e-06
2600,3.765406961057105e-05,1.3709557429836792e-05,9.237115781181144e-06
2700,3.893714284470567e-05,1.3823674261906099e-05,9.250092012320839e-06
2800,4.10311146892522e-05,1.3962540444006446e-05,9.898182273836608e-06
2900,4.18795986174798e-05,1.4058104191386044e-05,1.016210103451413e-05
3000,4.265366570954069e-05,1.4275670556234706e-05,1.0494326709744194e-05
3100,4.428103106751288e-05,1.4337929624682045e-05,1.0780670681700293e-05
3200,4.590818629441274e-05,1.4535855426246186e-05,1.1556780233554164e-05
3300,4.718462091401379e-05,1.4787592644753845e-05,1.190637741793968e-05
3400,4.8259670998723124e-05,1.5072932572227997e-05,1.2380757329755699e-05
3500,5.072947163752589e-05,1.5205981807177277e-05,1.265046303934391e-05
3600,5.205651029365786e-05,1.535035306309341e-05,1.3100856208474256e-05
3700,5.262917991218119e-05,1.558885143506481e-05,1.3730831775230014e-05
3800,5.3510869120036154e-05,1.5740882105102234e-05,1.3875756964740405e-05
3900,5.539154916473239e-05,1.5745420643343795e-05,1.453007195398e-05
4000,5.681805286721735e-05,1.6111832980778333e-05,1.4979240614505678e-05
4100,5.793849407625606e-05,1.6315156502210272e-05,1.5278834779457777e-05
4200,5.8965693915264187e-05,1.6508792260201567e-05,1.5921104779996188e-05
4300,6.0462913158733983e-05,1.6540277741186225e-05,1.6357650716326508e-05
4400,6.197402105850668e-05,1.6876800009405302e-05,1.6975405717877093e-05
4500,6.449632464289106e-05,1.6861463349989182e-05,1.7283898839063387e-05
4600,6.596675787938987e-05,1.716448425570121e-05,1.806639814180055e-05
4700,6.781413203471564e-05,1.735528296921435e-05,1.8226288668338986e-05
4800,6.842734920282619e-05,1.745518913482107e-05,1.9059023287852635e-05
4900,6.999896160077945e-05,1.771146367398257e-05,1.9375401607692645e-05
5000,7.189198220131268e-05,1.8012701373994347e-05,1.9928250903741302e-05
