miliseconds,Effector_cells,Tumor_cells,IL_2
0,1.0851944917374447e-05,9.988723113647108e-06,9.872401664130926e-06
100,1.0450923514753318e-05,1.021738167607624e-05,8.760261939674325e-06
200,1.1889516960107806e-05,1.0232494668041158e-05,7.909560027932933e-06
300,1.2575886304188369e-05,1.030614076553887e-05,6.900757055304059e-06
400,1.342488520991222e-05,1.0448323530383215e-05,6.2493423933211775e-06
500,1.5717390354089617e-05,1.063565988460582e-05,6.062440517569064e-06
600,1.5666223172957652e-05,1.0853935388838317e-05,5.598153769477701e-06
700,1.641764483851338e-05,1.086494092579025e-05,5.551742600008434e-06
800,1.773722637240392e-05,1.0999725420001164e-05,5.1782978121849845e-06
900,1.908031028473943e-05,1.1219817777524736e-05,5.263065545538928e-06
1000,2.0069269625656797e-05,1.124734436437209e-05,5.111190867139693e-06
1100,2.060071895961135e-05,1.1517947316041546e-05,5.43733371494397e-06
1200,2.166372285346582e-05,1.1456934380350836e-05,5.4599208640390485e-06
1300,2.302253143581308e-05,1.1600676813861802e-05,5.68459663379012e-06
1400,2.4471553649967472e-05,1.1815079406611135e-05,5.7129002294629025e-06
1500,2.5227461770768508e-05,1.1876186297478235e-05,5.910278588498884e-06
1600,2.5902272648882208e-05,1.2124263886471119e-05,6.252625905057988e-06
1700,2.8237817017492015e-05,1.227865747951496e-05,6.21012918969817e-06
1800,2.8926975486781016e-05,1.242266615848598e-05,6.459495983301718e-06
1900,2.947836096385552e-05,1.2515460919353848e-05,6.621875387147761e-06
2000,3.1472077001818577e-05,1.2737897513348647e-05,7.091513805753512e-06
2100,3.265470369657826e-05,1.292597254365953e-05,7.2171734452267205e-06
2200,3.3476025865010406e-05,1.3000491663160555e-05,7.65178906127438e-06
2300,3.442946930373566e-05,1.3207236758853942e-05,7.856535801918286e-06
2400,3.619008044746253e-05,1.3219172153639475e-05,8.452310119666016e-06
2500,3.813793880270865e-05,1.336753881942007e-05,8.841495195164063e-06
2600,3.828243594242238e-05,1.3568840276069163e-05,8.943523193505183e-06
2700,3.984525132596491e-05,1.3701971154797036e-05,9.45341523293531e-06
2800,4.0918188387224315e-05,1.3954480468691677e-05,9.815648758355078e-06
2900,4.1907363055216e-05,1.409491447413251e-05,1.0171442194566836e-05
3000,4.375571641718113e-05,1.4343213864205062e-05,1.0738257146570486e-05
3100,4.4060565576740486e-05,1.4491492676195556e-05,1.1182246771169588e-05
3200,4.593696732486687e-05,1.4667606407397289e-05,1.1436371917815513e-05
3300,4.766943043230163e-05,1.47275438859782e-05,1.178234266697902e-05
3400,4.839103384840487e-05,1.4880187667222038e-05,1.245451709448644e-05
3500,5.047153695497285e-05,1.5224253109280099e-05,1.2665521021351005e-05
3600,5.1137925635549155e-05,1.5400347811915026e-05,1.3272254469847508e-05
3700,5.1890427633311926e-05,1.558847257144533e-05,1.3621643099138042e-05
3800,5.395666743666581e-05,1.5600475288130206e-05,1.3869296882085998e-05
3900,5.6199202638497e-05,1.5846795799749463e-05,1.445257128071887e-05
4000,5.756142930964293e-05,1.5950594582610016e-05,1.5043963357675531e-05
4100,5.79693133004869e-05,1.6274140369102904e-05,1.541379909012273e-05
4200,5.934117237248472e-05,1.6349796277456968e-05,1.581579439566305e-05
4300,6.02323763007899e-05,1.6678115705775668e-05,1.6567097059237755e-05
4400,6.319049038449985e-05,1.671852263504975e-05,1.6655566495112988e-05
4500,6.458053069731958e-05,1.687599587156318e-05,1.7310502517400374e-05
4600,6.477201734107416e-05,1.7212548225626483e-05,1.802980232288525e-05
4700,6.789287258603725e-05,1.7290762348300503e-05,1.8258144230759386e-05
4800,6.859860772401343e-05,1.7639759958486326e-05,1.8685838025495628e-05
4900,7.049757965739767e-05,1.7671447990913606e-05,1.9267433450058425e-05
5000,7.143598039482839e-05,1.795962939475094e-05,2.005847451604977e-05
