miliseconds,Effector_cells,Tumor_cells,IL_2
0,9.81722735171381e-06,9.909819681574541e-06,9.967795238519891e-06
100,1.0187831127427717e-05,1.013635721849408e-05,8.6539297633881e-06
200,1.2704493978696015e-05,1.0162947567436972e-05,7.841466263457004e-06
300,1.3229698069599455e-05,1.0482380807318119e-05,7.101593265127585e-06
400,1.3816323308565476e-05,1.0575681982722942e-05,6.4156933563813904e-06
500,1.535640386051216e-05,1.0703229131556311e-05,6.000331065873295e-06
600,1.608941679027063e-05,1.0833087167002836e-05,5.8262970330710256e-06
700,1.717614479468251e-05,1.0790521093368523e-05,5.268562178964379e-06
800,1.8024722462029602e-05,1.099671932862291e-05,5.355772109327457e-06
900,1.8525247832628527e-05,1.120194256910833e-05,5.168443353810749e-06
1000,2.0928661628386135e-05,1.1300637794924257e-05,5.40069188778755e-06
1100,2.1785090538097492e-05,1.140336558188319e-05,5.427942713046012e-06
1200,2.2435346539273214e-05,1.1631071992679121e-05,5.391725296061641e-06
1300,2.2635838389994445e-05,1.1786964050717081e-05,5.583618231257478e-06
1400,2.5046830868913246e-05,1.1859433453790447e-05,5.516575604971276e-06
1500,2.4794013544316378e-05,1.2045888237043439e-05,5.800855627843011e-06
1600,2.663740916514825e-05,1.2002266260723743e-05,6.051378860603637e-06
1700,2.8590285369063807e-05,1.2288179800806e-05,6.394138417959636e-06
1800,2.8095910872665947e-05,1.2378199094868193e-05,6.532424628773735e-06
1900,2.9904534669151666e-05,1.2495591534354673e-05,6.7407149410359654e-06
2000,3.1998828631177984e-05,1.2682372822929499e-05,6.978553511648581e-06
2100,3.2068519037514274e-05,1.2925545215550361e-05,7.431196923509518e-06
2200,3.407602372663393e-05,1.3009419776234532e-05,7.903854853607847e-06
2300,3.4540470211987685e-05,1.3071518587600028e-05,8.270106885218506e-06
2400,3.547236362968041e-05,1.3321844299374736e-05,8.346792537575817e-06
2500,3.643963405735416e-05,1.3530467175414923e-05,8.818334201539258e-06
2600,3.89171305153517e-05,1.3634582389737153e-05,9.266391103957525e-06
2700,4.012962842670654e-05,1.3900246752615152e-05,9.610050965454938e-06
2800,4.1176705519174305e-05,1.3859366341440914e-05,9.912498660601163e-06
2900,4.2428668907389474e-05,1.4187561117742609e-05,1.0336025350955238e-05
3000,4.35842268055337e-05,1.4269193717540534e-05,1.081647194990716e-05
3100,4.451261564485677e-05,1.4474539579486439e-05,1.0800706126760689e-05
3200,4.578811701216246e-05,1.4590838666913283e-05,1.1376887726698059e-05
3300,4.6783539389151476e-05,1.4866755655755759e-05,1.1806387985289779e-05
3400,4.916145552937035e-05,1.4998964978497939e-05,1.2378650308173989e-05
3500,4.9206889659179384e-05,1.5040597606747025e-05,1.2836077548288805e-05
3600,5.066050915457127e-05,1.5202003472552393e-05,1.3316011985599634e-05
3700,5.264438435404164e-05,1.5581323166047547e-05,1.3346627536393864e-05
3800,5.34889868116758e-05,1.566825145261292e-05,1.3790220811979507e-05
3900,5.4846724088404304e-05,1.5881017011680184e-05,1.4296945566637855e-05
4000,5.7275776378896105e-05,1.5933744729288286e-05,1.504135507316412e-05
4100,5.774421066925591e-05,1.627138506005267e-05,1.5280222901413167e-05
4200,5.9846777301303675e-05,1.6289725385149174e-05,1.5929881070069296e-05
4300,6.119310304074372e-05,1.6488705519743584e-05,1.6178660771170195e-05
4400,6.310048625522581e-05,1.6740035408256326e-05,1.665598964027959e-05
4500,6.444552259081444e-05,1.6940301292712347e-05,1.7304094667925848e-05
4600,6.612563841566348e-05,1.704803591299063e-05,1.8026687128264403e-05
4700,6.78621679130136e-05,1.7328283530531777e-05,1.8229554033413952e-05
4800,6.91760540837811e-05,1.757601898537337e-05,1.8994384649051476e-05
4900,6.948533187547184e-05,1.7682485371600802e-05,1.9265449600944978e-05
5000,7.234407860616347e-05,1.8046193776575497e-05,1.9845000380707476e-05
