milliseconds,Effector_cells,Tumor_cells,IL_2
0,9.151230855543255e-06,9.942249138863173e-06,9.846889174441626e-06
100,1.1071950790324266e-05,1.0116182346204418e-05,8.8744892498426e-06
200,1.233956353918413e-05,1.0255983990524708e-05,7.948494393866135e-06
300,1.3742453553469834e-05,1.033676463906241e-05,6.859641724764136e-06
400,1.401476547674967e-05,1.0592763228563393e-05,6.3384776859920626e-06
500,1.584299538704124e-05,1.0574169244757085e-05,6.007119551573779e-06
600,1.591203203360665e-05,1.0683434603911018e-05,5.580426471621784e-06
700,1.7264879240829787e-05,1.0959593416892419e-05,5.221949543604824e-06
800,1.811998660360188e-05,1.1124642974706728e-05,5.355755090803656e-06
900,1.882341859093923e-05,1.1205673070543484e-05,5.063005801573034e-06
1000,1.9506705455951206e-05,1.1394579150709545e-05,5.418374524824365e-06
1100,2.1651986972661574e-05,1.1472607207569339e-05,5.105490995030059e-06
1200,2.266564362884935e-05,1.1540829155225973e-05,5.572425766068609e-06
1300,2.2979446785020694e-05,1.1717086103388833e-05,5.692703109145097e-06
1400,2.4681890919168798e-05,1.178349616266125e-05,5.467085304331026e-06
1500,2.6114404913979934e-05,1.1876423627153306e-05,5.9844158202393444e-06
1600,2.6953203110332756e-05,1.2181632295441717e-05,6.285815563118447e-06
1700,2.749357070452995e-05,1.229312514920907e-05,6.210857652029601e-06
1800,2.9502944280101987e-05,1.252210137479936e-05,6.761556599010112e-06
1900,2.9368628717446053e-05,1.2455009375770232e-05,6.885800060303806e-06
2000,3.107491022309668e-05,1.2691064026596295e-05,6.939046166363656e-06
2100,3.233119338235084e-05,1.2820799533581778e-05,7.414383704368264e-06
2200,3.354736807789582e-05,1.3018035083734996e-05,7.804625745865551e-06
2300,3.4216430019116736e-05,1.3099584871473756e-05,7.849861903639445e-06
2400,3.649461429702749e-05,1.337992877096062e-05,8.40279349912245e-06
2500,3.777889657497291e-05,1.3399021740381105e-05,8.758451738428346e-06
2600,3.800191344744481e-05,1.3687269405620665e-05,8.962336917201381e-06
2700,3.9452450770740316e-05,1.3888598509438638e-05,9.371004247585476e-06
2800,4.1416590256925684e-05,1.3975390153905147e-05,9.880782391120383e-06
2900,4.15324491874338e-05,1.4159754769924428e-05,1.02121773172584e-05
3000,4.3705286302464805e-05,1.4180677678738522e-05,1.0472316288827219e-05
3100,4.412690810369761e-05,1.4418320341762627e-05,1.1024249755615047e-05
3200,4.5755202846757056e-05,1.467450502830176e-05,1.1486326328496785e-05
3300,4.753951489700669e-05,1.4818229816340008e-05,1.1867212404710558e-05
3400,4.914591596602552e-05,1.5019444575162303e-05,1.2291868938173497e-05
3500,5.0441514953839045e-05,1.5194442246489552e-05,1.2661208037787666e-05
3600,5.137537711410367e-05,1.529520384634341e-05,1.3117919427815775e-05
3700,5.337429845949375e-05,1.5545945436935576e-05,1.3665267959367152e-05
3800,5.393383100352755e-05,1.5675669686834112e-05,1.4114637713847528e-05
3900,5.620244011568519e-05,1.583872884685681e-05,1.4590419493232393e-05
4000,5.652829414193453e-05,1.606983752185378e-05,1.5073287586900692e-05
4100,5.7878516321776014e-05,1.6177165366156347e-05,1.535460276839323e-05
4200,6.016234151414716e-05,1.6332376772453025e-05,1.6003840207422136e-05
4300,6.0952405003592304e-05,1.6664058474688255e-05,1.624927757979536e-05
4400,6.346469385702568e-05,1.6876926364004605e-05,1.700851444966517e-05
4500,6.34097291732927e-05,1.7069162229213223e-05,1.7436582270393533e-05
4600,6.550096149077375e-05,1.7250363423704195e-05,1.7903600404123064e-05
4700,6.7437093786773e-05,1.7318927395081576e-05,1.827663906514948e-05
4800,6.76920302799646e-05,1.765735867389874e-05,1.8861300164025892e-05
4900,6.923426503863056e-05,1.7768878398164024e-05,1.9329098968569672e-05
5000,7.134463844975929e-05,1.8045633624049182e-05,1.9994828059830752e-05
