miliseconds,Effector_cells,Tumor_cells,IL_2
0,1.0312834310575672e-05,1.0028085190478532e-05,9.953800915325945e-06
100,1.1881232434016211e-05,1.0203470177744514e-05,8.785035399309502e-06
200,1.2288608627086526e-05,1.02515240430648e-05,7.945056550809853e-06
300,1.3789313369016428e-05,1.0332958892999883e-05,7.223830470629483e-06
400,1.4858239780643375e-05,1.0597615346181104e-05,6.556537134960706e-06
500,1.584557537259357e-05,1.051319824727201e-05,5.945403726190517e-06
600,1.5181030128112454e-05,1.0680941655637882e-05,5.7321044802521675e-06
700,1.7530051526422082e-05,1.0928684009012268e-05,5.304612117977312e-06
800,1.7522028093400726e-05,1.0901099213281783e-05,5.182812116746232e-06
900,1.8956573819454405e-05,1.1172940857104005e-05,5.133237173343364e-06
1000,2.02238814685225e-05,1.1170929058087049e-05,5.179945613765303e-06
1100,2.08352916748682e-05,1.1462868834036994e-05,5.3273425833113556e-06
1200,2.3010619893593483e-05,1.1597550328349798e-05,5.5081528372040925e-06
1300,2.261960680159649e-05,1.1781498825975635e-05,5.532694235595252e-06
1400,2.5323890171414887e-05,1.1924703279356802e-05,5.552204606374861e-06
1500,2.6488704040797793e-05,1.207705375361967e-05,5.96301772350517e-06
1600,2.7591310844397196e-05,1.2024584524401338e-05,6.202719520494974e-06
1700,2.7937518852294493e-05,1.2226783886018889e-05,6.114119913997465e-06
1800,2.806782566884281e-05,1.2451480153687928e-05,6.643679183105682e-06
1900,3.0556014908823345e-05,1.2638611971960766e-05,6.984530423207329e-06
2000,3.123569140726304e-05,1.2642822793555638e-05,7.30432358134014e-06
2100,3.191977731847747e-05,1.2884592293911513e-05,7.552351785666425e-06
2200,3.342039227152247e-05,1.2948511049051908e-05,7.753822170171066e-06
2300,3.393631478589857e-05,1.309764001875651e-05,7.87253673592343e-06
2400,3.660465967826076e-05,1.3382906333830492e-05,8.383456982609203e-06
2500,3.637921501018872e-05,1.3550471158112981e-05,8.5098618289641e-06
2600,3.76635449497392e-05,1.3734323758626707e-05,9.02864215993724e-06
2700,3.912188574594025e-05,1.3861552290909081e-05,9.500934086014372e-06
2800,4.0756947794201596e-05,1.3941380071278666e-05,9.664619922489357e-06
2900,4.2558205933041075e-05,1.4234159966345249e-05,1.0405721204735683e-05
3000,4.384867681927942e-05,1.4231786867581702e-05,1.0675662851354207e-05
3100,4.448597165399826e-05,1.443478128435441e-05,1.0822968475981275e-05
3200,4.681614033599646e-05,1.4655182660376034e-05,1.1614557256095256e-05
3300,4.669796493597678e-05,1.4737098250510946e-05,1.2007929967338004e-05
3400,4.7966103213010934e-05,1.507275981235011e-05,1.2307110364101712e-05
3500,4.9717192223466174e-05,1.5045528679563526e-05,1.2449596725583685e-05
3600,5.078931045422659e-05,1.5351052559748152e-05,1.2999077203912109e-05
3700,5.2318355391499374e-05,1.5504068302599914e-05,1.374824608645728e-05
3800,5.3175920324962355e-05,1.5696967346953754e-05,1.3819844276924008e-05
3900,5.572017558012189e-05,1.58192665217682e-05,1.4335539658944264e-05
4000,5.656495118163895e-05,1.614237115037352e-05,1.4985381255289813e-05
4100,5.858582781562215e-05,1.6255772147944846e-05,1.519999223784504e-05
4200,6.012826255465675e-05,1.6431770235729254e-05,1.588301995660347e-05
4300,6.053336548212657e-05,1.6548353952305218e-05,1.6474666891616547e-05
4400,6.348003071383274e-05,1.667920562242329e-05,1.6636446742439176e-05
4500,6.47846871030551e-05,1.7033975275521103e-05,1.7527201030365697e-05
4600,6.50793511834119e-05,1.722690611586162e-05,1.7923858269108173e-05
4700,6.772401654889216e-05,1.738492193806473e-05,1.8393878836372296e-05
4800,6.909649470055762e-05,1.7657811261276565e-05,1.866195102428373e-05
4900,7.081557714208959e-05,1.7682810102039146e-05,1.9444327861286943e-05
5000,7.083406497122974e-05,1.7939142700977034e-05,2.013264944584635e-05
