miliseconds,Ca_cyt,Ca_er,IP3_cyt,Na_cyt,ATP_cyt,ADP_cyt,n,V
0,0.08499967057619276,22.800000194305326,0.3299999866934577,9857.999479717753,932.0222557141892,3067.835533895092,0.0012299712060699697,-60.90561989396095
100,0.08500040672886007,22.799999762738402,0.3299999870838341,9858.003940815406,932.2820873316358,3067.7665513456654,0.0012297603866481392,-60.884178847044325
200,0.0850002217385309,22.79999920931038,0.3299999350804398,9858.005321882041,932.2891471763302,3067.6896978077825,0.0012300983369960654,-60.88243728933294
300,0.08500110726223875,22.799998839842278,0.32999993482834805,9858.008416185743,932.3408525309737,3067.5564106999627,0.0012301575060846017,-60.86573082056399
400,0.08500118101523622,22.79999853223603,0.32999992186770094,9858.00959708774,932.5153004861061,3067.4673387340363,0.0012303418946168821,-60.862344401997646
500,0.08500145135207586,22.799998248722627,0.32999988769102684,9858.012544270006,932.5491936666416,3067.391348771097,0.0012302610309273471,-60.844198033876204
600,0.08500153673582313,22.799997981947666,0.32999984474999705,9858.01599202909,932.7049973610451,3067.2128410069195,0.00123005790689555,-60.829837462372055
700,0.08500209763786448,22.79999731728412,0.32999984583677167,9858.018194809803,932.807536723032,3067.231346566,0.0012302732660306945,-60.82688379982361
800,0.08500306959075674,22.799997103639353,0.3299998103840389,9858.019353682379,932.9705830046166,3066.9914001178613,0.0012302428470210719,-60.81259149296228
900,0.08500325319054931,22.79999650824312,0.32999977558832505,9858.020232777348,933.1162166761542,3066.929408235492,0.0012306547798708368,-60.803155547715676
1000,0.08500367099873718,22.799996228203845,0.32999975685792127,9858.024760147187,933.2126148299991,3066.822153202377,0.0012307110964427494,-60.789186103663155
1100,0.08500430353759204,22.799995918539025,0.32999972367883024,9858.027075821145,933.3289743610939,3066.770239887607,0.0012311102974559142,-60.789237355187815
1200,0.08500421989633715,22.799995494349893,0.3299997036242727,9858.028393901377,933.3922838724615,3066.69986323356,0.0012309917839277318,-60.7709849004385
1300,0.08500465457273933,22.799995276950167,0.3299997063789683,9858.029513146344,933.3945809626433,3066.48213597982,0.001231040461887371,-60.76368332486843
1400,0.08500558355885515,22.799994689350914,0.32999965876924137,9858.03477140645,933.5757740254056,3066.4618549418483,0.0012314917587374523,-60.752392755386396
1500,0.08500559305278832,22.799994546112583,0.3299996578438693,9858.034502545774,933.6303793814272,3066.288916245523,0.0012315065201528078,-60.745511172939395
1600,0.08500603426797833,22.799994454670077,0.32999963210396926,9858.037310804777,933.7305563637748,3066.245894936745,0.0012320887272349148,-60.73975122832762
1700,0.08500672081608679,22.799993744277792,0.32999958030709925,9858.04012964328,933.9458825151322,3066.1394900988444,0.0012321255167135837,-60.725930914820346
1800,0.08500690452795905,22.799993511541604,0.3299995794624138,9858.041001446081,934.068489553409,3065.9622912985565,0.0012325105466620538,-60.716961746063646
1900,0.08500771673247337,22.799993115001843,0.3299995391582879,9858.0431127772,934.0648736993578,3065.9033024725027,0.001232789321160138,-60.709927887409435
2000,0.08500802769997448,22.799992905631548,0.32999951578898246,9858.047333865863,934.2041647050563,3065.724551408428,0.0012329888438478204,-60.69602591341466
2100,0.08500840139267864,22.799992281938675,0.32999948982458754,9858.049541968965,934.3068799202341,3065.7568768410256,0.001233009915044051,-60.6841054441375
