miliseconds,Ca_cyt,Ca_er,IP3_cyt,Na_cyt,ATP_cyt,ADP_cyt,n,V
0,0.08500022906697088,22.799999894274794,0.3300000049218787,9857.998402217247,932.0484707021042,3067.835484057799,0.0012301596691537229,-60.893652921117095
100,0.08500047332299676,22.799999708083,0.32999998010109716,9858.002037874207,932.2677285241034,3067.725951656516,0.001229832477655928,-60.88943681370346
200,0.08500097421429577,22.79999942777964,0.3299999412754037,9858.004491163269,932.3839124839969,3067.7208450392177,0.0012299079464797723,-60.873567860809
300,0.08500072104242183,22.799999007774716,0.3299999304802141,9858.0061590296,932.4837464336989,3067.5179843892415,0.001230154369821046,-60.8679543364283
400,0.08500117882369804,22.7999986349617,0.329999904804104,9858.008493321338,932.5299480702586,3067.4340412498623,0.001230255439909029,-60.85103166433992
500,0.08500184153253833,22.79999834665969,0.32999987630363325,9858.013651568412,932.5680077425085,3067.34942688039,0.001229995257308432,-60.83982015342849
600,0.0850021170122535,22.799997814021218,0.3299998590084569,9858.01482534268,932.6707163462141,3067.251437345329,0.0012300846061421545,-60.833326922617566
700,0.08500228856342636,22.799997199305192,0.32999984176805724,9858.016936254844,932.886787551074,3067.1799170838494,0.0012302344966705799,-60.83048165191442
800,0.08500230968174557,22.79999714014345,0.32999981124424893,9858.019912843647,932.9297646742856,3067.1073982903945,0.0012304773091036426,-60.81431501709708
900,0.0850027569125465,22.799996602146717,0.32999978338931935,9858.02006877648,933.0247878826054,3066.953445494116,0.001230516226748679,-60.80000228274496
1000,0.08500343653437487,22.79999659395284,0.3299997745040213,9858.023234340151,933.1539348597428,3066.9185251742965,0.0012306678597001361,-60.79449720271942
1100,0.08500366897334566,22.799996083512564,0.329999748626937,9858.0266010295,933.2187761798367,3066.759933477376,0.0012308374797894725,-60.7821703835063
1200,0.08500421709776815,22.799995854612614,0.32999972792036075,9858.027111787342,933.3838136976525,3066.697654129744,0.0012309249612366634,-60.774272839345684
1300,0.08500524200333893,22.799995240398083,0.3299996817491638,9858.031958289244,933.5074214613755,3066.5632396762794,0.001231219097748049,-60.76422274292715
1400,0.08500536126648812,22.799994768700756,0.32999967142681036,9858.032800276122,933.6419278396427,3066.4951289877904,0.0012313659547489486,-60.752381978573844
1500,0.08500566420847694,22.799994462035663,0.3299996389480287,9858.034579419671,933.7055164614619,3066.2849712189345,0.0012318582175172513,-60.75016842492426
1600,0.08500656628107799,22.799994197472635,0.3299996108973901,9858.039159691361,933.7452076717728,3066.1513324032,0.0012318563243107036,-60.73803888648454
1700,0.08500676143600748,22.79999372999867,0.3299995922786178,9858.038633123419,933.8821103210392,3066.13747355162,0.0012320527232993798,-60.7266997037056
1800,0.08500766358063316,22.799993351914704,0.32999957173596906,9858.041319073714,934.0097506593567,3066.0126996186864,0.0012324532363989656,-60.718376777981014
1900,0.08500813447970587,22.799993247725933,0.3299995597343226,9858.043167760688,934.1011061025822,3065.8791554000613,0.0012328134676249994,-60.7124174851562
2000,0.08500809244276072,22.79999256399843,0.3299995282327693,9858.04562594448,934.2506240563282,3065.845114613373,0.0012326909733835938,-60.69192933600468
