miliseconds,PolyQ,Proteasome,NatP,MisP,MisP_Proteasome,AggP1,AggP2,AggP3,AggP4,AggP5,AggPolyQ1,AggPolyQ2,AggPolyQ3,AggPolyQ4,AggPolyQ5,SeqAggP,AggP_Proteasome,mRFPu,mRFPu_Proteasome,PolyQ_Proteasome,ROS,p38_P,p38,p38death,PIdeath
0,1000.0,1000.0,19500.0,-3.6425904367624245e-30,4.787690554170263e-47,9.032199623117935e-54,1.9912207532660403e-89,4.0289577490174656e-125,2.405430190776942e-162,0.0,3.4784948857124227e-31,-2.32016953111823e-48,1.0986584410918957e-65,4.058809585671629e-84,3.4753762087006047e-100,1.793139609579015e-117,-4.066600333962396e-49,300.0,4.5550051757064646e-30,1.3453022635350335e-30,10.0,1.1371401582486218e-31,100.0,-3.227589010648045e-51,2.4863470476401607e-69
100,1000.0,1000.0,19500.0,-1.1284979152612412e-29,6.325413095166994e-47,-5.0762812203880476e-54,2.0456839822790068e-89,-3.629533105891812e-125,-9.104984865624401e-161,0.0,3.5524392757685966e-31,1.2207783502177046e-49,-1.1090668514026267e-65,1.815374017223748e-83,4.7798068589844854e-101,1.3730495751509455e-116,-3.1562614741419156e-49,300.0,4.509931845299075e-30,4.099164834956254e-31,10.0,-1.1276059339600272e-31,100.0,-1.468731073001723e-51,-5.846742672855008e-70
200,1000.0,1000.0,19500.0,-1.0884758622925616e-29,-1.1913334095023184e-46,-8.462328972098173e-54,2.6201316103244705e-89,4.951143307551754e-125,-9.886954433912522e-162,0.0,3.931431084691045e-31,1.8235509053375487e-48,-1.2779909897142638e-65,1.7235721926186635e-83,1.4341064428450226e-101,-1.2201299486446378e-116,6.454324722226669e-50,300.0,-3.3341040104750566e-30,1.3491958561674965e-30,10.0,-1.209622826610902e-31,100.0,-2.997949583263046e-51,1.0182975946424691e-69
300,1000.0,1000.0,19500.0,1.1316535129449908e-30,-7.792169917034521e-47,8.978605344474456e-54,-3.2567970779792123e-91,-2.303832051621154e-125,-3.988325793719057e-161,0.0,7.76196947660472e-33,-1.5075507042066173e-49,1.1303875241105582e-65,-1.883437427738768e-83,1.9705814989600556e-100,-5.382807392786464e-117,4.0511379749338184e-50,300.0,-3.8828007728333804e-30,3.8225490156879673e-31,10.0,1.5775938987332225e-31,100.0,7.520118942110442e-52,-2.2520283570423025e-69
400,1000.0,1000.0,19500.0,-4.9872378199906455e-31,-1.4409025430719054e-46,-9.668457903115863e-54,-5.394921079282926e-90,3.768795459771241e-125,-1.3885035770787467e-161,0.0,-2.9916363135347623e-31,-2.319939602288915e-49,-3.309747820258927e-66,6.452569008558613e-83,-1.8456664379830186e-101,-1.814307974695557e-116,-2.0268620936742647e-49,300.0,-3.8914505472731274e-30,-3.93891675899055e-31,10.0,1.0442788168566943e-31,100.0,-2.132488896776869e-52,6.477918163462228e-70
500,1000.0,1000.0,19500.0,-6.107555398139907e-30,5.1871940017829984e-48,-1.3081831538493692e-53,6.950018063388299e-90,1.7907337181241693e-125,7.095077473858959e-162,0.0,-1.7521921670902408e-31,4.800185779614802e-50,-7.651744122191796e-66,-5.640564192954126e-83,-2.390301225803064e-100,-2.5097932771434444e-116,2.58483515276291e-49,300.0,-2.740815334071763e-30,1.1847144514064967e-30,10.0,1.9808615532697891e-32,100.0,-1.9553477016660176e-51,1.674159829447924e-69
600,1000.0,1000.0,19500.0,9.563761075935888e-30,8.91560063789443e-48,6.956346669139156e-54,1.9121803214868568e-89,-3.7052466008857806e-125,8.041244820242385e-161,0.0,4.0787122789006454e-31,1.985122340659401e-48,1.1804904160096918e-65,-1.4925000493542651e-84,-4.2486688069505426e-102,-1.5248179633943436e-118,3.4718998305605694e-49,300.0,-3.742682999358549e-30,-6.0889603418822174e-31,10.0,3.0014749184261743e-32,100.0,-2.1779565746768783e-51,2.5630349764613447e-69
700,1000.0,1000.0,19500.0,1.0746299322877627e-29,3.180352747612385e-47,1.3872689787563206e-53,2.6419213911463895e-89,2.3191559988522718e-126,5.103799878101032e-161,0.0,-2.656407157108763e-31,-1.3397481680925692e-48,-1.111864850194577e-65,1.950320419754062e-83,-5.4861744683675806e-101,-7.967435591582369e-117,-2.080402834477146e-50,300.0,4.2394324289917834e-30,-1.6532016873790716e-30,10.0,1.2064650789525585e-31,100.0,1.6467242426390354e-51,5.5377679139102265e-70
800,1000.0,1000.0,19500.0,-8.70844657145368e-30,3.479304293990525e-47,-6.279590080515494e-54,2.0771062982612992e-89,-3.8037677700316404e-125,-5.3474918895653886e-161,0.0,1.4345083364144555e-31,-1.3445026289603111e-48,-1.2405364602724268e-65,4.4124479069757304e-83,2.574684586370754e-100,1.1222056585476533e-116,-1.0169875046171337e-50,300.0,1.8652594206069812e-30,1.022598337089149e-30,10.0,9.117476476096244e-32,100.0,-3.158267785198914e-51,6.679353576096621e-70
900,1000.0,1000.0,19500.0,-2.705585890354618e-30,-6.407542393875124e-48,-9.325347816004043e-54,1.5982976333374123e-90,3.964021144604412e-125,-8.450753777249554e-161,0.0,3.2355335065712354e-31,-1.873586166006842e-48,3.84282614238292e-66,-5.340840882023817e-83,1.2755850068986154e-100,9.563327924284326e-117,2.7296092912282356e-49,300.0,1.7502911968357516e-30,8.864543562569266e-31,10.0,-1.6307498304911945e-31,100.0,1.6804099333467807e-51,-1.9897708823314564e-69
1000,1000.0,1000.0,19500.0,-7.935485330338832e-30,1.3211670082984705e-46,1.8414344921732533e-54,1.6975998399022794e-89,-4.1355478854313796e-125,8.069029663137205e-162,0.0,1.8029095354280885e-32,-2.1628430912391932e-48,-8.756511391628626e-66,-1.0314240983889778e-83,2.2289028910580753e-100,1.8195358567601507e-116,5.892986435963784e-50,300.0,2.4849912795402445e-30,1.2223025108442207e-30,10.0,1.0337352581789288e-31,100.0,3.1523168760576545e-51,1.5697383432871956e-69
