milliseconds,PolyQ,Proteasome,NatP,MisP,MisP_Proteasome,AggP1,AggP2,AggP3,AggP4,AggP5,AggPolyQ1,AggPolyQ2,AggPolyQ3,AggPolyQ4,AggPolyQ5,SeqAggP,AggP_Proteasome,mRFPu,mRFPu_Proteasome,PolyQ_Proteasome,ROS,p38_P,p38,p38death,PIdeath
0,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
100,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
200,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
300,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
400,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
500,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
600,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
700,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
800,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
900,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
1000,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
1100,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
1200,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
1300,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
1400,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
1500,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
1600,1000.0,1000.0,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0
