milliseconds,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17
0,999.9116383218662,0.6917357548088332,3999.914540666214,0.042965684960826325,2.451087890676673e-05,1003.9982080992866,-9.458785403574645e-07,1.5433653360353182e-13,99.9999903688752,499.999951844377,499.999975922188,9.638416865111352e-14,-5.420786535890324e-54,6.020248546044849e-56,-1.8914534454468263e-60,5.682286131962223e-60,-9.445828632095354,-2.5583783700561244e-06
100,999.978514151403,0.8149983406625085,3999.99339539833,-0.09915981292653643,-3.6119402155120726e-05,415.27010300598926,1.3536185816646613e-06,3.37897722274944e-14,99.9999903688752,499.999951844377,499.999975922188,-3.490336950737915e-13,1.5323019888782886e-53,-5.50521203825568e-56,-1.5771122162893438e-60,4.689331634563699e-61,580.8986468731181,-8.764583070287702e-07
200,999.2601135728194,1.8288526374145477,4000.059630140772,0.021675936703210306,-5.619062195683251e-05,281.66564711942596,2.621605833783162e-07,-1.6921501075097434e-13,99.9999903688752,499.999951844377,499.999975922188,-1.8395555644708832e-13,8.184623217486223e-54,4.509653164729535e-56,-4.9160088290505514e-60,-5.056722485585742e-60,736.7623344163441,-1.2955890989101974e-06
300,997.5482077343044,1.3649585993865285,3999.938452762072,0.08196568171376642,-4.2881914055818785e-05,237.41123743699507,6.997619403604469e-07,3.3777514066552126e-14,99.9999903688752,499.999951844377,499.99997592218807,-2.4834599818849714e-13,-1.4586021242101182e-53,2.4843682865389926e-56,-4.873195401012577e-60,-1.7591036577450036e-60,757.7871726935309,-3.1392933584563166e-06
400,997.4698550901096,1.988175441085457,4000.0029761364553,0.07598337192286793,5.452049286114229e-06,216.91496742187454,8.702976258710069e-07,8.983577823310661e-15,99.9999903688752,499.999951844377,499.99997592218807,3.258594074196604e-13,1.0344474820208658e-53,4.8106200561880633e-57,-3.930966462854494e-60,-3.0622055538503815e-60,771.4858075481308,-1.757874927958098e-06
500,996.4764500101171,2.3322102956661728,4000.0047124059456,0.019878433230412926,-3.2356527806009314e-05,216.9705064554349,-4.166513706536717e-07,-4.9899995280995815e-14,99.9999903688752,499.999951844377,499.99997592218796,-2.304804868284145e-13,4.27205999161023e-54,-1.0132877065727e-56,-4.492554260079911e-60,4.277699211580412e-60,771.9503119907599,5.646309938202116e-08
600,997.0782687932281,3.84014651242169,4000.0053279959884,0.08956786024967077,-2.220680314355424e-05,218.41499375107247,8.825063334292612e-07,-7.98156027503894e-15,99.9999903688752,499.999951844377,499.999975922188,1.2065503450168717e-13,2.0435867488054848e-54,1.8583148736081672e-57,-1.6980835033700744e-60,-4.769705417996611e-60,782.8871845859237,2.604221069069756e-06
700,996.0937518308167,3.3199930668718705,3999.893751213535,0.09670247534971899,1.6387849076959127e-05,215.9881183131379,-1.1825279425446683e-06,1.3757200018097268e-13,99.9999903688752,499.999951844377,499.999975922188,2.9481452273142564e-13,1.0079722650075669e-53,-2.716866713178562e-57,4.26413931801607e-60,-1.388016897947831e-60,784.1365951560032,-2.2873268483362446e-06
800,995.7195240078352,4.102266959247674,3999.778977070306,0.06787323291654226,-2.2490429198690487e-05,226.42255032695707,-1.8976205504113683e-07,-1.1893725524872306e-13,99.9999903688752,499.999951844377,499.999975922188,-1.749076635652011e-14,5.36811561365337e-54,-4.530417771933795e-57,1.2830138149262895e-60,1.1767446493888991e-60,780.634649351777,-1.0736449264293741e-07
900,994.5766031748951,5.175099302160388,3999.8693375305024,0.24173424417119135,-2.5698496601800402e-05,220.55822451668968,1.586254453281261e-07,4.435960876114225e-15,99.9999903688752,499.999951844377,499.999975922188,3.22245724521779e-14,4.528134527749804e-54,-5.097188597842232e-56,-4.536494856791218e-61,4.4524006482285594e-60,786.5870537684009,-2.1084417418125135e-06
