milliseconds,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17
0,999.6614711014608,0.3328255655135136,4000.022647545219,0.016356351134173806,-4.9232302414676524e-05,993.1036125285174,-8.780590613951443e-07,-9.950747892336554e-14,99.9999903688752,499.999951844377,499.999975922188,-8.895092132594693e-15,-7.128431737851199e-54,-5.392616785216875e-56,-8.477387165153133e-61,2.3020753053887778e-60,-9.614072504502303,-5.476809246381882e-07
100,999.9538802496776,1.09418165057571,3999.9938752129933,-0.01160329102364554,1.706098169179403e-05,420.40394446449363,-3.1827889437421426e-07,-5.665236464754506e-14,99.9999903688752,499.999951844377,499.99997592218807,-6.87143361001242e-14,4.390567341780327e-54,-1.2339051229288042e-56,4.1003586334174806e-60,4.557903218028226e-60,581.9470165798992,7.148187981313576e-07
200,999.1833236455125,1.1166655531224894,4000.067578854843,-0.07770255991480288,7.0078077444164744e-06,275.2874604340344,-1.1330181479713052e-06,1.420056486618505e-13,99.9999903688752,499.999951844377,499.99997592218796,-3.341482997203952e-13,-1.322092118407986e-53,5.264763707184985e-57,-2.823997483236314e-60,-3.2326361094473537e-60,738.0106728824082,2.853796769492293e-06
300,997.8928485848321,1.4208508019986015,3999.9868124680147,0.027024471168686684,2.7597910713780566e-05,232.68862492352517,-1.3203231158254196e-06,-1.175844784983948e-13,99.9999903688752,499.999951844377,499.99997592218807,-1.018260886749908e-13,2.375214748382226e-54,-1.0028063979799861e-56,-1.2692363098066363e-60,1.9376292246719363e-60,767.2123419907682,2.9400513160004617e-06
400,998.3254695386021,2.922766111968275,3999.9270461349715,0.13612892391136736,1.7457830365486476e-05,224.47826531580702,-8.088519606753241e-07,1.2557945935777567e-13,99.9999903688752,499.999951844377,499.999975922188,2.7329068927217988e-14,5.382943648660907e-54,1.979690381744772e-56,-1.1794834417025273e-60,-3.5439820993198824e-60,789.8845869927867,1.9433599589049235e-06
500,997.0857830000823,2.6738345596574646,3999.9090888001538,0.14823385175148485,3.4748721921313514e-05,227.4390427220129,-1.9273076975269544e-07,-5.955197875916286e-14,99.9999903688752,499.999951844377,499.99997592218796,3.9263203931439384e-14,-1.4884584380748969e-53,2.8245699379681594e-56,1.758585867256062e-60,1.1890630861489031e-60,775.9991059702646,2.6814924079508116e-06
600,996.5738267520683,3.190670040041352,3999.835060613073,0.18887653254453465,5.175734860819571e-05,214.39646181951323,-3.1570093715458125e-07,-6.100308334092149e-14,99.9999903688752,499.999951844377,499.99997592218796,3.6520276085341967e-13,-8.370421011419089e-54,-2.5046396211230795e-56,-3.4360869600807823e-60,3.152975878227761e-60,775.4344463055118,-2.775365395039402e-06
700,995.4781938571813,4.456944577661087,3999.8511096486045,0.11678462008523041,5.814803911084794e-06,226.75203650022704,-2.809780755259223e-07,-1.5820501143121103e-15,99.9999903688752,499.999951844377,499.999975922188,6.010176761718709e-15,-1.218859961736057e-54,3.10131312901747e-56,1.7212736279746492e-60,8.37947553865892e-61,787.6455223607326,2.6330123482008234e-06
800,995.2310472346741,5.220958641324393,3999.7952538580244,0.09251077785803305,2.1541803765515532e-05,223.7427116558816,1.4031343988749897e-06,-1.2719565477653503e-13,99.9999903688752,499.999951844377,499.999975922188,1.2921619747514307e-13,-5.893077527732572e-54,4.881525354760061e-56,-1.25176280652527e-60,1.3483506143446862e-60,778.2455869510673,1.0042084305239616e-06
900,994.7820447817536,4.817592775881588,3999.7833439568512,0.13062659899049617,-1.969492085554016e-05,205.39293044806195,-4.794390087162568e-07,1.3070750348308777e-14,99.9999903688752,499.999951844377,499.99997592218796,2.1317478007860628e-13,-4.337138028296182e-54,5.371870812692047e-56,4.7855244461355035e-60,-2.896389760339308e-60,776.0361632763227,2.711511414682763e-07
1000,993.7701986787653,5.014944203701653,3999.6585254681117,0.3179611869488703,3.515927499007665e-05,218.60983122028176,9.192061246612244e-07,4.51151180438241e-14,99.9999903688752,499.999951844377,499.99997592218796,2.8623477616721123e-13,-6.21136563678449e-54,2.6366172085028806e-56,4.806641041791404e-60,4.496645314598359e-60,790.1400861309648,3.5108844232238196e-06
1100,993.8730862273836,6.791685684452269,3999.719179931077,0.19338216197378874,9.217005239807784e-06,217.65707216850487,2.691133855712845e-07,-1.5386906772448668e-13,99.9999903688752,499.999951844377,499.99997592218807,1.9283983697057934e-13,-5.491399846319751e-54,1.4941921600329756e-56,2.14660575182933e-60,2.7714648393267147e-60,783.8143153713224,5.9127966474254006e-08
1200,992.7984047729341,6.034359765871486,3999.7381200036307,0.28636962683623607,4.141729235075601e-05,220.38174923361038,3.016236738138352e-07,-1.3213349712482598e-13,99.9999903688752,499.999951844377,499.99997592218807,-2.5616605161302994e-15,-1.6763975257286142e-53,4.677965677275263e-56,-2.645987685920464e-60,3.6623176077763277e-60,779.7976248260458,3.955034982363832e-06
1300,992.6587448848785,6.922726197514787,3999.688614174991,0.2923212063611438,5.484236930927889e-05,222.67380721324977,-1.518076100782006e-07,7.610796109917162e-14,99.9999903688752,499.999951844377,499.99997592218796,-2.1946173640525009e-13,-8.490821626386345e-54,-2.600763256230023e-56,5.260300475965391e-60,4.6501108964289e-61,781.8875136209136,-3.2619239914634456e-06
1400,992.2933167325256,8.44963387403901,3999.5510019618546,0.43258826881390444,-1.830011656848752e-05,207.7898948102657,3.4996287369057086e-08,8.771198548917073e-14,99.9999903688752,499.999951844377,499.99997592218796,-4.251582849513513e-14,-6.752613798216998e-54,-6.30849630364285e-57,-2.0114665857564656e-61,-1.0835948109290297e-60,778.8110651422271,1.5342128498167142e-06
1500,991.7687572370027,8.621886841960054,3999.492217506823,0.4082081356541992,1.0279754253894924e-05,227.2964018089952,6.648598168178792e-08,8.51314522874577e-14,99.9999903688752,499.999951844377,499.999975922188,-9.395997965159782e-14,-1.3188084915565246e-53,4.571570990856063e-56,-2.2750239649002454e-61,-1.0032057065945273e-60,783.9582061930349,8.016588055217829e-07
1600,991.664137250913,9.101413676845693,3999.349402252899,0.6580605152204995,6.402500309078452e-05,208.3412382691751,1.6841458181379028e-06,1.0145106150480007e-13,99.9999903688752,499.999951844377,499.999975922188,-2.428913121667039e-14,-7.680636441842816e-55,2.265064173375176e-56,-8.945906706746888e-61,5.374156639107291e-60,780.7934816279563,1.0936485416572614e-06
1700,991.2981231705817,8.687705428403873,3999.3691987588722,0.6362858315702262,5.6739859096814765e-05,219.24041560559428,1.7137766148430825e-06,-1.5526447867163383e-13,99.9999903688752,499.999951844377,499.999975922188,8.842026257067764e-14,1.5261964157439544e-53,8.891304496005345e-58,3.8084416267078213e-60,-4.5788726358729296e-60,780.1629767817344,2.74366969278055e-06
