milliseconds,T,I,C
0,0.5,0.01,0.0
100,0.5004999997119207,0.009970094806175576,9.869987713587116e-09
200,0.5010004991679199,0.009940279093282739,9.914910910516986e-09
300,0.5015014988717069,0.0099105525942908,9.894538964736252e-09
400,0.5020029993228262,0.00988091504223679,9.875557258933715e-09
500,0.5025050010213021,0.009851366170929092,9.85578469335755e-09
600,0.5030075044675774,0.009821905714845282,9.83565266901948e-09
700,0.5035105101626126,0.009792533409289095,9.815842628299809e-09
800,0.5040140186982858,0.009763248943265366,9.796169345652922e-09
900,0.5045180309496453,0.009734051859782322,9.776556894554738e-09
1000,0.5050225467355348,0.009704942253309088,9.757055051222715e-09
1100,0.5055275672889172,0.009675919484012188,9.737559863678072e-09
1200,0.5060330921609049,0.009646983784881798,9.718109939644638e-09
1300,0.5065391237766914,0.009618133908472062,9.6986904096957e-09
1400,0.5070456608711958,0.009589370505502102,9.679309030336471e-09
1500,0.5075527034444183,0.009560693575971918,9.65996580156695e-09
1600,0.5080602539394334,0.009532101874655809,9.640660662745027e-09
1700,0.5085683117307703,0.009503595720353846,9.62139362939617e-09
1800,0.5090768764595783,0.009475175295970868,9.602164710427786e-09
1900,0.509585950120568,0.009446839595655102,9.58297412664127e-09
2000,0.5100955330125448,0.009418588468731077,9.563821911112422e-09
2100,0.5106056244003235,0.009390422285922892,9.544707982461066e-09
2200,0.511116226379666,0.009362340010980238,9.525632018848009e-09
2300,0.5116273408531492,0.009334340703172966,9.506593728100766e-09
2400,0.5121389664656069,0.009306425032563783,9.48759331832778e-09
2500,0.5126511033634914,0.009278592926739089,9.468630767038795e-09
2600,0.5131637516932557,0.009250844313285288,9.449706051743558e-09
2700,0.5136769116013523,0.009223179119788781,9.43081914995181e-09
2800,0.5141905832342339,0.00919559727383597,9.411970039173299e-09
2900,0.514704767577569,0.009168098300661448,9.393158650415318e-09
3000,0.5152194685694453,0.00914068030999733,9.37438475108619e-09
3100,0.51573468373518,0.009113344486102268,9.355648463937566e-09
3200,0.5162504134577081,0.009086090643183968,9.336949753375268e-09
3300,0.5167666581199647,0.009058918595450133,9.318288583805118e-09
3400,0.5172834181048851,0.00903182815710847,9.299664919632935e-09
3500,0.5178006937954044,0.009004819142366687,9.28107872526454e-09
3600,0.5183184855744578,0.008977891365432486,9.262529965105754e-09
3700,0.518836795992866,0.008951043682290266,9.244018041724021e-09
3800,0.5193556244445745,0.008924276344289368,9.225543175835924e-09
3900,0.519874971197432,0.008897589216506581,9.20710536167353e-09
4000,0.5203948367501084,0.008870982061993962,9.188704533648393e-09
4100,0.5209152216012736,0.008844454643803566,9.170340626172062e-09
4200,0.5214361262495971,0.00881800672498745,9.152013573656092e-09
4300,0.521957551193749,0.008791638068597672,9.133723310512033e-09
4400,0.522479497310903,0.008765348333703342,9.115469573307105e-09
4500,0.5230019652043585,0.008739137254612752,9.097252241763199e-09
4600,0.5235249551807474,0.008713004647134604,9.079071350669912e-09
4700,0.5240484677715014,0.008686950265320625,9.06092681731421e-09
4800,0.524572503508052,0.008660973863222541,9.042818558983064e-09
4900,0.5250970629218307,0.008635075194892074,9.024746492963444e-09
5000,0.5256221465442691,0.008609254014380952,9.006710536542321e-09
