milliseconds,PC3,XIAP,C9,PC9,C3,C9P,XIAP_C3,XIAP_C9,XIAP_C9_C3,XIAP_p2frag,XIAP_p2frag_C3,BIR12,BIR12_C3,BIR3R,BIR3R_C9,BIR3R_p2frag,XIAP_2SMAC,BIR12_SMAC,BIR3R_SMAC,SMAC,APAF1,XIAP_p2frag_2SMAC,Substrate,ClvgPrds,SMAC_mito,CytC_mit,CytC_cell
0,0.12,0.063,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.372,0.0,1.0,0.0,0.126,10.0,0.0
100,0.11997597018232868,0.06266876543397562,0.0005675308626629103,0.02910938258251269,1.7376480973373353e-05,5.284556979860652e-09,6.612324078686216e-06,0.00032244918154914983,3.4043709528494984e-08,1.5787941441061696e-09,1.6670106845138022e-13,5.136264331297857e-07,5.421722073391842e-11,5.106781297229221e-07,2.630674445373709e-09,1.287848458001129e-14,1.3503124322003193e-06,4.167522909490174e-11,7.801192247267541e-12,0.0012384448162028197,3.3711093825825125,4.585356215002897e-15,0.9999918443624449,8.155637555453154e-06,0.124758491989148,9.548416039117036,0.45158396088295705
200,0.11992569517178901,0.061971549754685204,0.0007723292788926096,0.028245205144485516,3.948251145265381e-05,5.3161031354838224e-08,3.4209192935590895e-05,0.0009786278597035728,5.409364803654116e-07,2.5126603017277662e-08,1.3881463347739036e-11,2.6995630295014892e-06,1.4917705444359246e-09,2.654911491891083e-06,4.2032616592811804e-08,1.0779924262751023e-12,1.0549755149607298e-05,6.79980522784985e-10,1.974307196381716e-10,0.0024482147468340835,3.370245205144485,3.41618586458302e-13,0.9999570999439181,4.290005608214679e-05,0.12352921685242128,9.117224885595425,0.8827751144045696
300,0.11986564816241001,0.06113767865601427,0.0008462983902864812,0.027406682755728756,5.390185465411089e-05,1.7758440348536432e-07,7.79701322153902e-05,0.0017360729464034148,2.218487396769162e-06,1.0302312917705291e-07,1.3154765167789596e-10,6.266380863613945e-06,8.002818792702908e-09,6.085663029991147e-06,1.73506724596382e-07,1.0277098834707501e-11,3.458432388954473e-05,2.8641419210996004e-09,1.080984205141506e-09,0.0036153982980575163,3.369406682755728,3.256789240951397e-12,0.9999003022328078,9.969776719238184e-05,0.12231205405640719,8.705505632974878,1.2944943670251143
400,0.11980190037562707,0.06025278436561498,0.0008732083145732889,0.02659305378845195,6.204350921988237e-05,3.875006475600924e-07,0.0001300056114547942,0.002511230738859799,5.432455508572647e-06,2.521433772492541e-07,5.44869814711622e-10,1.0653927538469389e-05,2.3020713660421318e-08,1.021245588610637e-05,4.2798517360920894e-07,4.285146312134143e-11,7.924781735378483e-05,7.176509413806997e-09,3.225370037513368e-09,0.0047284304216480225,3.3685930537884516,1.4072915259084972e-11,0.9998302657290044,0.000169734270995598,0.12110688425532784,8.312378961442361,1.687621038557634
500,0.11973666061880968,0.05934735701501693,0.0008833814823405011,0.02580357922549936,6.665163489816008e-05,6.804874119831189e-07,0.00018526939070269196,0.003274451235483985,1.0253158770947332e-05,4.7608289916687687e-07,1.4887505352527687e-09,1.5492163397856843e-05,4.841759651605452e-08,1.4656682972796324e-05,8.14263695950849e-07,1.1792165908085566e-10,0.00014897267168366557,1.3809140721164385e-08,7.0397838105888964e-09,0.00577843854603132,3.367803579225499,4.04200571113331e-11,0.9997528223554816,0.0002471776445183632,0.11991358927934763,7.937005259867345,2.0629947401326514
600,0.11967069608360095,0.058431445976535434,0.0008879211246512358,0.025037541989094563,6.957120300446418e-05,1.0523572327826444e-06,0.00024118968190380366,0.0040154667860033,1.6629329061372375e-05,7.736826623435765e-07,3.1990336049789843e-09,2.058874597554644e-05,8.502118827353893e-08,1.9226255093496404e-05,1.332031287233257e-06,2.5529983259699444e-10,0.00024676738094215554,2.2770311054835607e-08,1.279506067936228e-08,0.006759375641240868,3.3670375419890934,9.094778707445378e-11,0.9996710054478405,0.0003289945521594809,0.11873205212298649,7.578582832588128,2.4214171674118683
700,0.11960422920157539,0.05750797402004561,0.0008909363877887821,0.024294246289531553,7.179957375386576e-05,1.500437257193413e-06,0.000296619717852917,0.004731027380203213,2.448287854700992e-05,1.1434369293961668e-06,5.906867742388392e-09,2.5857175950346818e-05,1.3327735593195605e-07,2.3836871492457728e-05,1.9790449818667854e-06,4.750843397705801e-10,0.000374259310328151,3.401429889006644e-08,2.069489849951985e-08,0.007667942570667234,3.3662942462895304,1.7438463526263423e-10,0.9995861763251872,0.00041382367481278417,0.11756215693364719,7.236346187254174,2.7636538127458223
800,0.11953727519530306,0.05657778295624753,0.0008939501367116195,0.02357301699320421,7.382564574023364e-05,2.0239932529706325e-06,0.00035112401582787766,0.005420444117771178,3.37425305534874e-05,1.5848247118979555e-06,9.847157167615567e-09,3.1265259875061574e-05,1.936045357955236e-07,2.8458058911925882e-05,2.7536904550896963e-06,7.983592808609521e-10,0.0005318259787681508,4.74906446710204e-08,3.091540449895734e-08,0.008503333094599597,3.365573016993203,2.9898334015948453e-10,0.9994988350821913,0.0005011649178088102,0.1164037890002559,6.909564399994303,3.090435600005694
900,0.11946977121563271,0.055641462298665324,0.0008975055119280639,0.022873199009315198,7.587543119230082e-05,2.6238240432093394e-06,0.0004045946013549451,0.0060839709690260115,4.435123930127472e-05,2.098400684895169e-06,1.5267660390213248e-08,3.6806489683252544e-05,2.6652640873554566e-07,3.308401397656423e-05,3.655544245405979e-06,1.2479710903283525e-09,0.0007187871347073527,6.315591441669641e-08,4.361467653751643e-08,0.009266856406424268,3.3648731990093137,4.722353427259689e-10,0.999409072136202,0.0005909278637979067,0.11525683474201402,6.597539554094222,3.4024604459057746
