milliseconds,P1,Target
0,10.0,10.0
100,10.052940960382646,10.052940960382646
200,10.105882577413864,10.105882577413864
300,10.158830359413244,10.158830359413244
400,10.211782675865457,10.211782675865457
500,10.26473915007177,10.26473915007177
600,10.31770940763045,10.31770940763045
700,10.37068875765105,10.37068875765105
800,10.423678680311998,10.423678680311998
900,10.476688067415884,10.476688067415884
1000,10.529712191705258,10.529712191705258
1100,10.582753997335058,10.582753997335058
1200,10.635820602736372,10.635820602736372
1300,10.688907733992114,10.688907733992114
1400,10.742017810670056,10.742017810670056
1500,10.795155363097981,10.795155363097981
1600,10.84832064760484,10.84832064760484
1700,10.901516806997098,10.901516806997098
1800,10.954745962187443,10.954745962187443
1900,11.008010203978179,11.008010203978179
2000,11.061311624216952,11.061311624216952
2100,11.114652471596786,11.114652471596786
2200,11.168034390832334,11.168034390832334
2300,11.22145935470157,11.22145935470157
2400,11.274929693371641,11.274929693371641
2500,11.328447547229004,11.328447547229004
2600,11.382015056660123,11.382015056660123
2700,11.435633880710107,11.435633880710107
2800,11.48930570296572,11.48930570296572
2900,11.54303295214729,11.54303295214729
3000,11.596817671084919,11.596817671084919
3100,11.650661902608702,11.650661902608702
3200,11.704567527534063,11.704567527534063
3300,11.758536176170642,11.758536176170642
3400,11.812570111348649,11.812570111348649
3500,11.866671321206836,11.866671321206836
3600,11.920841793883953,11.920841793883953
3700,11.975083495675653,11.975083495675653
3800,12.029398225636754,12.029398225636754
3900,12.083788064648363,12.083788064648363
4000,12.138254982101964,12.138254982101964
4100,12.192800947389044,12.192800947389044
4200,12.247427929901086,12.247427929901086
4300,12.3021378996025,12.3021378996025
4400,12.356932825584709,12.356932825584709
4500,12.411814677234608,12.411814677234608
4600,12.466785423964772,12.466785423964772
4700,12.521847035187786,12.521847035187786
4800,12.577001480316222,12.577001480316222
4900,12.632250728762662,12.632250728762662
5000,12.687596749939681,12.687596749939681
