milliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
0,0.0117590568706314,0.0379799887571665,0.00394239990123767,0.00200010981212238,1.5821833083706e-05,2.30017456622937e-08,1.35248196757048e-05,9.35334724058915e-06,3.3311210465159e-08,0.000286841656341217,0.0030378361484431904
100,0.011379091571686309,0.037980011949927096,0.003923475673211474,0.0019999859223847815,1.545941319269282e-05,2.2150037480282314e-08,1.3912620748229311e-05,9.327966059077814e-06,3.491461536476422e-08,0.000286838952491511,0.003040602845243464
200,0.010994696302262479,0.03798023718434719,0.003872579440568271,0.00199973989814814,1.5002416386952614e-05,2.1360302784552526e-08,1.4469665043531116e-05,9.227918569516213e-06,3.6650616826806606e-08,0.0002868459529236119,0.0030518161469090645
300,0.01060674475963463,0.037980904683878304,0.0037976515802517373,0.001999370433786222,1.4612510491733754e-05,2.0628084593912392e-08,1.4958239090103144e-05,9.129250418163045e-06,3.81975273487527e-08,0.00028686222075613823,0.0030704114232361214
400,0.010216136424283255,0.037982198450706675,0.0037056351699665206,0.001998832738574404,1.429215415400325e-05,1.994919436838284e-08,1.5366180987646062e-05,9.041664858350624e-06,3.952826188523499e-08,0.0002868819056089189,0.003094237595510316
500,0.009823817877891333,0.037984243526734345,0.0036024616419850167,0.0019980856088963263,1.4032585187428341e-05,1.9319743301041364e-08,1.570086026904344e-05,8.966554543528158e-06,4.064865068209246e-08,0.0002868995176613696,0.003121431691452612
600,0.009430778535952112,0.037987114675364406,0.0034930490958316783,0.0019970953180489504,1.3824822435963743e-05,1.873612963262715e-08,1.5971449056022934e-05,8.90372850801327e-06,4.157419468090177e-08,0.0002869104028769991,0.003150497657301088
700,0.009038041644957076,0.037990846816815686,0.0033813523471665895,0.0019958356185800865,1.366050723417094e-05,1.8195017160296436e-08,1.618715125382651e-05,8.8523415120025e-06,4.232430976820828e-08,0.0002869107476573736,0.0031802690228379996
800,0.008646654413303138,0.03799544410131244,0.003270449862292182,0.001994287197068547,1.3532104745963756e-05,1.769331321508722e-08,1.6356843507399657e-05,8.811051746636536e-06,4.2922907200048946e-08,0.0002868975180208915,0.0032098616753947168
900,0.00825767640568653,0.03800088868905968,0.0031626411117028435,0.001992437047441416,1.3432943667525535e-05,1.7228148582656234e-08,1.6488621346019936e-05,8.77843498645448e-06,4.339204335015922e-08,0.0002868683894373109,0.0032386256835823654
1000,0.007872167999395293,0.03800714725846781,0.0030595440524648397,0.0019902777809864816,1.3357146861475894e-05,1.679686151731831e-08,1.6589593696966677e-05,8.753259441557378e-06,4.375370636111866e-08,0.0002868216696214975,0.003266104254315294
1100,0.007491179341925583,0.038014175610816194,0.0029622077379170796,0.0019878068631877417,1.3300200552985543e-05,1.6396984167434772e-08,1.666609687365696e-05,8.733702573357449e-06,4.402908305139937e-08,0.0002867562118916095,0.003291997513306587
1200,0.007115739025323476,0.03802192254879931,0.002871219988066057,0.0019850258049295562,1.3257722907334165e-05,1.6026228988117608e-08,1.672262565680391e-05,8.719651435861874e-06,4.423416830198328e-08,0.000286671323813051,0.003316128146429893
1300,0.006746842456272959,0.03803033312144794,0.0027868138355963083,0.00198193935899144,1.3227735219257829e-05,1.5682475187841782e-08,1.6764246738967735e-05,8.708018041774379e-06,4.4380492861136683e-08,0.0002865666769360634,0.0033384097972847114
1400,0.006385440878691468,0.038039350988425716,0.002708957738508798,0.0019785548137090693,1.3206507517429279e-05,1.536375639107273e-08,1.6792682679717838e-05,8.700809802852838e-06,4.448373071341363e-08,0.0002864422282015827,0.0033588214881884355
