milliseconds,Susceptible,Infected_strong_immune_system,Infected_weak_immune_system,Recovered
0,78841328.69482224,5070.242192054385,4484.128309543693,4614.555822159351
100,78841172.9764099,5115.818242565394,4518.834319323123,4685.2698210900635
200,78841072.00962372,5093.399213913655,4551.668581981656,4761.586895805894
300,78840828.19126767,5162.306355810051,4586.098983942135,4804.584257789874
400,78840605.33294141,5147.472782869518,4583.870397141451,4998.1631121353985
500,78840344.95213284,5275.999989038443,4609.163956131345,4858.02378989726
600,78840213.32249628,5262.383507702306,4711.861777817702,4962.271710530033
700,78840049.77587505,5272.443086189831,4714.5517848267855,5246.1056919897255
800,78839959.5425686,5293.331384940402,4708.287165896234,5096.553372858684
900,78839650.43392509,5369.354670223069,4781.158757967904,5445.262591568148
1000,78839757.96631153,5395.947257501654,4866.143412026241,5343.298638181121
1100,78839735.34228651,5377.9329248057975,4805.619889346088,5398.8293338217545
1200,78839480.65180498,5410.458731225296,4901.115719260712,5682.1289129421375
1300,78838935.62257077,5468.748994323304,4891.034606935034,5569.175372326729
1400,78839040.35882027,5484.659956519868,4992.448840923094,5849.0851070695435
1500,78838580.67271788,5613.973547297242,5002.019566502105,5757.605076038331
1600,78838414.63726445,5559.691542683609,4962.821811742233,5804.9849617221535
1700,78838324.83882575,5633.458366903015,5023.93345484609,6072.652344648584
1800,78838199.9601907,5634.195752818573,5053.293890632475,6044.908511218861
1900,78838369.31996873,5709.473645354283,5135.895647279592,6275.802250174608
2000,78837746.94538131,5798.959117219165,5175.886090165986,6352.9450892416135
2100,78838060.36908476,5810.957141073954,5203.523414056153,6376.61303868949
2200,78837406.08850524,5857.264864810777,5251.558337256559,6409.268344430549
2300,78837496.91117786,5891.807926579647,5295.117532994236,6463.08867097753
2400,78837064.38057108,5903.372627872468,5350.152496946868,6735.316588548032
2500,78837118.47875673,5945.2008858446125,5368.424973580644,6781.7233639838205
2600,78837028.46599118,6023.891840606146,5408.258062668925,6744.55923096745
2700,78836817.91622359,6002.283537894686,5454.862555103166,6762.760426017229
2800,78836719.48835239,6084.882513696614,5420.722230547798,6979.428102384777
2900,78836200.78871304,6065.603848141825,5538.73380693082,7087.125897466451
3000,78835981.55561769,6121.646054939204,5549.038002868708,7172.516409077724
3100,78836109.3001614,6119.4779403557895,5571.289590340005,7337.947989825921
3200,78835614.38765968,6241.851523677202,5643.376340991573,7484.026490923903
3300,78835415.25076124,6300.2506887927475,5629.753219860998,7600.433011449019
3400,78835689.75662129,6262.161321193377,5706.973411756536,7512.057324766049
3500,78835501.19561088,6327.028051750284,5745.299789092108,7704.693103101487
3600,78834996.1475315,6421.851341948019,5769.687938582964,7694.80517862483
3700,78834822.24709362,6373.995093573136,5746.369281507802,7874.150475868214
3800,78834677.99266507,6413.562095912354,5887.500995033908,7834.681542093762
3900,78834734.81766888,6537.952736300919,5873.718960283222,8077.357332385018
4000,78834332.5157069,6545.381197394758,5925.033207315022,8038.33847168421
4100,78834113.369778,6563.6617489072905,5914.066407886081,8161.3876241106855
4200,78833985.91280903,6687.681543897878,5972.159604910312,8250.743036652402
4300,78833877.28561947,6731.02139237198,6059.39652599141,8491.49867771112
4400,78833693.50676589,6776.920061457125,6048.899031888662,8466.090170077527
4500,78833389.01200779,6811.156899042938,6095.272924604645,8601.526126698242
4600,78832867.57163729,6865.967001677214,6211.270433116705,8889.397998794726
4700,78832808.87758216,6874.712122873331,6180.271612821912,8926.071858334457
4800,78832608.27381548,6843.719066565324,6280.202905253252,8977.841146265358
4900,78832688.12105514,6909.635972862153,6275.884759556473,9126.573147816167
5000,78832438.5413807,6942.720762780218,6295.111522665386,9110.714739681993
