milliseconds,Susceptible,Infected_strong_immune_system,Infected_weak_immune_system,Recovered
0,78841130.48879611,5027.959068148083,4530.575042108954,4608.677995914679
100,78841091.88017634,5126.3211878252005,4541.590755627244,4733.048512857675
200,78840908.6650208,5172.711974480791,4551.839973786017,4701.734764036253
300,78840935.991901,5211.624474666494,4537.605133471894,4962.0145285373565
400,78840353.85863458,5206.238765473531,4641.712510543156,4939.020346555169
500,78840210.79268613,5186.6701994702435,4655.019927344702,4991.658542823314
600,78840466.21790954,5280.920612270121,4673.803021706517,5143.52999712941
700,78840296.12556346,5262.360503808919,4761.867060385944,5183.17052007845
800,78839908.47585414,5328.6271730300095,4691.689678216291,5097.177817040892
900,78839795.8293405,5406.379229129556,4822.330467471219,5431.944557577877
1000,78839635.5850883,5395.808668655161,4799.601176571323,5326.599897778558
1100,78839372.7899486,5465.43825753171,4851.091048272103,5588.824407607674
1200,78839357.11492692,5436.466921259907,4841.48334906229,5608.026039052956
1300,78839284.66419384,5459.898896936642,4863.5590460718195,5633.137357332803
1400,78839130.92593892,5538.102113695021,4910.526987587392,5613.468797613753
1500,78838957.84462196,5541.618475923117,4931.299683197958,5849.6002478191285
1600,78838729.62260625,5558.575192312433,5035.301058295384,5977.396141329064
1700,78838768.86116435,5695.4940260802305,5058.961340136899,6081.896158559053
1800,78838460.81036352,5643.873516483351,5093.245429532463,6060.821723449288
1900,78838174.49622741,5665.975656636145,5126.820417202726,6182.216304775714
2000,78838158.26235983,5739.16836997255,5130.96961797083,6359.2056735297765
2100,78838060.47950536,5799.663561546179,5222.770080059415,6404.937204801727
2200,78837461.32535599,5827.797295564583,5224.610397250581,6559.094520639026
2300,78837717.17477728,5894.802516435872,5314.839881682937,6412.691058348834
2400,78837221.83658832,5933.797070037207,5298.822698871005,6628.383125323837
2500,78837163.00220998,5928.96750344662,5345.512166012306,6836.771629882689
2600,78836973.71361378,5944.482009057074,5421.146880543669,6892.758179138931
2700,78836684.36955948,5994.358294494563,5453.279179186954,6801.1242439242205
2800,78836795.05332172,6099.420349418082,5503.671193166422,7021.518026147166
2900,78836373.35609569,6130.021261767282,5445.73515403083,6975.789142925323
3000,78836002.35430229,6087.461252329201,5487.9321079803,7112.908687243609
3100,78836118.62709187,6139.4747374735,5526.574849833277,7314.537394541007
3200,78836001.95271558,6212.237002519623,5629.281756118922,7484.293149845593
3300,78835717.17971711,6227.832586347206,5628.066853931641,7383.415380984059
3400,78835428.74558511,6316.110290940633,5715.3707930083765,7699.244717493153
3500,78835041.08064467,6313.30723617733,5676.820452767669,7594.025233152078
3600,78835018.6442749,6422.904393466268,5782.4168133105395,7630.229606970105
3700,78835042.8981744,6470.288543302047,5787.689904985469,7977.646375354086
3800,78834500.19319008,6413.620103142697,5837.632635060838,8004.561820137556
3900,78834276.03099646,6541.271342630135,5846.5933276641845,7990.352622503078
4000,78834420.3699781,6553.872861910728,5953.858204845376,8145.966976140503
4100,78833948.39306775,6640.006090191716,5940.149538760389,8149.222864213867
4200,78833709.7240865,6690.074892714527,5994.836712318651,8406.880956889554
4300,78833919.34931679,6665.802547888246,6087.658530380757,8349.241467822565
4400,78833342.23632167,6682.1120615859245,6118.773044833288,8524.431410561232
4500,78833085.45006402,6800.206153424155,6094.391538735158,8644.267002343164
4600,78833363.57058665,6817.0445682859645,6111.873671475636,8871.246351390922
4700,78833002.73327681,6885.668258270768,6241.8422268061495,8918.686349452642
4800,78832955.07234606,6866.970979507405,6254.87690378939,9066.185565528842
4900,78832377.079519,6986.429164879079,6260.414318377074,9034.328342598585
5000,78832197.68672498,6964.5004508312,6288.770449210647,9279.330810784511
