milliseconds,Susceptible,Infected_strong_immune_system,Infected_weak_immune_system,Recovered
0,78840960.56076178,5073.247284379178,4462.928801729587,4558.604811953634
100,78841162.84645034,5072.591149606761,4566.387346442497,4545.635260193143
200,78840996.70613404,5108.326479030393,4585.1548541067405,4765.180780870688
300,78840555.70252082,5154.887999970133,4556.393378508701,4734.050776603054
400,78840369.23870996,5231.800452592724,4644.031752874943,4791.140640585971
500,78840302.05563247,5202.488129542066,4625.2698677638,5116.949939745432
600,78840175.13789974,5269.735237640794,4638.096052519772,5055.750985680851
700,78839957.29359464,5311.94952361683,4760.892867118043,5201.319642884771
800,78839739.05959898,5270.962853559262,4730.547369638353,5333.2453628461635
900,78839791.25861178,5317.467798334766,4789.914617173859,5428.286763994003
1000,78839614.64168891,5378.782823946733,4788.346479459144,5372.041282714276
1100,78839710.8970273,5398.386071284909,4896.262147994907,5426.9321735824915
1200,78839310.33415617,5456.6732905622775,4887.37956684078,5545.57124271204
1300,78838986.78516112,5464.868036502835,4929.538124850734,5563.648778078449
1400,78838995.55334866,5585.325585170146,4899.592354185876,5794.832427029199
1500,78838710.46848401,5535.146971127333,5035.671912330572,5809.488732329728
1600,78838717.24680653,5607.942082426296,4978.793555257059,5810.998821883108
1700,78838473.11237541,5644.810741924646,5006.98387020047,6102.175108301372
1800,78838307.98509775,5633.235041815084,5135.311641123397,5963.925066333502
1900,78838199.1658581,5764.393663599595,5108.591149909721,6139.1609984364795
2000,78838206.40663072,5778.30565909533,5133.061676305371,6209.074009974328
2100,78837725.34167393,5832.03005994113,5195.176259144806,6340.242147307702
2200,78837593.54477492,5807.900190775705,5206.679291145223,6560.81461060704
2300,78837527.78080212,5876.7982387714255,5221.2950181039405,6507.773241760242
2400,78837398.35540596,5850.332881581575,5355.194690217901,6509.943231141187
2500,78837120.16607659,5953.044950770131,5383.82194840576,6701.780635419872
2600,78836953.94978888,5924.911781132352,5422.62626729136,6703.849477372354
2700,78836779.54488991,6022.681417306993,5420.964839097971,6906.841275401892
2800,78836677.57746746,6008.448334657645,5403.961118853462,6854.159186985294
2900,78836569.80804627,6042.112036950123,5533.997974421528,7026.869036429974
3000,78836266.69775842,6141.767989602927,5502.492023917828,7213.301184894576
3100,78835891.4228639,6156.55646599413,5586.9619363716965,7255.981025873603
3200,78836089.37309884,6192.4195486474355,5575.914476809538,7439.025410010763
3300,78835582.16958933,6244.328451653429,5603.204333997272,7376.915066126632
3400,78835699.65297389,6268.147345146082,5728.395569232429,7583.218186082743
3500,78835096.19022496,6384.113103365433,5763.775001620835,7681.003310172956
3600,78835114.5537029,6332.902750866614,5721.126260305427,7655.090408691518
3700,78834919.36089489,6386.099411045231,5780.307504717349,7843.351085247768
3800,78834500.6323726,6486.824232183274,5834.848747033438,8009.799254561555
3900,78834736.95227757,6534.394189127918,5928.015332487104,8003.359778684074
4000,78834552.11215362,6515.085251123329,5952.215145037209,8164.184102009718
4100,78834156.69821866,6567.045946345843,6001.176907933924,8141.466136237758
4200,78833982.03847012,6601.9129734836515,5952.3719393604815,8272.454732414031
4300,78833484.92385063,6651.414671174878,5993.207373662693,8498.169425309217
4400,78833592.25156012,6719.962194752734,6052.4163013915795,8441.139145963296
4500,78833472.80554107,6734.899609901507,6126.652249106777,8722.019682751283
4600,78833007.98342302,6762.212192689901,6113.822608589206,8821.298733360552
4700,78832982.07713498,6845.169253049744,6228.471311190513,8928.421428608188
4800,78832746.94664118,6874.665817627496,6248.982950493236,8879.289246476008
4900,78832359.13154554,6963.37353286754,6249.792040949753,8979.49764606961
5000,78832346.2969159,6985.45058650868,6359.241624806727,9200.008477147398
