milliseconds,Susceptible,Infected_strong_immune_system,Infected_weak_immune_system,Recovered
0,78841273.8796995,5029.377270304071,4455.966142737087,4650.053280626979
100,78841020.65639704,5078.927486512247,4488.966692998097,4658.601482048189
200,78841017.65972812,5130.262208178896,4542.25529629264,4676.1059949186565
300,78840944.23908317,5115.047315907989,4574.051113943409,4781.426468663618
400,78840598.1336728,5172.385011248595,4632.45081578712,4959.874009009399
500,78840701.812426,5276.405530172418,4656.431545024295,4900.9162619738145
600,78840272.43607493,5299.452719282227,4700.083081693853,5050.624499243124
700,78840201.80558532,5301.827646746446,4714.292181597521,5127.299562062483
800,78839820.32207264,5376.718140162249,4709.215931413664,5155.1815614456955
900,78839960.01199946,5346.9687428295565,4786.162450597537,5296.628238922173
1000,78839792.99338786,5366.890098895144,4842.897419477075,5527.715284409903
1100,78839341.93778887,5475.890082075248,4863.520462170921,5354.325962641392
1200,78839543.99852341,5463.0993269090795,4918.042236050234,5491.401775833558
1300,78839282.89424224,5511.44485657618,4865.441364441728,5670.819511877227
1400,78839058.925307,5549.30021707064,4949.4591515543225,5760.969339761835
1500,78838838.27473927,5517.600569519307,4990.696143350975,5883.308708536218
1600,78838599.96213217,5613.883112645031,4962.205909381216,6008.5670875713495
1700,78838766.69845973,5593.567473790154,5095.079666355882,6012.826706013579
1800,78838217.24143966,5679.172173413906,5054.509772465024,6079.6666789429255
1900,78838307.01106091,5741.437577555046,5080.530268927448,6122.607585421216
2000,78838033.73095518,5803.543850614853,5150.729683481673,6295.110775170939
2100,78837578.4046576,5785.630168990209,5208.584239196345,6252.940709315262
2200,78837429.35884397,5851.932879750876,5188.1472437450875,6558.8323380008005
2300,78837522.64189807,5834.353717516162,5229.705611066619,6510.709241176315
2400,78837203.71900202,5890.810424162522,5320.073497593252,6510.9983354181
2500,78837179.3894526,5947.999440550189,5335.2583874750935,6752.8369682391585
2600,78837065.25527878,5951.510727954856,5327.715425880717,6842.896900184256
2700,78836641.93038233,6005.693485518052,5402.129817749107,6990.04111797939
2800,78836712.34209685,6023.505452296841,5471.0298135362145,6989.779437037025
2900,78836517.92356963,6056.442395381913,5463.848121995449,7215.806835973424
3000,78836238.82883242,6111.422905498804,5474.282555337831,7224.346894239412
3100,78836221.60258567,6208.244475330018,5609.374425260234,7341.62992110241
3200,78835621.18516566,6165.580274688853,5596.621576491875,7475.453566367567
3300,78835422.48951527,6260.262127399828,5633.943045738097,7593.22252770871
3400,78835443.09232035,6318.712706027953,5651.096830626415,7666.322370340028
3500,78835522.0127519,6285.466919663027,5764.463322150131,7641.101067816438
3600,78835278.9328201,6351.1528222905545,5719.691158325464,7714.958671014318
3700,78835079.24950147,6450.148777642374,5747.952474909063,7987.333032511405
3800,78834939.9855281,6419.702176614177,5829.480997110205,7906.331534644248
3900,78834706.13000262,6491.996317867258,5898.926356875128,8070.707213552763
4000,78834183.19709389,6575.138875205087,5960.461305009749,8231.248474915923
4100,78833859.12926802,6547.694491275516,5945.6839296107355,8306.799128386481
4200,78833922.30441858,6685.657154094804,6028.902859152732,8396.422896976526
4300,78833697.90497653,6711.604889423718,6062.600605620765,8432.42346417274
4400,78833570.95009512,6777.07267862898,6065.836820582151,8582.519753573428
4500,78833503.06856576,6821.769783197753,6110.825583022693,8556.657613501377
4600,78833178.834688,6774.9863692872395,6213.874548634756,8808.588090004647
4700,78833087.15255848,6884.738626417678,6257.689052844984,8876.730177249034
4800,78832546.57517397,6947.864624807427,6267.449423665825,8991.282702076913
4900,78832755.26878093,6959.219488426231,6240.764093708439,8987.840680938452
5000,78832076.68147308,6949.34660021204,6289.588199663402,9073.875921418683
