milliseconds,A,R,S,C
0,1.0,0.0,1.0,0.0
100,0.9999068759886944,9.312429788757387e-05,0.9999905250873291,0.9937164952258346
200,0.9998262588537987,0.00017374313868261915,0.9999638207960085,0.9936899667432177
300,0.9997564694054463,0.00024353644912766521,0.9999222080661458,0.9936486282691586
400,0.9996960544529921,0.00030395764997971815,0.999867693931104,0.9935944735770711
500,0.9996437553057375,0.0003562653506921257,0.9998020158864211,0.9935292286992413
600,0.9995984815088949,0.0004015497487093665,0.9997266785225166,0.9934543882887249
700,0.9995592903215317,0.0004407532316772714,0.9996429820886784,0.9933712440066277
800,0.999525365881415,0.00047469127586702753,0.9995520514515024,0.9932809132898159
900,0.9994960004592358,0.000504071236126622,0.9994548621217967,0.9931843652057023
1000,0.9994705807249498,0.0005295060979184942,0.9993522592870295,0.9930824393591523
1100,0.9994485765777493,0.0005515256530114602,0.9992449732688536,0.9929758612479263
1200,0.9994295294565599,0.0005705881965239459,0.9991336357030975,0.9928652583358003
1300,0.9994130431567965,0.0005870897102654111,0.9990187922329627,0.9927511726619248
1400,0.9993987724417549,0.0006013752583090807,0.9989009182716092,0.9926340764993015
1500,0.999386418974033,0.0006137430428688215,0.9987804245921467,0.992514377907863
1600,0.9993757249562372,0.000624450759326954,0.9986576661063971,0.9923924294552305
1700,0.9993664679210889,0.0006337208014963405,0.9985329490473328,0.9922685353516998
1800,0.9993584552307262,0.0006417457594100174,0.9984065385654958,0.9921429589965355
1900,0.9993515196903165,0.0006486928025551545,0.998278664780766,0.992015928989706
2000,0.99934551620358,0.0006547070201308662,0.9981495273901922,0.9918876437092988
2100,0.9993403193827032,0.0006599138064254448,0.9980192989540672,0.9917582745758999
2200,0.9993358209262735,0.0006644214795574875,0.9978881285078346,0.9916279696406318
2300,0.9993319272216249,0.0006683236773038419,0.9977561448683763,0.9914968568696005
2400,0.9993285571602832,0.0006717015393139294,0.997623459642997,0.9913650471330039
2500,0.9993256405666664,0.0006746252763948886,0.9974901693915029,0.9912326363529306
2600,0.9993231164664811,0.0006771559006338912,0.9973563580112861,0.9910997078726902
2700,0.9993209308966335,0.0006793474115365244,0.997222099752299,0.9909663354518742
2800,0.9993190384910475,0.0006812452148761536,0.9970874570322723,0.9908325810960118
2900,0.9993174000067536,0.0006828885927590027,0.9969524838431465,0.9906984984404749
3000,0.9993159816947577,0.0006843113332689286,0.9968172266163553,0.9905641336100646
3100,0.9993147542384871,0.0006855427908187678,0.9966817256843172,0.9904295266708487
3200,0.9993136919414121,0.0006866086966474267,0.9965460163998011,0.9902947127421661
3300,0.9993127734897589,0.0006875304003416886,0.9964101280828045,0.9901597209503634
3400,0.9993119788406054,0.0006883279750401641,0.9962740883078465,0.9900245786878863
3500,0.9993112903782442,0.0006890190641663703,0.9961379213101395,0.9898893100299274
3600,0.9993106939870896,0.0006896178109065126,0.9960016465071405,0.9897539342657138
3700,0.9993101770826637,0.0006901368242963496,0.995865281210612,0.9896184685927049
3800,0.9993097294803324,0.0006905863128684175,0.995728839429102,0.9894829269269457
3900,0.9993093419973009,0.0006909754823507257,0.9955923337927339,0.9893473218151522
4000,0.9993090069123931,0.0006913120742825609,0.9954557749210483,0.9892116638067603
4100,0.9993087170144764,0.0006916033168068095,0.9953191727334066,0.9890759627556832
4200,0.9993084662624552,0.0006918552672294848,0.9951825355386549,0.9889402269158637
4300,0.9993082490785533,0.0006920735172777964,0.9950458710089325,0.9888044639087747
4400,0.9993080609970011,0.0006922625470977598,0.9949091852849883,0.988668679834649
4500,0.9993078980580233,0.0006924263289965613,0.994772483811887,0.9885328801025967
4600,0.9993077569076706,0.0006925682283736409,0.9946357712010362,0.9883970692935888
4700,0.9993076342193054,0.0006926915786722986,0.9944990520288276,0.9882612519537946
4800,0.9993075275963796,0.0006927987857334139,0.9943623295893957,0.9881254313556174
4900,0.9993074352158162,0.0006928916824146356,0.9942256063867905,0.9879896099866052
5000,0.9993073557741373,0.0006929715828384291,0.9940888842089465,0.9878537896229275
