milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,ARF,ARF_Mdm2,damDNA,p53deg,p53syn,mdm2deg,mdm2syn,Mdm2mRNAdeg,Mdm2mRNAsyn,totdamDNA,totp53,totMdm2
0,4.996063860566651,5.0008706232064934,95.00190651734906,1.3202718266248775e-06,0.0,0.0,0.0,0.0002676844908075352,0.004530896711530853,-0.0001080610608424203,5.469809182491121e-08,9.088894568533158e-09,4.942437131050378e-05,0.0,100.00001286997073,100.00012003349511
100,5.004575617295674,5.006100773702147,94.99762037652927,1.2543106394178778e-05,0.0,0.0,0.0,-0.0036253714937345954,0.004762865012052236,0.0003267658693274115,-6.626248360662651e-08,-9.829201362528572e-09,0.00011342289062760407,0.0,100.00000197934024,99.99978008067379
200,5.010045593179557,5.009584438486745,94.98523344795504,0.00013375341826086124,0.0,0.0,0.0,0.008369556860838706,0.016008221552051963,0.00038749801700505064,8.200739152543167e-09,1.3835647055123148e-08,0.00016565588673084054,0.0,99.99990368498123,99.99977719704162
300,5.013326577816817,5.0078921956781395,94.98771490097775,0.00016412949072114823,0.0,0.0,0.0,0.027983550221668086,0.02711619212651166,0.0005305333961155009,1.9427147576267586e-08,-5.205702132110329e-09,7.912537277248154e-05,0.0,99.99991920859952,99.99910719848134
400,5.020616029911244,5.012846450446783,94.9734191375977,0.00023283420972225797,0.0,0.0,0.0,0.02681982031379389,0.023079285427858823,0.0011916998706782604,-5.424891737183287e-08,-2.4972447375342304e-09,0.00012980601752423228,0.0,99.99989113882657,99.99945817067463
500,5.023251379959506,5.031438032966639,94.97191587387302,0.00024605620115672596,0.0,0.0,0.0,0.0314119893687784,0.04687160495944239,0.0008678834830437788,-5.647350462333234e-08,-8.417288327212003e-09,0.00025611157924473096,0.0,99.99978835170151,99.99893320155326
600,5.025377650996448,5.032072466779448,94.97670916083355,0.00028957968661705134,0.0,0.0,0.0,0.05059207432331964,0.04181694222046925,0.001551436232572118,6.76805638111175e-08,-4.928602288399048e-09,0.00028925959555855,0.0,99.9997448052397,99.99843782865963
700,5.0403373321636105,5.03766232572292,94.96208523571121,0.00037761779911359654,0.0,0.0,0.0,0.04714065257253435,0.06296940821562608,0.0014252642968162377,1.2930294345581766e-07,1.1527774927921275e-09,0.0002923347670874347,0.0,99.99976629526282,99.99880366883873
800,5.033075781204187,5.0448063762903645,94.96657731095927,0.00044922656312148016,0.0,0.0,0.0,0.05897389199164904,0.05610170594249209,0.001559387664508329,1.1932035561357458e-07,7.219686213509155e-09,0.0004498763499678189,0.0,99.99972761721101,99.99817386365169
900,5.049523009744643,5.03816695776131,94.95992015120805,0.00042762126206818827,0.0,0.0,0.0,0.06485227625162349,0.06198184203159997,0.0021439911921405947,1.9627446818788986e-07,3.365042566673029e-08,0.0004951126862897518,0.0,99.99966427298095,99.99774462789111
1000,5.052115152727986,5.056724505734486,94.95602171257562,0.00047141966566865864,0.0,0.0,0.0,0.07654540663346947,0.06855431899062592,0.0022303349390376437,5.471664918926011e-08,3.2979622010198826e-08,0.0004843632791655274,0.0,99.99966049326063,99.9979341050084
1100,5.048592887915893,5.050607331337458,94.9382016376881,0.0006033466068955766,0.0,0.0,0.0,0.0961003626519254,0.08048549760182742,0.0021028857575199605,1.8674401197988925e-07,3.1033649258964266e-08,0.0005819256077831289,0.0,99.99957415294487,99.99778997636382
1200,5.053212898524505,5.057784707306526,94.9359416205373,0.0006520644439239158,0.0,0.0,0.0,0.09484725998244331,0.0985538439662667,0.002912218176879643,2.2006338418699173e-07,3.328467517818603e-08,0.0006396954749534393,0.0,99.9996124211428,99.99715863961815
1300,5.067343986660189,5.058810149766791,94.9353817351729,0.000595136430272216,0.0,0.0,0.0,0.0980628386927007,0.09117539902381795,0.003005616983215502,2.7230827431576654e-07,5.688503540747678e-08,0.0006705018106773138,0.0,99.99956368998407,99.99725786797404
1400,5.060444467206077,5.066939613631664,94.92412239206193,0.000670993546469014,0.0,0.0,0.0,0.10853688164690414,0.11838035496999025,0.003302411677994968,2.3700300293468106e-07,3.906065011463716e-08,0.000713925839783687,0.0,99.999488827748,99.99663398503063
1500,5.07030966396728,5.068517756386861,94.92447618342925,0.0008206837568853103,0.0,0.0,0.0,0.11936426705574811,0.11161709675178912,0.003248052332227519,3.4099215092117485e-07,6.847606570463552e-08,0.0007747434262303992,0.0,99.99945392373797,99.99685764799928
1600,5.077796365976233,5.074042820224737,94.92693300352667,0.0007595758439216996,0.0,0.0,0.0,0.1322744136260749,0.11942107067564768,0.0032672581859081837,2.817803922158756e-07,4.8139699752330494e-08,0.0007627175218445599,0.0,99.99945618616059,99.99642358999922
1700,5.0802710475364385,5.078672529543558,94.91777622303283,0.000826166654246734,0.0,0.0,0.0,0.13134027902619508,0.12233203857897221,0.003613952020836535,3.170177566175582e-07,6.456222275343761e-08,0.000821542612825027,0.0,99.99945232477442,99.99639420896858
1800,5.0921045152684945,5.084994115548083,94.91408811693296,0.0008981081834970325,0.0,0.0,0.0,0.1306870514814514,0.12882875720065365,0.0036039950751617245,3.343410648991086e-07,7.350795727279473e-08,0.0009121271883047069,0.0,99.99940642002707,99.99598002716647
1900,5.085623186905432,5.091906538421608,94.90064915205177,0.001019704018256143,0.0,0.0,0.0,0.15509699746068525,0.1404142649906876,0.003909638818977974,4.018117925661572e-07,7.550227649339614e-08,0.0010300664052367429,0.0,99.9993685635782,99.9956842867624
