milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,IR,ROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,AbetaDimer,AbetaPlaque_GliaA,GliaI,GliaM1,GliaM2,GliaA,antiAb,Abeta_antiAb,AbetaDimer_antiAb,degAbetaGlia,disaggPlaque1,disaggPlaque2
0,5.0,5.0,95.0,10.0,10.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,500.0,4000.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4.997716785360156,5.003721675644852,95.00277403433752,9.999750116797689,10.000000000000929,3.0983114506921073e-22,200.0,6.2252767384952814e-27,6.21902061892684e-23,0.0,1.8603047718132576e-12,6.200764469098072e-19,94.83534237994527,99.97390627908824,5.164657620054737,0.026093720911744223,499.9999999951825,3994.8092444850145,200.0,200.0,200.0,4.154164622334707e-06,1.8753656059891053e-11,6.017611647288524e-17,1.4338511588545072e-22,3.627585061395955e-24,1.9932787815532532e-08,4.1035052965530075e-14,6.004395023348359e-20,6.689173485916436e-26,1.5017832524431022e-31,1.8453097368464723e-37,1.6826619046657577e-43,1.1522873308318876e-49,3.5680558496935147e-29,6.763664343461562e-31,1.0183656187257359e-54,499.9994998641663,0.0005001358337081914,1.0739113937363089e-31,1.860463688989095e-06,2.161532287542269e-25,4.5230269690507603e-41,0.0009980574280419909,4.909758481073251e-06,1.6275059340725555e-08,99.99900501171943,3.336911417852227e-16,4.1801842856804986e-22,4.81737500861746e-09,50.0,1.687098870729639e-36,1.7304459874856369e-19,0.0,100.0,3.7054622755658267e-47,8.967804210481225e-96,0.0,0.0,0.0,0.0,0.0,1.235154169508286e-46,0.0
200,4.995432616419894,5.007442254763788,95.00552450446489,9.999500467159066,10.000000000003721,4.96103481225007e-21,200.0,1.953224965197585e-25,1.949364021081753e-21,0.0,7.442438503293944e-12,4.961213605152021e-18,89.9934529666141,99.89786764531569,10.00654703338593,0.10213235468430654,499.99999998086207,3989.89128775698,200.0,200.0,200.0,3.269641667589361e-05,1.1276220528094674e-09,2.7308054083712953e-14,4.930247999493657e-19,2.3407169410680338e-20,1.5683161965787832e-07,2.4666533869372374e-12,2.7241065694387252e-17,2.349206368558638e-22,3.5348094071335615e-29,3.3019210993872584e-34,2.397688107443334e-39,1.3211873180321452e-44,4.270153913987027e-25,4.4520204184320764e-27,2.2803110740856484e-49,499.99899945677515,0.0010005432247858538,6.550370382570813e-30,3.7218550918092376e-06,3.46177626383807e-24,5.548046488424678e-39,0.00197680045855604,1.9137599443514798e-05,1.261512627049151e-07,99.99801991664022,2.630779020124771e-15,6.615753823643579e-21,1.9137842104590134e-08,50.0,2.0151868692071246e-34,1.384871591408615e-18,0.0,100.0,8.572042018003432e-45,5.080775947472129e-91,0.0,0.0,0.0,0.0,0.0,2.85734767480274e-44,0.0
300,4.9931473864221925,5.011161740658955,95.00822845868973,9.999251051036717,10.000000000008372,2.5117337054856516e-20,200.0,1.4724815578878784e-24,1.468120463790425e-20,0.0,1.674823106701615e-11,1.6746145221268848e-17,85.45351922389614,99.77513656767796,14.54648077610389,0.2248634323220408,499.9999999572299,3985.2285466760236,200.0,200.0,200.0,0.00010856623804655784,1.2416813159865898e-08,9.59517257370024e-13,5.168543774006425e-17,3.241321665323721e-18,5.20582627625347e-07,2.7154791762032692e-11,9.569713165321953e-16,2.4980917539338113e-20,8.639263901783557e-28,2.4718345172566495e-32,5.293917570501798e-37,8.27897616339272e-42,7.798777033138397e-23,6.248869562814211e-25,1.6053637467664706e-46,499.99849877799153,0.0015012220084338298,7.392927448952106e-29,5.5841747120099564e-06,1.7530392737425783e-23,9.408130279306358e-38,0.0029370456896891345,4.197323037823147e-05,4.126200545620434e-07,99.99704452564588,8.75240012168353e-15,3.310734629357508e-20,4.277006408188461e-08,50.0,3.331931284460082e-33,4.675683883303716e-18,0.0,100.0,2.142127737906652e-43,2.5417022198008634e-88,0.0,0.0,0.0,0.0,0.0,7.140427011332656e-43,0.0
400,4.990860996027505,5.014880136664664,95.01086445300739,9.999001868383383,10.000000000014888,7.938859214217131e-20,200.0,6.159617260387084e-24,6.135296060034814e-20,0.0,2.9779513329831545e-11,3.969942945908279e-17,81.19607324440618,99.608816687051,18.803926755593835,0.39118331294898745,499.9999999244694,3980.804635408333,200.0,200.0,200.0,0.00025317081762160637,6.748816688357562e-08,1.2042865578967696e-11,1.4952285380281303e-15,1.206613144491614e-16,1.2136331598058274e-06,1.4756332075957618e-10,1.2009087089939778e-14,7.347889555951184e-19,8.33973072828684e-27,5.538073948293431e-31,2.865350815276725e-35,1.1737261575387974e-39,3.65580815705991e-21,2.3596549608941163e-23,2.800784169394907e-44,499.9979978279797,0.0020021720202174926,4.12451690918167e-28,7.447423052833954e-06,5.542012547225781e-23,7.030035754128491e-37,0.0038795599650479646,7.275878880565382e-05,9.480785865895831e-07,99.99607865753482,2.0456051213355617e-14,1.0344938667910071e-19,7.553050789602716e-08,50.0,2.4277645236788283e-32,1.1087235376477444e-17,0.0,100.0,2.1166086879156105e-42,2.3570575154411715e-86,0.0,0.0,0.0,0.0,0.0,7.055363874257687e-42,0.0
500,4.988573352963106,5.0185974461450735,95.01341248139391,9.998752919151954,10.000000000023267,1.9383586514323407e-19,200.0,1.865889326141284e-23,1.856675741802564e-19,0.0,4.653811715049441e-11,7.754744376663895e-17,77.20290655340585,99.4018634215879,22.79709344659414,0.5981365784121018,499.9999998827569,3976.604280710018,200.0,200.0,200.0,0.0004864301511424108,2.4913971627983326e-07,8.520632115041022e-11,1.9916496317554416e-14,1.996079983903191e-15,2.331286657012324e-06,5.446752565078875e-10,8.49610207263794e-14,9.963241432515178e-18,4.831705718165408e-26,6.134005106562145e-30,6.122198764291837e-34,4.966555775825437e-38,7.449024414855951e-20,3.966202777658885e-22,1.449871627132021e-42,499.9974966069039,0.0025033930960702386,1.5631008556017674e-27,9.31160061721715e-06,1.353427124070217e-22,3.351804047069255e-36,0.004805063813699858,0.00011088487924919674,1.7953218052802804e-06,99.99512213854423,3.9403481074622095e-14,2.4974573690067743e-19,1.1724297792630979e-07,50.0,1.1289569014453255e-31,2.1662831407485965e-17,0.0,100.0,1.2583393537767166e-41,8.116574404122744e-85,0.0,0.0,0.0,0.0,0.0,4.1944656815245937e-41,0.0
600,4.986284371669946,5.022313672491941,95.0158539054486,9.998504203295491,10.00000000003351,4.0197267977331693e-19,200.0,4.608800120959023e-23,4.58147454001586e-19,0.0,6.702587538116179e-11,1.3401839259922283e-16,73.45698914550174,99.15708573503677,26.543010854498277,0.8429142649632448,499.99999983226166,3972.613242653827,200.0,200.0,200.0,0.0008268166386722411,7.199400605800315e-07,4.1825607724143566e-10,1.6297376354102933e-13,1.961450044418966e-14,3.961986167786416e-06,1.5738774472174905e-09,4.170596420744417e-13,8.301745239451505e-17,2.0217204039644904e-25,4.350203476622478e-29,7.374770351515373e-33,1.025820897219117e-36,8.752747171115236e-19,3.961749506914455e-21,3.5629848341868173e-41,499.99699511492764,0.003004885072295785,4.637508695837288e-27,1.1176707907790121e-05,2.8072986409651344e-22,1.2014995441181367e-35,0.005714234688314093,0.0001557868758792391,3.0084588301403284e-06,99.994174801899,6.716790317974444e-14,5.121837926355553e-19,1.6773817553776421e-07,50.0,3.94832923624184e-31,3.7447332236026566e-17,0.0,100.0,5.407947166528892e-41,1.4814517338589699e-83,0.0,0.0,0.0,0.0,0.0,1.8026496571647334e-40,0.0
700,4.983993972959609,5.026028819122517,95.01817138594883,9.998255720767217,10.000000000045619,7.447689285042424e-19,200.0,9.888648515613942e-23,9.820203878256717e-19,0.0,9.124462186611666e-11,2.1284230631240573e-16,69.94239428836333,98.87714875056996,30.05760571163668,1.1228512494300542,499.9999997731465,3968.818241932655,200.0,200.0,200.0,0.001291388773929029,1.7567833077967748e-06,1.594498141052999e-09,9.540022113358405e-13,1.3468287222929584e-13,6.187579451694305e-06,3.84073705674752e-09,1.5901400493565482e-12,4.950250396730366e-16,6.755707635002432e-25,2.268687473839217e-28,6.026944369627332e-32,1.3294417096165544e-35,7.036001382504829e-18,2.7666207683299745e-20,5.415897917427421e-40,499.9964933522144,0.0035066477855708986,1.161997804907951e-26,1.304274542687857e-05,5.202414798339399e-22,3.5368012846491916e-35,0.006607709927991266,0.00020694154002971074,4.633744918628543e-06,99.99323648739733,1.052404584431169e-13,9.38609284967121e-19,2.2685329327088712e-07,50.0,1.1343184523624218e-30,5.9487154441458e-17,0.0,100.0,1.8566811335704853e-40,1.7545084077684438e-82,0.0,0.0,0.0,0.0,0.0,6.1889395203106325e-40,0.0
800,4.981702083677914,5.029742889477528,95.0203488156269,9.998007471520506,10.000000000059593,1.2706541870639314e-18,200.0,1.913955704636546e-22,1.898805859145704e-18,0.0,1.1919619144111683e-10,3.1775104203871304e-16,66.64422784624338,98.56457710458727,33.35577215375664,1.4354228954127295,499.99999970556814,3965.2068924353616,200.0,200.0,200.0,0.0018958211038616866,3.7876717978982202e-06,5.050966718119553e-09,4.366260129000903e-12,7.104546945494797e-13,9.083571777918555e-06,8.282051538640858e-09,5.038430946615124e-12,2.3087671531388842e-15,1.914741205714907e-24,9.443490239745702e-28,3.6973299575251636e-31,1.2091021671995993e-34,4.273721956656788e-17,1.4848940987935962e-19,5.713463760169309e-39,499.99599131892694,0.00400868107294778,2.5728890641469352e-26,1.4909713676503988e-05,8.877734579485442e-22,9.012905591861264e-35,0.007486089511610982,0.0002638638936640099,6.7103431982971325e-06,99.9923070410235,1.550360794530528e-13,1.5841310005141773e-18,2.9443163604365807e-07,50.0,2.822038263914893e-30,8.883027279006766e-17,0.0,100.0,5.407607544600137e-40,1.49763523119808e-81,0.0,0.0,0.0,0.0,0.0,1.8025366499705145e-39,0.0
900,4.9794086363774515,5.033455887019269,95.02237125364074,9.997759455508904,10.000000000075437,2.0355209921913415e-18,200.0,3.424133245480193e-22,3.3936225400293334e-18,0.0,1.5088241993278364e-10,4.524782846859862e-16,63.548561889356854,98.22175886460145,36.45143811064318,1.7782411353985437,499.9999996296775,3961.7676386667185,200.0,200.0,200.0,0.00265443147345464,7.429207616190001e-06,1.3876802743489784e-08,1.648497941925015e-11,3.033186864989728e-12,1.2719367466601242e-05,1.6249094930436346e-08,1.384767123234438e-11,8.878771476308937e-15,4.78349537159779e-24,3.297434438974169e-27,1.8006940551465945e-30,8.178316943874501e-34,2.0609268140491135e-16,6.447284175275397e-19,4.3559170422600914e-38,499.9954890152281,0.0045109847718562395,5.183337205352467e-26,1.6777613158384362e-05,1.4224654887662167e-21,2.056813318478811e-34,0.008349938612375677,0.0003261043280105718,9.271022471017971e-06,99.9913863145867,2.1789882397306488e-13,2.5107526970350847e-18,3.703222675284899e-07,50.0,6.2897197475323416e-30,1.265262221319691e-16,0.0,100.0,1.388064709315983e-39,9.788265091543167e-81,0.0,0.0,0.0,0.0,0.0,4.62688467898806e-39,0.0
