milliseconds,GP,pGP,mRNA,PEPCK,IRS,p1IRS,p2IRS,p1p2IRS,Akt,pAkt,mTOR,pmTOR,Foxo,pFoxo,PYRout,GLCex,F16P,PYRin,LAC,OAA,GLY,G1P,G6P
0,0.47497167807078283,0.17122959641667743,2.9050317615860055,0.768463489924355,899.5145410068519,669.277052168173,-14.713158082521561,8.525353831070863,1.0988183848730861,-0.023525230847644484,880.2486806208528,-0.0008963674785076446,1.0765441883767e-05,5.6602570869442914e-08,34375.0002290687,28723.48524146848,362562.6214461422,37392.82902651172,37916666.64712335,86.25959124692162,182758.21073519177,200859.35163029435,19627.87326643206
100,0.6430816386510144,0.0016971113367486726,2.9051252689731766,0.768407792144313,23.073667498199885,1619.8095344652852,12.050359457022983,7.9730582364864135,1.1178291826041877,0.0024828054618070716,880.2485427923203,-0.0009092822508827338,1.06698888794247e-05,7.247637659008495e-08,34375.00232773923,28694.155656341092,362623.64502737415,37394.22716122884,37916666.7104673,89.33189062201457,182758.22197259864,200850.51968908912,24341.691619828758
200,0.6425110770261327,-0.00012659433330571208,2.903140547090075,0.7685240702244706,31.27978239314753,1548.7552060942273,18.334464258847625,13.32484798281169,1.1141088387584255,0.01908960393300477,880.2502406921217,-0.0012175241233261902,1.0752139278814025e-05,-3.443403280220556e-08,34375.00087370319,28682.843262606206,361740.80863269576,37392.93727964262,37916666.714950375,90.37857898814028,182758.03545980708,200854.03859281182,26688.55407054959
300,0.6450140461209128,0.0025246337979643214,2.902430808482617,0.7683242413091226,30.658084706795826,2590.2522589733285,-13.306257320857652,-12.969891113479415,1.1113218726962735,0.02259149249627846,880.2509088133979,-0.0016735763828197396,1.0633595849712279e-05,1.9845919851975962e-08,34375.00457934489,28678.146732003657,361584.0459897236,37391.510901258596,37916666.72164177,97.99779383103733,182758.84813885044,200826.28377443788,27930.820176525212
400,0.6449140807538564,-0.0001154277100269361,2.9012100448121156,0.7681291148808838,16.398656962941523,2126.6379278850877,-19.233661355729684,-1.321113682951413,1.0689949036520543,0.05335870718624153,880.2510890281753,0.0010987761883405188,1.061823921736099e-05,-3.742963580048861e-08,34375.00528692932,28675.16695985642,361636.67541886406,37390.439489222066,37916666.748693526,99.50484992352749,182759.11112788218,200814.0554774945,28470.24728446046
500,0.643095558972159,0.0015485792815023746,2.9000447694008407,0.7679197749931471,20.59966336593355,3483.0485561214678,-12.214173574910923,-12.415864750043234,1.0590316383353031,0.021358509363052714,880.2504744132407,-0.0006392190427069676,1.0638973901142722e-05,1.9261901300490744e-08,34375.006487044186,28673.19976116514,361374.7587487987,37388.4091645679,37916666.752178915,111.31778066874003,182759.5897835165,200809.45026171493,28731.316268569466
600,0.6438609986652819,0.0020899502236277024,2.899541071343132,0.7679754997894348,9.977986402992475,3188.590580548346,19.896544471910417,-3.7943567700984775,1.068825001683582,0.051986339941308614,880.2509522095304,0.0011596766326916342,1.0601923724210036e-05,3.3372740071733235e-09,34375.0056763814,28673.613481805995,360749.35475662164,37387.51025431229,37916666.77911594,123.41894515765841,182759.74051305174,200789.79825035628,29114.022605403094
700,0.6413570140679701,0.0010240675125794975,2.8995926857783885,0.7677062404719642,21.049429923887686,3810.8729183958767,-16.33292592802194,11.012746269550657,1.0462840657391754,0.060587312058490196,880.2484674152068,0.00037424938997493483,1.0613169173281486e-05,6.934709451972985e-08,34375.00822170724,28677.540639690866,359996.3784580613,37386.973514862584,37916666.80245428,120.21001199944152,182761.40640066925,200802.06231074312,29031.70214962364
800,0.6418981707238377,0.003523800054720961,2.8993155025656248,0.767855742171014,21.886007776093926,4329.738453198195,-17.00888370920504,8.253156230135591,1.0452033435864019,0.0989622044664403,880.2487570342904,0.0006170263760911564,1.0612235515636008e-05,1.9067599135596793e-08,34375.008551799016,28679.44622676963,359834.94972971675,37387.860319221625,37916666.81711223,126.33170211496162,182760.79178673876,200784.14315580143,29204.80172274128
900,0.6439257021222985,0.0018447875918944626,2.8975117626377287,0.7674532407176403,24.046930506837636,5414.0754577473845,16.98376403205801,5.652784367169393,1.0307072118775236,0.12363627873787872,880.2478668121397,0.002833189512707901,1.0642627561468856e-05,-1.496266795622521e-08,34375.00901135883,28684.005684953947,359769.5216870834,37386.93044094734,37916666.84650021,140.13923569981156,182762.23472724124,200753.23629919149,29218.78124827272
