milliseconds,RuBP,PGA,TP,Ru5P,Pi,ATP,ADP
0,2.0,2.4,0.5,0.0500747384155456,5.0,0.68,0.82
100,1.8939050826930302,2.5170750825275,0.4454803810344087,0.16468460888303152,4.8216837420767265,0.8933407585078135,0.6066592414921865
200,1.831991225533386,2.6042662248922825,0.4285787471166552,0.23125730540454065,4.6798566354547315,1.0221333744805643,0.4778666255194358
300,1.7948130730624146,2.676117217660522,0.4266816022296336,0.2727973384088806,4.56499976788512,1.099852666106571,0.40014733389342916
400,1.7725852466670675,2.739240540213768,0.43025893599313664,0.3004053271830328,4.470539239997291,1.1444602016941927,0.35553979830580745
500,1.7599609490088366,2.7971885140059283,0.4351997458781447,0.3196990904011962,4.390447378629386,1.167618111483217,0.33238188851678324
600,1.7537863109049745,2.852018549654674,0.43982091373474963,0.3336843401863163,4.319638453963251,1.1773398590665995,0.32266014093340073
700,1.7520852959804134,2.9049573716800086,0.443547018465581,0.34405908433128995,4.254382805895627,1.1789578660822002,0.3210421339178002
800,1.7535534150567735,2.956746935985931,0.4462882611903477,0.3518431435204436,4.192240703637657,1.1758488639676172,0.32415113603238316
900,1.7572899799483472,3.0078408333962385,0.44814636800042357,0.35769090675958853,4.131746785622259,1.170069884740372,0.3299301152596281
1000,1.7626514930729331,3.058517328451395,0.4492813551333757,0.3620485565463886,4.072081080181829,1.1628434319567353,0.33715656804326466
1100,1.7691663781098623,3.1089464173659547,0.4498538749956233,0.36523641769832993,4.0128215483164,1.1548837238195584,0.34511627618044194
1200,1.7764807508664704,3.1592319162535416,0.4500005977189462,0.36749631330183186,3.953781756027964,1.1466026533803713,0.35339734661962896
1300,1.784326251549061,3.209435444768463,0.44983046250276876,0.3690153369747834,3.894909507688262,1.1382314833831952,0.3617685166168048
1400,1.792497320841256,3.2595921141268067,0.4494259205584282,0.36994142442377154,3.83622611501795,1.1298945226061263,0.3701054773938736
1500,1.800835826219866,3.309720186520366,0.4488474630335678,0.37039264911624914,3.7777903824804757,1.1216524048252037,0.3783475951747959
1600,1.8092198549754646,3.35982730125482,0.4481383035226011,0.3704637093602261,3.7196775664717423,1.1135281478552734,0.38647185214472646
1700,1.8175551467021298,3.4099147044251747,0.4473285911247064,0.37023081129201246,3.661966754402851,1.1055235837665847,0.394476416233415
1800,1.8257689213551356,3.459979789015942,0.44643899110035407,0.36975513970752755,3.604734420899373,1.0976285549821216,0.4023714450178784
1900,1.833805107668192,3.5100177510766137,0.4454834008107362,0.3690856861841245,3.5480514373134913,1.0898262476942382,0.410173752305762
2000,1.8416206121655005,3.5600227408896084,0.4444708845853914,0.3682615883322353,3.491981172103732,1.0820971281736174,0.4179028718263827
2100,1.849182191336662,3.6099887131679367,0.4434072893075209,0.3673141387522962,3.436578541122101,1.0744216733924052,0.42557832660759465
2200,1.8564641126587775,3.659909868600715,0.4422964573841302,0.3662683590249467,3.381890372518082,1.0667814555701527,0.4332185444298472
2300,1.863446514113765,3.709780843844036,0.44114091624464846,0.36514420588981883,3.327956016676199,1.059159727533347,0.4408402724666527
2400,1.8701141291090526,3.7595967660890337,0.43994242238115705,0.3639575758743777,3.2748087961019756,1.0515409197509262,0.44845908024907344
2500,1.8764552049217813,3.809353331912131,0.4387022844097389,0.3627211737845298,3.222476621150813,1.0439109173147978,0.456089082685202
2600,1.8824609005896424,3.859046791376954,0.43742139781247774,0.3614450808340397,3.1709825238697738,1.0362571433430439,0.46374285665695586
2700,1.8881243328374882,3.9086741212423575,0.436100579833282,0.3601374478607956,3.1203442852250944,1.028569638579071,0.47143036142092865
2800,1.8934401438966144,3.9582328960493767,0.43474073798905294,0.35880489312823816,3.0705756119275405,1.0208403115281441,0.4791596884718553
2900,1.898404186226333,4.007721185664664,0.43334292166548916,0.35745283161461816,3.0216871562883987,1.013062270729747,0.4869377292702525
3000,1.903013251429317,4.057137498601547,0.4319083264776108,0.35608575764218564,2.973687044934651,1.0052296079009546,0.49477039209904494
3100,1.9072649423006023,4.106480710977093,0.43043822187088765,0.3547074281541211,2.9265813353010928,0.9973371575111831,0.5026628424888163
3200,1.91115749852449,4.155750093242344,0.4289338919380449,0.3533210312534679,2.880373619580695,0.9893811053520524,0.5106188946479471
3300,1.9146896615834603,4.204945250721894,0.427396693281908,0.3519293069093822,2.8350653194768065,0.9813588448586764,0.518641155141323
3400,1.9178606009985573,4.254066045647451,0.4258280809425533,0.35053463977976723,2.790656274510425,0.9732684955382789,0.5267315044617206
3500,1.9206698552589834,4.303112553915954,0.4242295933901362,0.3491391402335789,2.747145032328797,0.9651087080291578,0.5348912919708416
3600,1.9231172905378275,4.352085021726088,0.42260283562455114,0.34774470745923214,2.7045290807639417,0.9568785117661218,0.5431214882338776
3700,1.9252030915995526,4.400983858218248,0.4209494037624344,0.34635306845575564,2.662804696944429,0.9485775278356179,0.5514224721643816
3800,1.9269277390908952,4.449809613281646,0.4192708760577987,0.34496579995497995,2.6219668038271577,0.9402061671122177,0.5597938328877817
3900,1.9282919972483032,4.498562925250207,0.4175688380652764,0.34358434723385606,2.5820092880926757,0.9317653452769707,0.5682346547230287
4000,1.9292968904033507,4.547244458222967,0.415844891856738,0.3422100683855179,2.542925518803638,0.9232560203400322,0.5767439796599673
4100,1.9299437267717068,4.5958549877354375,0.4141006078535558,0.34084418905856045,2.504707414385103,0.9146800858395273,0.5853199141604721
4200,1.9302340654057946,4.64439521303188,0.41233754187311994,0.33948789036269134,2.467346631886969,0.9060393304493513,0.5939606695506482
4300,1.930169743332129,4.692865923218311,0.41055723018536217,0.3381422321506013,2.430833608306597,0.8973362578904743,0.6026637421095251
4400,1.929752862021076,4.741267852132926,0.4087611621917896,0.33680820520468485,2.3951580751148684,0.8885737197291835,0.6114262802708159
4500,1.9289857765573282,4.789601601448819,0.406950776839941,0.3354867643934387,2.360309443912647,0.8797545987060983,0.6202454012939012
4600,1.9278711172293477,4.837867865196518,0.4051275070142386,0.3341787428725015,2.3262759524587318,0.8708824364149064,0.6291175635850931
4700,1.9264117486031047,4.886067016349795,0.4032927220235839,0.3328849911258896,2.2930460819001843,0.8619604298099196,0.6380395701900798
4800,1.924610817242797,4.934199564617334,0.40144777178074253,0.33160623096443,2.2606070273655234,0.8529925092019487,0.6470074907980508
4900,1.9224717157935067,4.982265657398743,0.39959387917501926,0.3303431726306869,2.228945973151091,0.8439826244730074,0.656017375526992
5000,1.9199981021654497,5.030265506139306,0.3977322767491828,0.32909644177057595,2.198049262427229,0.8349350469983615,0.6650649530016379
