milliseconds,Mrbc
0,0.0
100,0.16669411984779944
200,0.6443286201358759
300,1.4012819601642819
400,2.408490236757302
500,3.639256565915004
600,5.069072431217113
700,6.675441494009461
800,8.437727238565385
900,10.337000713642071
1000,12.355917689192964
1100,14.478602586952393
1200,16.690530501092493
1300,18.97841523506937
1400,21.330137500094807
1500,23.734576781629343
1600,26.181620781198767
1700,28.662042471696715
1800,31.167467578395836
1900,33.69027606913165
2000,36.22355037663165
2100,38.76100869318387
2200,41.29696552623522
2300,43.82628391891822
2400,46.344329222213304
2500,48.8469346258134
2600,51.33035797566255
2700,53.79124863157908
2800,56.22661245665873
2900,58.63378688059621
3000,61.01041268793075
3100,63.35440793117931
3200,65.66394631068714
3300,67.93743539566009
3400,70.17350047088576
3500,72.37095354956237
3600,74.52880010550601
3700,76.64618855926967
3800,78.72243367651463
3900,80.75697489609175
4000,82.74937984337201
4100,84.6993334251306
4200,86.60661694587893
4300,88.47111395863044
4400,90.2927853752095
4500,92.07167522540273
4600,93.80789029438117
4700,95.50160641229604
4800,97.15304740488217
4900,98.76249654127757
5000,100.330272940477
