miliseconds,ADP,ATP,MT,Hsc70,Hsp90,CHIP,Bag2,TauH3RUb,TauH4RUb,Nucleus3,Nucleus4,Agg33,Agg43,Tau03R,TauN3R,TauH3R,Tau0_3R,Tau03RMT,TauN_3R,TauN3RMT,TauH_3R,TauH3RMT,TauH3R_Hsc70,TauH3R_Hsp90,Tau03R_Hsp90,TauH3R_CHIP_Hsc70,TauH3R_CHIP_Hsc70_Bag2,Tau04R,TauN4R,TauH4R,Tau0_4R,Tau04RMT,TauN_4R,TauN4RMT,TauH_4R,TauH4RMT,TauH4R_Hsc70,TauH4R_Hsp90,Tau04R_Hsp90,TauH4R_CHIP_Hsc70,TauH4R_CHIP_Hsc70_Bag2,_20S,_26S,Ap,Bp
0,0.9933189091537299,-0.006018689170593077,15.001552775023564,0.09999999998129083,0.10000000000038493,0.10000000000089969,0.1000000000000074,1.70178739902088e-14,-1.0832716528712928e-13,-2.2704896573484237e-32,-5.617688067023279e-31,2.6914802242732588e-45,-2.621544990906459e-43,-1.983021648658449e-05,-3.103036821259421e-07,-1.2278537297615998e-08,3.1705154583806413e-06,0.00048225278201346756,2.6101820749841827e-07,-0.0003497294207202682,6.237457489651908e-09,2.937306098879403e-07,4.916826470261004e-13,1.7113050532621114e-14,-6.0670643283349375e-15,-2.4456766756967507e-13,-5.471948496635696e-14,-1.1756166409958471e-05,-2.590357056714459e-06,1.6057888815346666e-07,-4.564258210295869e-07,-0.0011803032688265948,1.3692130427387164e-08,0.0004325413972999792,-3.1836836561521606e-09,-3.5780605326118586e-06,5.872600251993999e-12,1.14494816874701e-13,3.604845159478685e-14,5.403412233605709e-14,3.155762707259826e-19,1.0,1.0,2.4158182406453e-56,7.099967996155923e-54
100,0.9441450748017115,0.05680279029224646,14.997899272254688,0.09999999999328829,0.09999999999974696,0.1000000000007944,0.10000000000000282,1.3593953687850083e-14,4.830429756416114e-14,9.068744378001424e-32,8.827933035972286e-31,-2.272710432625488e-45,-3.499423763131379e-43,0.002715034860353788,-7.182927716692016e-07,3.63206702246839e-09,0.00012004343366238193,0.0005848083686482103,1.257759012439333e-07,0.0006873952755585878,-6.549891954873361e-09,-8.372061895367372e-08,-8.974201226795364e-13,1.314074229472823e-14,9.304093862826213e-15,-3.1556551119500265e-13,-8.123074438995195e-14,0.0018851360274412424,-2.833145925881313e-06,1.510269584077012e-08,8.024680203102616e-05,0.0014191534220161146,-1.4370778250792086e-08,0.00017613398653606606,-2.916291851024751e-08,-1.5892048689600185e-06,-4.55275605897892e-12,-8.999282463765415e-14,-4.0541199207938707e-14,-6.467669301650102e-14,2.34483521936746e-19,1.0,1.0,2.447121685469577e-56,7.126663262449369e-54
200,0.8730103917216857,0.13928395784967862,14.990917548700214,0.0999999999827382,0.09999999999966752,0.10000000000160225,0.10000000000013128,1.662371435065103e-15,2.1537662552580072e-14,1.1246400674853351e-32,1.5018775630116365e-31,5.134439955542121e-45,3.190031890121264e-43,0.004131135696430486,1.46555074588935e-06,-1.4063950446494352e-08,0.0001884358558386349,0.001916361488624341,-6.067496143549225e-08,-0.0010387440398719498,-6.8020303997411546e-09,-6.140564553392002e-08,3.5469215042567313e-12,1.834446382621988e-13,4.871709092603883e-15,5.696073479162707e-13,-7.829826542648498e-14,0.0028645283632477495,5.083619413413849e-06,-1.422868300794063e-07,0.00012691983824482115,0.0034700457547525276,-2.0700873984395053e-08,-0.00022885770431505716,2.8549520503589112e-08,-2.10585075874786e-06,-3.69714860031543e-12,1.3898724417037203e-13,1.5664169134617615e-14,-6.820384005352917e-14,-4.451760615210071e-19,1.0,1.0,2.449154881677581e-56,7.195379633016025e-54
300,0.8257909651036964,0.19121867031462506,14.993961104087148,0.09999999998314742,0.09999999999980828,0.09999999999994175,0.0999999999998899,-1.075309581628387e-14,-6.714633940734498e-14,-5.952352329033576e-32,-1.4564620162731155e-30,3.7680887657041435e-45,-1.4618803702226656e-43,0.004911812372726419,1.946667919123388e-06,-6.192108500989408e-09,0.0002227024462210465,0.00451485714574601,2.866368345353944e-07,0.00037417475307750006,7.095291326811923e-09,-2.0262606500956637e-07,1.285734764048039e-12,-1.9617065597110752e-13,1.1618296782270931e-14,-8.925543392108281e-13,-1.176170760893102e-13,0.0033157723852404305,9.85187618464972e-06,6.791741719841882e-08,0.00015112351201535153,0.0031298190384398184,6.218517059162792e-09,0.00028845965189034343,-1.7930111219861207e-08,-3.6144989225565807e-06,-5.098675473438089e-12,-7.639793008976649e-14,-3.8544284593021034e-14,-5.4711966464640797e-14,1.9665807153663932e-19,1.0,1.0,2.4132118591181907e-56,7.122877043793777e-54
400,0.771909180008112,0.2326459566355281,14.983439286052986,0.10000000001518798,0.09999999999980054,0.09999999999858077,0.10000000000006558,-1.4688713617671576e-14,3.346799761110047e-14,5.522393021565098e-32,4.132065541565696e-31,-8.251165052814098e-46,2.1664527389181186e-43,0.005347177980828872,3.04959370424403e-06,1.538889086114562e-08,0.0002465361984235906,0.008736019071628347,1.9255478401756544e-08,-0.0005356421554220053,-6.882710264092795e-09,-2.155565373127207e-07,-1.362843491814592e-11,-6.608220240605436e-14,-6.56051278828504e-16,5.78435756418845e-13,-8.619988490033972e-15,0.0035868023477209072,1.8619011871244353e-05,-1.0530703133681393e-07,0.00016350269586115997,0.005066396258993604,7.683619523349405e-08,-0.0003417340619929495,2.4993829938644686e-08,-1.093980639710416e-06,-3.3139680500198224e-12,-6.218009046169483e-14,-7.346666630681922e-15,-2.0754963110554034e-14,-6.886680726917518e-19,1.0,1.0,2.4107169484573955e-56,7.107658567851375e-54
500,0.7193586897136212,0.2829949000934933,14.976353784859223,0.10000000001318268,0.099999999999599,0.1000000000007994,0.09999999999996935,-5.648310832580094e-15,7.499362633347986e-14,2.5329963210116123e-32,8.878532653848201e-31,-2.589808397630682e-45,2.4417098621935495e-43,0.00553628209794518,4.23549833489096e-06,-5.4823887165836425e-09,0.00025883250195556497,0.011821584474597094,-1.1348294816308363e-07,-0.0006219025300111471,3.6148637868461557e-09,-9.920526982618355e-08,1.2864582790264555e-11,-1.403581398560673e-13,1.5067111447349305e-15,-1.3804915560997755e-13,-4.600289290597832e-16,0.0037538019857107285,2.231122591619066e-05,1.9063372977956543e-07,0.0001706512452797277,0.009086782070056745,6.370040278166757e-08,0.00027933323211886226,-5.1855471962902576e-09,7.017967317758504e-07,8.572433941391871e-13,-1.2989962017078382e-13,-3.989163553579338e-14,-9.549812377440478e-14,8.092944972826257e-20,1.0,1.0,2.417051918327593e-56,7.116427242235128e-54
600,0.6557041107834509,0.34469580703861946,14.974088147504625,0.09999999998006105,0.1000000000003999,0.0999999999990108,0.09999999999997017,-1.241955912037741e-14,-9.817099240203681e-14,7.757483004655862e-32,-2.8202223892487856e-31,9.687144406040285e-47,-2.4058541954282728e-43,0.005607823615771995,4.178642268044113e-06,-6.243988547454244e-09,0.00027073173281970175,0.015452753283331901,-9.298489797793346e-08,2.0095304824904823e-06,-7.051978363348254e-09,1.343599718175426e-07,1.32092147578736e-11,1.700755639805756e-13,-3.853427921157904e-15,1.148532784358621e-12,-2.6157623224376693e-14,0.003816861868254892,4.000092603652056e-05,1.9796594214829563e-08,0.00017396059625669942,0.012268731442288888,5.5580380175034906e-08,-0.0001605283101523488,-1.3667092011213615e-09,5.032089453715231e-07,-3.5782709517715757e-12,1.2939811663321594e-13,-1.1911581572496471e-14,-3.531748914277065e-14,1.7044425537886235e-19,1.0,1.0,2.4399510772686836e-56,7.19059217076782e-54
700,0.6222574723422398,0.38653139080950066,14.965503399202442,0.10000000000666356,0.09999999999997074,0.10000000000166519,0.09999999999989825,-1.3274829279860258e-14,-7.479791723564791e-14,1.059425595838367e-32,4.576320029005777e-31,-1.7477503825341148e-45,3.2500099582498452e-43,0.00569407447549061,7.865535621622605e-06,2.371876768783537e-09,0.00027115934680367967,0.020633513546753003,4.826247239285706e-08,0.001407659337170812,6.536723461759947e-09,3.334613144407934e-07,-1.4008324949238405e-11,1.2550854032508193e-13,9.741916657638373e-15,-9.16641198783544e-13,4.5066380356886624e-14,0.003842393869060835,4.877264772910942e-05,2.704857952380438e-07,0.00017611525853708206,0.012821279658684114,9.658248291704976e-08,0.0004987799453308093,-1.8404671057353507e-08,-3.5838514884629846e-07,-4.807945951458286e-12,-1.375725494878239e-13,2.881163226259131e-14,-1.2258053755782348e-13,-6.160496991864812e-19,1.0,1.0,2.4318779827892347e-56,7.179721401397221e-54
800,0.5724300833672216,0.4092252741759235,14.961480677909853,0.09999999998669293,0.10000000000042196,0.09999999999876967,0.09999999999988915,-1.3555638910586837e-14,4.6548546302921797e-14,-9.885752077984497e-32,1.714433311735322e-30,-2.808893801233782e-45,-1.9537970242274517e-43,0.0057742790076063324,9.002269512586407e-06,1.0817264586281994e-08,0.00027916380266324514,0.021532948799415648,3.9369619506946014e-07,0.0015054656859339313,-2.7532899628250203e-09,-2.102231949586863e-07,9.905580617538668e-12,-1.730551388949335e-13,1.1553581055582255e-14,1.4146837728855431e-12,-1.4375356953716108e-14,0.003837194104214577,6.246814881458559e-05,3.1106993562467263e-07,0.00017700927975580587,0.015492684391254771,1.419709500018126e-07,0.0006163768689919764,-1.6047853209829975e-08,1.1670574123882478e-06,-3.1847415702017475e-12,-1.6309214906347917e-13,-2.8196118215143618e-14,-5.508918483048684e-14,-2.9573451528388576e-19,1.0,1.0,2.431681198697765e-56,7.102533947393913e-54
900,0.5563614756256666,0.4420913307410354,14.952223418214178,0.09999999998738773,0.10000000000002061,0.0999999999991726,0.10000000000009104,-2.0482937423826176e-15,4.5340600262774394e-14,-4.3290409960140034e-32,-1.2621228365261893e-31,-1.5716673167943956e-45,-1.6723293659820339e-43,0.0057738387756711175,9.166719837146474e-06,4.1241446470602795e-09,0.00028101073353994227,0.024475073700415385,2.4501658619736705e-07,0.0012406575157468572,4.786636675909235e-09,2.0808621497814527e-07,6.536360857502562e-12,-1.173950939644936e-13,-6.444444454779914e-15,3.8135783430146056e-13,-1.0676699465478476e-13,0.0038579144682841936,6.821704815249102e-05,7.504799515338883e-07,0.0001776856037003972,0.018018724904145796,2.2804150752157876e-07,7.090167948536089e-05,1.134275554755814e-08,1.4998876292774077e-06,-2.356311135096681e-12,2.04753361350408e-14,-2.41538680033172e-14,-1.2321790214277884e-13,-5.685963352756255e-19,1.0,1.0,2.430781895615121e-56,7.137001974294195e-54
