miliseconds,ADP,ATP,MT,Hsc70,Hsp90,CHIP,Bag2,TauH3RUb,TauH4RUb,Nucleus3,Nucleus4,Agg33,Agg43,Tau03R,TauN3R,TauH3R,Tau0_3R,Tau03RMT,TauN_3R,TauN3RMT,TauH_3R,TauH3RMT,TauH3R_Hsc70,TauH3R_Hsp90,Tau03R_Hsp90,TauH3R_CHIP_Hsc70,TauH3R_CHIP_Hsc70_Bag2,Tau04R,TauN4R,TauH4R,Tau0_4R,Tau04RMT,TauN_4R,TauN4RMT,TauH_4R,TauH4RMT,TauH4R_Hsc70,TauH4R_Hsp90,Tau04R_Hsp90,TauH4R_CHIP_Hsc70,TauH4R_CHIP_Hsc70_Bag2,_20S,_26S,Ap,Bp
0,0.9914907981500867,0.0028426429222349462,14.998603535292673,0.0999999999771136,0.09999999999972393,0.09999999999894155,0.10000000000012961,-1.8999024829233967e-14,-7.02074575679226e-14,-5.149692265069309e-32,9.967133731484381e-31,3.619434932635057e-45,-8.74038266225075e-44,3.348518900908076e-05,-4.8917620416812e-07,7.284608862651634e-09,1.2334069820204326e-06,-0.0009149663698274465,-2.4243328679720104e-07,0.0006317098356377951,6.0066996132761916e-09,2.822230933738574e-07,-5.617809773164532e-13,1.6895564932598624e-13,-2.4751378449283468e-15,-9.47246401712408e-13,-6.014445594264095e-14,1.4780074678881525e-05,-3.0476645106231633e-06,-1.2765063509024915e-07,9.595215985730378e-07,0.0002857085660869247,-3.110637605009434e-08,0.00019716563800648723,1.8555593123681782e-08,-5.591729476587313e-07,-5.678619590798666e-12,-1.9000280900492698e-13,-3.026247625611093e-14,-1.3153188364930777e-13,4.184910203977631e-19,1.0,1.0,1.2158399274832477e-55,3.569537061441348e-53
100,0.9416770625911468,0.07341874534065594,14.996891192490603,0.10000000002089096,0.1000000000000469,0.09999999999869252,0.10000000000006552,5.3745912167994306e-15,-1.7959953471932085e-14,1.588116794436405e-33,-8.002057014248622e-31,4.72903712487307e-45,1.2871014513820308e-44,0.0027465931904818133,-9.302458627216674e-07,9.76539543134622e-09,0.00011636011079954738,0.0014620766971949906,4.584471396058301e-08,0.00018580114115432735,6.652497942198603e-09,2.1709709937044384e-07,8.444107753990163e-12,-1.0477706717271669e-13,6.63754453602381e-15,-4.880383386105883e-13,7.638804988672554e-14,0.0018375866202869058,-3.5446504588032157e-06,1.3083621609116453e-07,8.00700711818454e-05,0.0017280390697146336,-2.1104788032622522e-08,0.0003572709692004672,4.4204384915393825e-09,-1.977421669887127e-06,-2.2671587633310785e-12,1.8623203682342093e-13,5.6369404315688025e-15,5.56285444618042e-14,1.5491246508597815e-19,1.0,1.0,1.2155509245574541e-55,3.563592598260297e-53
200,0.8640675416833461,0.13043512524075634,14.999172390118293,0.10000000001264672,0.10000000000040776,0.09999999999936185,0.09999999999991027,-2.3441352188287787e-14,-2.6605025918806206e-14,-1.2894885109198383e-32,-1.5470472184168757e-31,3.432493027743988e-45,-4.901152730932695e-44,0.004160467073018433,1.2035642656543047e-06,7.989220599122582e-09,0.0001881468766545485,0.004438772683372733,-1.3664803099259233e-07,-0.0006988033113984359,5.203752079667649e-09,3.4992540323233874e-08,-3.2260386574313865e-12,1.3925951524664603e-13,6.097853678529861e-15,-1.0942126251536315e-13,-9.672156823578087e-14,0.0028228915201806586,3.7829217822743974e-06,-6.750729526580834e-08,0.0001251705640463905,0.0028729008137428395,1.9417933937317176e-09,-0.0004029630797836319,-1.793505428808742e-08,2.202668954805579e-06,3.96139737372315e-12,7.185686048131294e-14,-3.179362513624563e-14,3.791276630315799e-15,6.309032870925829e-19,1.0,1.0,1.2132182355851373e-55,3.5631495479321323e-53
300,0.8096897962975972,0.18780035394983316,14.989956825082649,0.1000000000069532,0.10000000000002984,0.09999999999831756,0.09999999999998821,2.3067310158113096e-14,8.690914265712503e-14,-7.356682875333054e-32,-4.3159360655989507e-32,4.1123159320285724e-45,-2.087174772592744e-43,0.0049560164036802174,8.100758082836249e-07,-1.4824422939082094e-08,0.00022393677582688125,0.005288211103622069,-2.511441457265934e-07,-0.0006742372947096413,-1.7851741146590574e-09,9.373769513903501e-08,8.663649080704908e-12,-6.276253014417541e-14,1.2254211195290873e-14,2.7422595895398776e-13,9.542965414592041e-14,0.003333549424307674,1.3030376045593253e-05,3.753970366005637e-09,0.00015064016150284922,0.005169576526477105,2.648816014698495e-08,-5.473325196929513e-05,-1.4856849382466961e-08,-3.6659283245826737e-06,-5.737898468821306e-12,3.4836081382791705e-14,3.974169639749697e-14,1.7665492642466606e-13,-1.5191051587008956e-19,1.0,1.0,1.213574533496343e-55,3.5711786335219997e-53
400,0.7662082776763162,0.24483352868425734,14.985149114754538,0.10000000000564112,0.09999999999957186,0.09999999999870979,0.10000000000004756,1.0493838154295133e-14,-2.0575357453396546e-15,-2.3670049542532838e-32,-1.2919583761655939e-30,-1.5982872968066862e-46,-1.9393505434623566e-44,0.005282243872446808,3.808561067154535e-06,7.428067886088729e-09,0.00024578930372505796,0.009251205455217482,2.926281830824096e-07,0.00025956622903493585,-4.831697617439025e-09,-2.7294869719820317e-07,-1.0312606062325043e-11,1.6598551312899825e-14,-1.2818839666547145e-14,1.4505718176557604e-12,6.494524603544608e-14,0.00360476309622328,1.6623870775133182e-05,1.585070586675738e-07,0.00016173127507275418,0.00532536413802643,4.635752016093243e-08,0.00024509166881585493,1.084532099992107e-09,1.1918296519975283e-06,1.2469352269231091e-12,7.426912829463243e-15,1.2681310561420614e-14,-1.1100908571759953e-13,5.413996363661974e-19,1.0,1.0,1.2139025647782292e-55,3.5695969592015644e-53
500,0.7167509446041207,0.28893594632918895,14.9814899487411,0.10000000000072988,0.10000000000035408,0.10000000000122058,0.10000000000000238,-2.14038383307868e-14,3.129068684223482e-14,1.6921862997132453e-32,3.1269317372291075e-31,4.6254155007648717e-45,4.4582815560151076e-45,0.005532129522045251,3.88513275232686e-06,-4.246662884790134e-09,0.000257575908098887,0.012120324510782474,-1.7315810938650526e-07,0.0012308372266970804,-5.685390470510116e-09,1.0585566011388092e-07,-1.5035135250470768e-11,1.1498369890537826e-14,1.4606272904595584e-14,-9.594749426606483e-13,-7.934753163809469e-14,0.0037473362903135353,2.696008049467045e-05,-4.083176607542368e-08,0.00016890163425548909,0.008915662164618756,5.7736231660646576e-08,0.0005227053606628191,1.638848516356952e-08,1.092625542730056e-06,-4.362112360628212e-12,1.813346003762089e-13,-1.0497695025773822e-14,-1.403629644428145e-13,4.295394548573046e-19,1.0,1.0,1.2149509261109476e-55,3.5656022711686886e-53
600,0.654931428482712,0.3429372936472515,14.968430976517464,0.09999999998452357,0.09999999999991886,0.0999999999997396,0.099999999999905,-1.3949400222259187e-15,2.996771780942015e-14,5.967579919086857e-32,1.2736298647693558e-30,-3.8927939011141715e-45,2.8827027948630307e-43,0.005608643266358122,6.245375121428089e-06,-1.4401165141714846e-09,0.00026613886834756157,0.016447527999031698,1.3785385592416879e-07,0.0002671577417969399,-3.397170513028242e-09,-3.802918395854224e-08,5.14949505733841e-12,3.193622779846171e-14,1.3801619888878936e-14,-5.944098727055434e-13,1.0805444411483675e-13,0.003818717425194134,3.6584170535842576e-05,7.376225435082015e-08,0.00017270808322324453,0.009822008174686266,1.0294565334031002e-07,0.00033483644033026447,-2.6750496521174235e-08,-3.3267979100056017e-06,-4.08479259069174e-12,9.575336720195751e-14,1.175476830035514e-14,-2.8041490552321985e-14,3.291216510779461e-19,1.0,1.0,1.2159612534850897e-55,3.5688957336988626e-53
700,0.6137004085302044,0.3649148740216412,14.9692744420016,0.09999999998110262,0.09999999999978222,0.10000000000041023,0.09999999999999969,-2.1262151210485003e-14,-7.566633620467513e-14,3.0101120466391614e-32,-7.0390017494306095e-31,3.2279210530846035e-45,-3.370793048087413e-44,0.005661553288531127,5.962728003518463e-06,-7.286172073520676e-10,0.00027699650061424006,0.020261704785734684,4.7099064986690633e-07,0.0010074236097817558,6.3046255440210655e-09,-9.560215834489096e-08,6.746131727265349e-12,-1.8158884117644576e-13,-1.697796220765459e-14,3.4724084850502703e-13,-5.855279899582755e-15,0.0038123106608885264,5.043617877823678e-05,1.1458158738512449e-07,0.00017627451061747438,0.01358262787137394,8.452198649044218e-08,0.0005451826341418643,-1.7216065318790936e-08,5.010238423780438e-07,-4.040727242415084e-12,1.1444836576194476e-13,3.867058829112105e-14,-5.86281346043492e-14,2.390910664323e-19,1.0,1.0,1.2146087373350937e-55,3.572616238072194e-53
800,0.5767000245002539,0.4033891211422853,14.956944718391707,0.09999999998483573,0.10000000000007699,0.10000000000162297,0.09999999999989473,6.4261521810762036e-15,9.445601813268592e-14,8.308866683693273e-33,6.221371454443849e-32,5.111059848699138e-45,2.029692643552125e-43,0.005692856293195558,7.33270760186029e-06,1.2119444768792107e-08,0.00027811821265224016,0.022637327085609893,4.0065187702176913e-07,0.0006183420181251357,-1.318011168637163e-09,-1.6249592425420906e-07,1.087436811635315e-12,1.2942135313294706e-13,-1.170111154173223e-14,-5.345463928902397e-13,-6.3033470192035115e-15,0.0038783584574695767,5.729881970540663e-05,4.2470995903458177e-07,0.00017633210213784074,0.015771333117724315,1.2943703204646466e-07,0.000494552314021857,5.334514803598466e-09,-5.479449180904849e-07,-4.115551398068331e-12,-1.1575941601116702e-13,9.595038642489216e-15,1.5053211316871267e-13,-5.28940908330906e-19,1.0,1.0,1.2145063869041421e-55,3.5654747438128824e-53
900,0.5549299203296755,0.446624921162612,14.955897582264207,0.09999999997832812,0.10000000000033905,0.09999999999945157,0.10000000000003315,2.5819291219132602e-14,5.801380635757327e-14,-7.664162203298564e-32,1.1918869015067646e-30,-5.168423981275859e-45,2.0139328235432377e-43,0.005763254688809954,1.0930808949243374e-05,-7.167276608162894e-09,0.0002809519477146878,0.02444184205074846,1.0438495429512164e-07,0.0016606357377778858,3.803104480935091e-09,-5.088886674537221e-08,1.3548662404000459e-12,-1.7333031760170636e-13,-6.028911590449324e-15,1.4370628172368921e-12,-1.522037641038118e-14,0.0038627405294735075,7.551247000453181e-05,4.174164251425695e-07,0.00018004874069584313,0.017381095583492573,1.484543816157474e-07,0.0003578374550159909,4.527529279370649e-08,-9.748215932194229e-07,-2.4164679469070894e-12,-4.337572046387984e-14,2.0367611604187498e-14,1.7296225669074357e-13,-2.103873882154195e-19,1.0,1.0,1.2143271519114676e-55,3.568889100810343e-53
