milliseconds,x,y,z
0,200000000.0,100000000.0,400000000.0
100,199876628.1658871,99974877.9640444,399824615.5952638
200,199753364.5776936,99949792.36623229,399649416.71104777
300,199630171.73000893,99924730.58135304,399474339.06757766
400,199507059.20656124,99899695.84104379,399299399.1082468
500,199384064.82873708,99874700.89869168,399124661.7255397
600,199261164.54166502,99849737.64298417,398950085.6470304
700,199138358.34534508,99824806.07392122,398775670.87271905
800,199015658.85322323,99799910.46508567,398601439.1145919
900,198893063.51471022,99775049.95230809,398427385.9822262
1000,198770569.80473375,99750223.6800645,398253507.1291226
1100,198648179.2673238,99725432.17974706,398079805.24225074
1200,198525894.6421049,99700676.39422292,397906285.08919156
1300,198403713.90764153,99675955.62779632,397732943.15217924
1400,198281637.06393367,99651269.88046727,397559779.43121386
1500,198159665.45057085,99626619.67737383,397386796.48681587
1600,198037798.21204853,99602004.68314609,397213992.6837553
1700,197916035.2582115,99577424.86244194,397041367.8497076
1800,197794376.5890598,99552880.21526141,396868921.9846727
1900,197672822.20459342,99528370.74160449,396696655.08865076
2000,197551372.10481235,99503896.44147119,396524567.16164166
2100,197430024.08322495,99479456.71857841,396352654.9521757
2200,197308777.89004388,99455051.50542358,396180918.0921683
2300,197187635.38615727,99430681.3048937,396009359.3238101
2400,197066596.57156506,99406346.11698881,395837978.6471012
2500,196945661.44626728,99382045.94170886,395666776.0620416
2600,196824830.01026392,99357780.7790539,395495751.5686313
2700,196704102.26355496,99333550.62902391,395324905.16687024
2800,196583478.20614046,99309355.49161887,395154236.8567584
2900,196462957.83802035,99285195.3668388,394983746.63829595
3000,196342541.15919468,99261070.2546837,394813434.5114827
3100,196222228.16966343,99236980.15515357,394643300.4763188
3200,196102018.86942658,99212925.0682484,394473344.53280413
3300,195981913.25848418,99188904.9939682,394303566.6809387
3400,195861911.3368362,99164919.93231298,394133966.9207226
3500,195742005.3240064,99140967.63296591,393964533.27305764
3600,195622201.1046213,99117049.79791453,393795274.7981242
3700,195502499.39693445,99093166.6348966,393626192.60177106
3800,195382900.20094588,99069318.14391209,393457286.68399835
3900,195263403.51665562,99045504.324961,393288557.044806
4000,195144009.34406367,99021725.17804335,393120003.68419397
4100,195024717.68317002,98997980.70315912,392951626.60216236
4200,194905528.53397465,98974270.90030833,392783425.79871106
4300,194786441.89647755,98950595.76949094,392615401.2738402
4400,194667457.7706788,98926955.310707,392447553.0275496
4500,194548576.15657827,98903349.52395648,392279881.0598394
4600,194429797.0541761,98879778.40923938,392112385.37070966
4700,194311120.4634722,98856241.96655573,391945065.9601602
4800,194192543.59274969,98832739.37925695,391777918.5040333
4900,194074061.69376445,98809269.2583603,391610935.64765894
5000,193955680.94750887,98785833.41196401,391444126.9649255
