miliseconds,Z,A,Y,GP
0,0.00845485560494183,0.45278379637293925,0.3649300632450869,1.0151986635725763
100,0.10033448768669492,0.5451586973383968,0.49483632747760453,0.77009085115076
200,0.11156383720603671,0.6382592987561829,0.6537718866132778,0.6058736436005331
300,0.11684653127147997,0.7101587388731363,0.831529498199752,0.4610751300317904
400,0.13361454404534467,0.8117288738857735,1.0185584364782976,0.31663807150979933
500,0.14790116324664682,0.8756665675162654,1.16046237347182,0.23606242397658686
600,0.15399495573041067,0.9295891248211395,1.2705361846944572,0.16730043239038733
700,0.18627398153420852,0.9851174140314974,1.410658469372705,0.12116605449504035
800,0.2243005646625607,0.983415941047325,1.4749652320400577,0.09269717858316696
900,0.2786513848986396,0.910868481923904,1.469457194999942,0.1506720759466275
1000,0.4725321609950556,0.5771723230225259,1.2288324285470282,0.3374550395010178
1100,0.7145499489723347,0.3093493192251473,0.6605452696648455,0.9793297419809296
1200,0.5997569087289629,0.2234399055463421,0.369736484698889,0.9967943257823175
1300,0.35333669593263617,0.24462212244989187,0.4272542010397828,0.92763851445084
1400,0.1988909159914068,0.29308043432299086,0.6207820258721132,0.7785838621230892
1500,0.13222771562853242,0.3889844683274806,0.8332523878185506,0.6270531498553205
1600,0.13463617141022005,0.4657402140670716,0.9943272544396311,0.46583376464918574
1700,0.14273015619454388,0.5614404978051283,1.1355665571756617,0.35638055394291956
1800,0.14903358016418597,0.6426056560683006,1.292924300561817,0.24786862634307819
1900,0.1716501595560545,0.7090774940324812,1.4044384777846646,0.16690951368325632
2000,0.21638146666874955,0.732725101805016,1.4695498004548655,0.14464553065653385
2100,0.2605573441211398,0.7273316182146368,1.4725637522920723,0.132054776186796
2200,0.4300942454786821,0.5250925483834126,1.2924200398745516,0.2829784564411812
2300,0.6781530203200349,0.30692058640920716,0.7791849204063271,0.8748857823581179
2400,0.6298321478162804,0.22973332722401757,0.4446225070365678,0.9933651416196714
2500,0.40647537240463705,0.2210439964724627,0.45169758422898454,0.9418175713174206
2600,0.24336048182609005,0.2893588010742591,0.607340751956314,0.8303017566052019
2700,0.14999287065806752,0.3709159476274817,0.8268574829089004,0.6791890975589189
2800,0.13211682043981154,0.44275393973637156,0.9897067431056618,0.515155719483614
2900,0.15060087229776603,0.545039501309875,1.1428845208643743,0.3801318045413942
3000,0.1594073609587726,0.6128930529421881,1.2764889029636382,0.27392474914557274
3100,0.18695860752651217,0.6858385604476357,1.3755015206985415,0.19718214954174107
3200,0.2168645691575895,0.7323698781848875,1.4660549787936954,0.1471047504967387
3300,0.2604073598382861,0.7147230046896965,1.4853849695666201,0.14946464259508016
3400,0.408703655874603,0.5375055515659052,1.297203573146907,0.2767560524682096
3500,0.6679877748869625,0.3143729578102136,0.8069542603715125,0.8566801846936016
3600,0.6212266252738523,0.23488848209304108,0.4651122988439011,0.9966569364185962
3700,0.3977234202921759,0.2304093301868954,0.45912133638252894,0.9490393206251598
3800,0.2354795415428614,0.2807474033228888,0.6100932418249123,0.8358159266274355
3900,0.1587525146016237,0.35242366193553915,0.8179846072583054,0.6763298737684521
4000,0.13895513728994874,0.4413620562803591,0.987468687279364,0.5179840796754805
4100,0.15272013053084998,0.5387110475451173,1.1235774304646247,0.3909245982977005
4200,0.15687943597545592,0.6185796172487764,1.2600777270585357,0.2544285390175776
4300,0.16852024139886018,0.691870457163584,1.4012940555224902,0.1982631500479682
4400,0.2103009104617239,0.7350580843077632,1.4816081726708155,0.14318233740981842
4500,0.27185900835662646,0.7049881540091936,1.469612075551994,0.14054855490448379
4600,0.41211441532312876,0.5358876613798136,1.2836561149382655,0.27779657681714726
4700,0.6578013487571421,0.3201708803070471,0.8082294371558525,0.8398460701687084
4800,0.6201190118772403,0.2447768251013549,0.45995179764850824,0.9998610673599636
4900,0.4114757893127543,0.2357321391070836,0.4523439379058167,0.9656994827479968
5000,0.24753777457033857,0.2828522423838798,0.6231795903343682,0.8277515731185359
