milliseconds,IR_beta,IR_beta_pY1146,IR_beta_refractory,IRS1,IRS1_p,IRS1_pS636,AMPK,AMPK_pT172,Akt_T308,Akt_pT308,Akt_S473,Akt_pS473,mTORC1,mTORC1_pS2448,mTORC2,mTORC2_pS2481,p70S6K,p70S6K_pT389,PRAS40_T246,PRAS40_pT246,PRAS40_S183,PRAS40_pS183,TSC1_TSC2_pT1462,TSC1_TSC2_pS1387,PI3K_variant,PI3K_variant_p
0,16.438466139182726,0.1375492720299517,-0.31492893656198556,18.94160354160104,0.0014762455403533805,-0.022900422680116352,20.749898019857675,0.13780807024688388,21.271087256872512,-0.1696413065784921,12.45304197040954,0.1232345066334134,25.117152079338876,-0.018413261731207543,18.84169146329434,-0.0731142580361401,14.306764999501297,-0.007098001864425288,13.513134122226392,-0.1924124390301691,17.524818822716163,-0.07728587319673626,14.725638381410262,0.21858822760965202,18.934666055881067,-0.001766895291873928
100,14.627230801328903,1.843437514664595,-0.20435447271021945,19.018245695157702,0.008698165447936466,-0.06332218379353381,20.122859913529624,0.17622183618000017,21.603940070027278,0.2651898579191929,12.27549292657598,0.12101812192645682,24.932436870677186,0.06723612831203987,18.896891847267558,-0.048374762008993315,14.297305309010579,-0.004309988737219521,13.756725915403774,-0.14165967365081739,17.62612387363249,-0.09951403250431563,15.122706649681941,-0.2802263326123476,18.91993449056139,0.015588792005720702
200,12.833461619210388,3.3006175076170825,-0.07662308582990068,18.88134661624856,0.03569099838527076,-0.03410969926374064,20.004277572100797,0.6443351331095134,20.933383122757306,0.592966180712476,12.329527609268583,-0.0835009821779483,24.878886813963284,0.3090317427596265,18.888519843104575,-0.10048557619142547,14.292042564859658,0.0013258088245551585,13.59052473416627,0.20659406315197495,17.36100279465859,0.10906423921835154,15.18075092512135,-0.16560309146469124,18.89834575235455,0.038999947643496215
300,11.684929345724761,4.65245588653162,0.29380413211264667,18.92086561259418,0.06458857630782969,-0.024395860358335665,18.845714781249818,1.3425599739916907,20.458911183353404,1.257916988825675,12.270572177799831,-0.12057258987859606,24.74573019045201,0.3710671283478884,18.829368255069536,0.12575892126823224,14.298408617421032,-0.0022942749222392145,13.373317498005635,0.12337546929809082,17.47185034311023,0.011418557837783117,14.582847763500599,0.3073317298408762,18.873189386208793,0.06300901664466255
400,10.313793318422926,6.091352016070539,0.8456906653450259,18.84406260954146,0.09107158164630529,0.025748060638568784,17.43690134893556,2.5728371055812094,19.263974370524366,1.8536271679382745,12.238561055275243,-0.043386613198226925,24.699342310171183,0.4257863848640463,18.703377021573143,0.15315351254206316,14.290621434249433,0.0034356222089023994,13.334722926166823,0.26403456539138853,17.41325922952132,0.23719871268190262,14.801561895765266,0.46014323741476093,18.841122274920924,0.08597219783813503
500,9.032005406058687,6.896751383267112,0.8175622427904157,18.724608476358767,0.1040203570695972,0.07782107369997865,16.26264236274508,4.490531693260692,18.037268259063275,3.324802839618367,11.83374292056667,0.19391508060792004,24.574621569389056,0.6191367035651225,18.683622946723666,0.18559339803632968,14.295728078571836,0.0004391942602911701,12.784117020398034,0.8369597523453072,17.193333257590034,0.3880079669747607,14.833253100390712,0.6090168722588115,18.826340502244562,0.10724886831497912
600,7.637580002198691,7.730382858745892,1.09104003105621,18.66644500139849,0.09391642501871697,0.09113500894936341,14.706306359295391,5.71795424421638,16.87213425858716,4.4065755467025065,11.524017773005307,0.7171912514106694,24.533104383403444,0.7036978218324935,18.578446491444698,0.387941562609331,14.29042450334363,0.011502868851222234,12.452272265875939,1.3509180805355505,17.05063669704705,0.35889239646521137,14.010736466798567,0.5938526756011087,18.80290669547598,0.12853503000312136
700,6.737027301075525,8.446463594258729,1.419945670163006,18.55338630753033,0.07914522315754804,0.21260643331806403,13.589078176161854,6.9806407111034545,15.856711451425637,5.5311548037417975,11.13627694557455,1.2212966219224106,24.284496040393563,0.796190931176827,18.411458017837216,0.30989305556216484,14.301919293276832,0.0063841724980440665,11.86063243593049,1.7278694144465347,17.029256896266386,0.5965505939188156,13.921958077641587,0.8902553703205855,18.794575559463762,0.1423556574119582
800,5.902774975268241,8.883450308773341,1.8459885621791774,18.56770270874791,0.061920281733925095,0.4181617116595982,12.8421936858784,8.130363468726765,15.163299452925095,6.554950115012097,10.792435867356586,1.718144502231016,24.248335888458374,0.7803413432198254,18.21677138623556,0.49367225518834,14.298009436116953,0.002959505700710379,10.983594758475714,2.3211814920827467,17.004488985409115,0.6204319963512409,13.33025153817068,1.635244816022407,18.778692760465617,0.14963227871914897
900,5.226180014653306,9.215356542159206,2.269149500304984,18.396345126175834,0.04906450828356028,0.4924662806928321,12.169624586768379,8.873749252437918,14.562193101042798,7.031441868068127,10.430349186949051,1.808985912611485,24.15540692526153,1.0132729122701136,18.181789265742132,0.6942975611953237,14.296891280353123,0.0190960166153105,10.623901512580575,2.9207673748502394,16.772811666823692,0.7986269158122594,13.222710968373875,1.7538176944290589,18.769466871636457,0.16017941694239352
1000,5.032199979672949,9.489073622961188,2.357823562317034,18.42900565815023,0.0409445143413836,0.5604907882387195,11.41282837603156,9.197030696710542,13.936733374343735,7.1617757581308235,9.932795343856602,2.1939229137772447,23.960973122679835,1.0780758894623126,18.166454665318405,0.5938335653406057,14.292846120561498,0.022309059144505518,10.191142896811394,3.530355038847787,16.749155527114944,1.0296793548095369,13.006732708593209,1.963894239672875,18.764558948160598,0.17377564290037206
1100,3.9495013941892285,9.763397483397283,2.7863414944858618,18.25895289418028,0.02951740064716181,0.5488683933382957,10.733019865772947,9.23163700869449,13.652407857255746,7.73597284587378,9.60158322673362,2.6236285895539906,23.964928678342964,1.0553140904488483,18.085550221472047,0.7077237721767168,14.288212902411017,0.015045836865102523,9.69954897204583,3.796719298525492,16.546535956424623,1.0028139581379059,12.357550108234479,2.5022911716213017,18.75752138939111,0.1711955629373112
1200,4.03007391229213,9.502429146650162,2.9628394485304694,18.12068608311392,0.027426889590373482,0.688211083680044,10.50964353401015,10.01314012733582,13.47620633458208,8.002452230930931,9.344840729548187,2.7929923257148372,23.814661956123174,1.2970839729204842,18.005872687599012,1.0211219330009578,14.280374340220913,0.016821988115792153,9.20298909937983,4.136515279105106,16.338741037485992,1.1511833850828264,12.335326554868493,3.0127104383929693,18.754626889469638,0.17747979178320003
1300,2.979074003999453,9.636075630941196,3.4403802360551294,18.18559163948425,0.02188783811306717,0.7474136094091638,10.250011907726357,10.303471284902308,13.420501731920783,7.8905274293311445,8.971939091326256,3.041659623181705,23.849220797967586,1.3209794753362003,17.85954406662338,0.9054525051430607,14.285767649736785,0.020164402201181066,8.948068425544346,4.501906222819803,16.37539909071154,1.178056590570787,11.854465288547702,3.278238541354369,18.758056899292075,0.18028945740056318
1400,2.8556749127195946,9.706484239521096,3.7335906899483726,18.080524116471626,0.017701446793731108,0.9303976875829317,10.572757378055893,10.036134263444527,13.172781618361691,8.303706653532542,8.976563540425515,3.3871218742955826,23.746272077013863,1.5852841954446433,17.635883896659596,1.223384989117103,14.27644811527931,0.02666258207239044,8.789934509533788,4.777150627005583,16.264546318982184,1.5210375273082157,10.941348822290104,3.391615717303041,18.75105320826292,0.18163522170802834
1500,3.042895782743181,9.475102775666778,4.5754907383221,17.924667022247167,0.014401892083384332,0.9795221518025926,10.302278493478603,10.197675583100198,12.96421803119082,8.278539635064908,8.582744523885957,3.839424139403211,23.682678427093812,1.501670892126425,17.607529640619703,1.3468184404696866,14.264112354841346,0.02309274301397468,8.499485288931385,4.827154602370413,15.991407219932592,1.4487049619562722,11.009608299966464,4.061519650627158,18.748352856591755,0.17803766194221174
1600,2.347066304615177,9.507851090304058,4.248970233571127,17.954617104711865,0.015317591404424822,0.976409250934078,9.849530339614146,10.552182645617163,12.713336773977197,8.587671401418621,8.406439684044832,3.7198888696066477,23.475083628358576,1.7390327077447485,17.408016368424978,1.3000642023152202,14.268156605861472,0.04403650906188089,8.41238360617232,5.008050949657379,16.035367287198767,1.585759154569499,10.685316423009567,4.225781965228112,18.753649409515663,0.1843988974274207
1700,1.7390875386008462,9.704618273006991,4.699410307887944,17.859031130473692,0.013938179547057911,1.2220844014327759,9.761720181081229,10.688290135663566,12.811070755219369,8.91180664946982,8.245811974405651,4.081724935789151,23.431277266793675,1.790605544779684,17.417184546562968,1.3907611538719482,14.268519327026494,0.0386169945521633,8.289436137879324,5.387389058204019,15.816694475647925,1.7302758720667395,10.428619768900113,4.531690875951066,18.754069439494366,0.1836907308800719
1800,1.977877550194831,9.34452516605403,5.625150324852139,17.668721431167356,0.009560010212719613,1.279839872807088,9.875228952886658,10.730964738472894,12.71912994182017,8.560835867835806,7.718029900593307,4.454066542168596,23.199921373220942,1.7968850002517012,17.21211957762243,1.5084740404863413,14.252766349655028,0.0422052932147454,8.258116688641737,5.524017358291599,15.660087028070915,1.8191386645175633,9.813327272143038,5.32266533430494,18.754154813922735,0.17662702404224098
1900,1.8725527803440905,9.092706489679035,5.507079897872186,17.614881076602288,0.010588109102071381,1.3694503243063332,9.967812643760873,11.09141917013454,12.283511373107912,8.874076066320011,7.705314804636964,4.3133002070722775,23.17844557490528,1.8667503032844137,17.179640732382598,1.8406238970225564,14.246584097115187,0.05875561579104517,7.817739346974241,5.719532463928884,15.67605924692171,2.0451857715665733,9.779008335545978,5.124151049758128,18.759590607843474,0.17310298781045488
