milliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,9.001852418498973e-08,4.65673602375422e-12,5.024906331290708e-09,-7.775284049113706e-13,1.6984545811949138e-07,-1.137102080745428e-11,2.487689067112135e-11,-4.944915327006105e-14,-7.782132303328578e-14,1.9999072567101752e-08,-3.314553156595149e-10,6.869033268331049e-10,2.666909036302898e-12,1.2137812121824503e-11,1.401538227567862e-06,-2.2520238258440813e-11,-3.740224319471584e-11,3.591392604339552e-10,1.2209633208568522e-16
100,8.900778067312893e-08,1.0016464737592904e-09,2.882655853401149e-09,3.899566805818289e-11,1.6880661897652473e-07,1.0912012763459156e-09,1.3995086112770437e-10,3.6207823405374596e-14,1.0318692424941423e-13,2.0278484070278827e-08,1.6218718128579223e-10,7.069667850968933e-10,1.2650409607819246e-11,-8.094840158002113e-12,1.4011119950633776e-06,7.472215216096838e-12,-3.61195652937001e-11,7.606572050752769e-10,1.1769415218456469e-15
200,8.889689770640305e-08,1.0632841683850722e-09,2.903872904261444e-09,7.877233260023325e-11,1.685798666705158e-07,1.0739574761665043e-09,2.6045918907443727e-10,3.448485017317656e-14,-1.152758113910841e-13,1.9548361870752315e-08,-2.0348949987962398e-10,7.064342675408671e-10,9.48055912009566e-12,-1.3428038054605219e-11,1.3984774044876665e-06,4.118341453723381e-11,1.5452425710633087e-11,5.215313976251709e-10,5.845084085022771e-16
300,8.890778559813317e-08,1.0510014306882595e-09,2.8968863725984523e-09,1.353023315374411e-10,1.6849528630866966e-07,1.0865753427661864e-09,4.2986733637758913e-10,-5.595504524832471e-14,-3.333479833201958e-14,2.0135993202484887e-08,-8.327958181308832e-12,6.846960954188254e-10,-4.621487101188134e-12,-9.878691138614721e-12,1.399166600417993e-06,-5.560920694580768e-11,-1.0667772060308278e-11,5.158703529185609e-10,-7.349744801272314e-16
400,8.878898000071759e-08,1.0650049061847038e-09,2.8608650342257364e-09,1.1009591399921727e-10,1.6840473433684295e-07,1.0837941727703176e-09,4.5659788455876397e-10,-2.8777970882623585e-14,6.344336698243468e-14,2.0118414131047966e-08,6.4957199251431e-11,7.084105826817434e-10,1.3298962530393429e-11,6.179792284110693e-12,1.4016513021777012e-06,1.9363075395137758e-11,-2.3632288129351747e-11,6.427721056095938e-10,-1.8303709035346984e-15
500,8.88220179227856e-08,1.0623538633478133e-09,2.8624690674439926e-09,1.498456257197918e-10,1.6840857858831196e-07,1.086286222761853e-09,5.977126591784499e-10,5.839152874896573e-14,7.229337595606337e-14,1.999301246617661e-08,3.52893189214062e-10,6.90030795277841e-10,-8.091450750287967e-12,-2.1005663527346536e-12,1.4007393723060013e-06,2.184928628762232e-11,-2.3744682047136818e-11,-1.5307856206754227e-09,-1.2510037953624898e-15
600,8.879099071619332e-08,1.0516308863114805e-09,2.864104917912001e-09,1.906993680259714e-10,1.680208419802115e-07,1.0862423602099322e-09,7.084653465547088e-10,-5.2291753672084466e-14,-5.21891840701793e-14,2.0154801240023766e-08,-5.445172346413574e-11,7.00129445535984e-10,1.449356803852144e-11,1.3391595212321686e-11,1.4007134258654467e-06,-4.781164450685354e-11,2.6935715618404214e-11,1.212868517978923e-09,1.4698075271246864e-15
700,8.873472728338908e-08,1.0576562737290441e-09,2.859200467329419e-09,2.0386803231506083e-10,1.6797845683375564e-07,1.0837732520368978e-09,8.720877980170792e-10,-6.735589694608701e-14,-7.41751668513411e-14,1.9818920092771315e-08,-1.4724151279520361e-10,7.07275791968715e-10,1.2394580594653778e-11,9.965808561053442e-13,1.4018998842014959e-06,1.0087835165383031e-11,-3.462666602391809e-12,-4.526408949434203e-10,-3.8015133507098844e-16
800,8.865658862214729e-08,1.059330026776459e-09,2.8761855831968334e-09,2.554534422595751e-10,1.679949312552949e-07,1.0663172192330238e-09,9.976006204037276e-10,7.186681795683085e-14,-5.934746410614699e-14,1.9491463753556543e-08,3.4427769046546417e-10,6.882044048373012e-10,-8.08479297837649e-12,-7.708898434064161e-12,1.4015185056407001e-06,-4.592403022364458e-12,1.5353279735734106e-11,2.6425136256100076e-10,-1.0004237046545222e-15
900,8.869912230339333e-08,1.0573424739095892e-09,2.8981745969760187e-09,2.543912548454929e-10,1.6769841717779547e-07,1.059778817247262e-09,1.0815941261062576e-09,5.95617350838969e-14,-5.0824874923790474e-14,1.9684446860707006e-08,1.7251518487160481e-10,7.080666105910746e-10,-8.722225522144121e-12,-9.946727543458788e-12,1.401235154608695e-06,4.7482761835372665e-11,-1.7919884145500028e-11,-1.5292097227644162e-09,-1.5431900772534937e-15
