milliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,8.999968162192104e-08,1.4158222564259877e-12,5.002987813330143e-09,-3.393245732966079e-11,1.7013988964629938e-07,1.2353465945294645e-11,1.382444269227498e-11,5.1400236895310095e-14,1.8912899631644606e-14,2.0038449328036886e-08,-3.298179250615944e-10,7.005546203431329e-10,-1.0233338481519366e-11,-8.613558787909481e-12,1.4010559814266229e-06,-3.7300319908746456e-11,2.0502198756751168e-11,1.8305606231510418e-09,1.3747525072744657e-15
100,8.896521873522011e-08,1.0149007704031298e-09,2.9181642748178593e-09,6.838986650232393e-11,1.6888768998662136e-07,1.0835976887950267e-09,5.3337649765104404e-11,-4.446091625609687e-14,-3.722378470355672e-14,1.957355396990542e-08,4.0007409646026955e-12,6.879741934714503e-10,1.3415770650002796e-12,-4.339710613801522e-12,1.401213704995345e-06,1.5989770667120218e-11,3.7912793627523225e-11,-1.2223658216460693e-09,1.1090297289935857e-15
200,8.889114403308932e-08,1.055897078467726e-09,2.8639486531905616e-09,2.0713539528524764e-11,1.6856066444213203e-07,1.0690549983180787e-09,2.1917533541718008e-10,-2.1493380807101877e-14,8.411002125764875e-14,1.994754110316615e-08,-1.2144079355041276e-10,6.997950021210496e-10,8.674652875991572e-12,1.1522459158357345e-11,1.399649630478118e-06,4.139865831234063e-11,-4.5985431373614296e-12,-1.148198947073103e-09,9.010602339254987e-16
300,8.883993825893651e-08,1.0512758272855102e-09,2.8689898444372956e-09,1.2111566468342249e-10,1.6843666370948947e-07,1.0653745172432774e-09,2.9536986718857044e-10,5.152858779352419e-14,-1.1778847635749966e-13,1.958509189232441e-08,1.402243445072001e-11,6.950188866159689e-10,1.2976085401216043e-11,-1.0996750335771505e-11,1.4011749466712302e-06,-8.257286029787193e-12,2.3455620975329178e-11,1.265086789833106e-09,-1.3459938075978153e-15
400,8.882630921051572e-08,1.0479995958058957e-09,2.8889987035876397e-09,1.3686831190448245e-10,1.6832105884746304e-07,1.085521886285634e-09,4.96545408988326e-10,3.3395156453690646e-14,-1.0547146202507484e-13,1.9760067641917435e-08,-2.0949323531970847e-10,6.918350525062395e-10,1.5104340847544293e-11,-5.851529337273443e-12,1.3982607117485958e-06,-4.290799596569616e-12,2.4242260538692385e-12,1.0120666058963566e-09,9.898039450982579e-16
500,8.878814896013681e-08,1.0588628969179686e-09,2.9056363744703132e-09,1.6623171043552783e-10,1.682897537648832e-07,1.0815238918006013e-09,6.370909051388278e-10,6.277237264255177e-14,3.2582002116940827e-14,1.9608356000448984e-08,2.733262458069687e-10,7.040645154357349e-10,-3.756973759625961e-12,-8.08223881137655e-12,1.3991120484750707e-06,-4.801838920346363e-11,3.564267496033858e-11,-6.281478211767116e-10,1.8467962536090274e-15
600,8.872637547172716e-08,1.0456254086793301e-09,2.852926206350544e-09,1.3995627138153812e-10,1.6813931284209182e-07,1.0742002891133783e-09,6.561943382319816e-10,-1.841372218444967e-14,-8.025008566652183e-14,2.024093794388154e-08,3.0385042400513723e-10,6.981775306159283e-10,-3.156560035223172e-13,1.2871999033408898e-11,1.398278311919114e-06,-5.0677542057292025e-11,4.65145376602849e-11,-1.3093807721732816e-09,1.9387073268728244e-15
700,8.871242287984735e-08,1.0407718067499463e-09,2.8742703427307793e-09,2.536333274433101e-10,1.6806408324389255e-07,1.0765461895022968e-09,7.518455428002707e-10,-2.5508120377812256e-14,6.03640139666405e-14,2.019734105783134e-08,4.1692640776258037e-10,6.839223643945329e-10,2.0932435215250188e-12,-1.156996955899145e-11,1.4014353511752376e-06,-5.0280706102048923e-11,-1.8194372760663285e-11,-7.49144114074719e-13,-1.7615223716748983e-15
800,8.866081312647921e-08,1.0547297607884771e-09,2.859493505233015e-09,2.816761674360955e-10,1.6813511598160553e-07,1.073243198019727e-09,8.756767334652511e-10,-1.600637035876788e-14,-1.180034090702351e-13,2.0165296720608883e-08,-1.7948680445674042e-10,6.979787292224461e-10,8.771779784284314e-12,2.5652012390436744e-12,1.400265516127388e-06,-2.8520214564647063e-11,-2.190851815047994e-12,-1.2802521710738725e-09,-6.555993573064985e-16
900,8.87168939848646e-08,1.047836308656743e-09,2.8593157799811922e-09,3.1369341993275416e-10,1.6776502716673217e-07,1.0578296683830898e-09,1.176833746895267e-09,2.958357087445941e-14,4.306175044173358e-14,1.9904970311303437e-08,-1.3259957242237028e-10,6.831673628291976e-10,-9.574515141013135e-12,-1.377381041539842e-11,1.4010171396260518e-06,4.9918222494022805e-11,-1.5064932734486657e-11,-1.861348617248836e-09,-8.076233150234002e-17
1000,8.866362843349957e-08,1.0386669341892095e-09,2.8981846369220783e-09,3.302110122163162e-10,1.6752825974404616e-07,1.0665046697691452e-09,1.2977730938999772e-09,4.478414313226241e-14,-1.0194682477495733e-13,1.974752682592135e-08,8.574906846651766e-11,7.009910328842196e-10,-5.468344176235357e-12,5.00144930162066e-12,1.3986304869783911e-06,-4.830293512722675e-11,2.5158151691168044e-11,-4.986371240096437e-10,-5.328070643567387e-16
1100,8.862080768087358e-08,1.0536906310840827e-09,2.899503639300982e-09,3.6569635252108605e-10,1.6776833756385316e-07,1.0610327746467369e-09,1.2818500509703832e-09,1.133428128551682e-14,1.5253841676229453e-15,1.9518243587140225e-08,-9.767517899116055e-12,6.862957903269445e-10,4.569319885947769e-12,-5.0909392309023445e-12,1.4014774623194024e-06,1.1592930438316176e-11,1.601618399597866e-13,1.3713992114507592e-09,1.6760040562983762e-15
1200,8.861738264029267e-08,1.0644146365110475e-09,2.8570993570781086e-09,3.304632899717308e-10,1.6757846295249054e-07,1.0753286105534143e-09,1.4051988243096414e-09,2.9204409515498765e-14,1.561864481877422e-14,1.9824940935013946e-08,2.8928734688036367e-10,6.811412045944751e-10,1.4910426351932626e-11,-9.010130960089902e-12,1.3993225540275406e-06,2.7122977698171054e-11,4.657458054238832e-13,-1.6253494117186373e-09,-1.8598616663399e-15
1300,8.852757537772465e-08,1.0442062488055645e-09,2.870842972671885e-09,4.060195258380262e-10,1.672637910906624e-07,1.0695681238054535e-09,1.650940428296336e-09,-3.4777791712917056e-14,1.9139091397854873e-14,1.9409098046238506e-08,4.6435284108844425e-10,7.049581832433606e-10,1.7789293933554937e-11,-4.721687222360799e-12,1.400805899393983e-06,6.988908659288375e-11,-2.4244959492476167e-12,1.4708112369633459e-09,9.265163401639466e-16
1400,8.84602416862352e-08,1.0514971925767659e-09,2.895889604403331e-09,3.994487241681268e-10,1.6715310858775183e-07,1.0691470891813468e-09,1.6373390728262473e-09,3.5138440057253965e-14,1.1680183452106389e-13,1.9569295675773082e-08,5.567707200199491e-10,7.031555723891747e-10,-4.292391893791384e-12,9.876819979366767e-12,1.3998072499871162e-06,6.756384447377281e-11,4.3161402504542735e-11,-5.065885626546232e-10,-2.7174005058060354e-16
1500,8.849788019089409e-08,1.0485025959689978e-09,2.8812455328083157e-09,4.348391620303997e-10,1.6722277878166662e-07,1.0591191301301087e-09,1.8288902376448798e-09,4.775033236407373e-14,-1.1315418478361032e-13,1.9763410139183784e-08,6.60671767325971e-10,7.029326746425182e-10,2.2725651272281076e-11,-9.99300888831625e-12,1.3999197537478267e-06,4.323182712848938e-11,3.893506802809823e-12,6.28991579032807e-10,1.8850232039437687e-15
1600,8.842962464237506e-08,1.042890732351343e-09,2.886717740365044e-09,5.169321904857546e-10,1.670612129853481e-07,1.0727068270789614e-09,2.0015812440198e-09,7.307802106641281e-14,1.2963505935907007e-13,1.9699746851704085e-08,5.179331110806628e-10,6.744327462653082e-10,4.641185275403605e-12,1.1109299818766971e-11,1.3983868961229864e-06,3.406292804786962e-11,1.0774742034786752e-11,1.1959736509409211e-09,-1.8508542532292196e-15
1700,8.839146859711411e-08,1.0610389339219734e-09,2.890194697621846e-09,5.232945624202092e-10,1.6700054599297206e-07,1.0597874942007893e-09,1.9490128954391074e-09,1.9287767071121645e-14,1.0584801927814863e-13,1.884212984752984e-08,9.266417309492225e-10,6.898833490933218e-10,2.0390438992108463e-11,6.914087036058417e-12,1.4005211009091754e-06,9.009990359275704e-11,3.6432637930252623e-11,-7.533234220185064e-10,-1.6109686288726747e-15
1800,8.838535473672164e-08,1.0573103600692736e-09,2.8558599232836938e-09,5.784391361489663e-10,1.6664308440614367e-07,1.0705843163579956e-09,2.1154323890009504e-09,6.705345707050375e-14,-9.686170566776431e-14,1.9346964963653158e-08,1.0475273129272584e-09,6.759343720724332e-10,7.328592192697828e-12,1.312805377990053e-12,1.3996960802452115e-06,7.179457075567569e-11,2.905744155210567e-11,1.1752952882951534e-09,-1.867077435252097e-15
1900,8.831081740997137e-08,1.0568283251074502e-09,2.8809337108235043e-09,5.679133667338173e-10,1.6667592080142745e-07,1.067891669394688e-09,2.212667907758313e-09,5.455974025649609e-14,-4.302294342639754e-14,1.9521999850360136e-08,1.039095152698974e-09,6.756102013131427e-10,1.1363739094851324e-11,7.20055147898722e-12,1.398378796176157e-06,-4.890833449188487e-12,6.872356037642552e-11,1.1671110147263378e-09,-3.0101046222106455e-16
2000,8.832003250882156e-08,1.0366085511337016e-09,2.8809273433743436e-09,6.795036915003792e-10,1.663477854003614e-07,1.0685519984142786e-09,2.306757843972891e-09,-4.02374022088225e-14,1.2704128196546393e-14,1.9371221112573994e-08,1.17519816004326e-09,6.791587676676805e-10,3.015794958989686e-11,8.189606758661751e-12,1.4005601447836364e-06,1.0031653504631513e-10,1.8949343533273093e-11,2.1195433883573578e-09,1.2778516118960396e-15
2100,8.831603734964523e-08,1.0627168059235637e-09,2.9046358764333493e-09,7.220582449190279e-10,1.662609224974245e-07,1.0593984627663021e-09,2.3926382469342742e-09,-3.037839962283187e-14,4.795005210670575e-14,1.843768266313835e-08,1.0405772391118554e-09,6.902421118374045e-10,3.469205308519418e-11,8.84182944358281e-12,1.3977422904094317e-06,1.876558022877135e-11,8.0983770137966e-11,1.832838520545438e-09,1.3628055952935852e-15
2200,8.820215438329243e-08,1.0616994140067026e-09,2.8803628473151995e-09,7.04811699595782e-10,1.6631730789225397e-07,1.0568719679906525e-09,2.6180913742936577e-09,-1.1243085682359582e-14,-4.253280545507058e-14,1.9024170968755867e-08,1.3352328614745295e-09,6.640132871124227e-10,3.066795997507697e-11,4.249658970902886e-12,1.3991177356382162e-06,1.0298409840430813e-10,7.306407725629237e-11,9.835757541482292e-12,-7.816011061716604e-16
2300,8.822277627197e-08,1.049391802947423e-09,2.8846871772775924e-09,7.119575227992136e-10,1.6617485459166762e-07,1.0577944206184287e-09,2.6911020600595256e-09,2.871580352507465e-14,-3.875559612761046e-14,1.8953905807202502e-08,1.033495223011273e-09,6.549790719777578e-10,1.861398213738847e-11,-2.430015775550331e-12,1.3991019887212794e-06,5.631503168723712e-11,9.6279319710867e-11,1.7299195671451438e-09,-1.902069567585979e-15
2400,8.812205146397733e-08,1.057883090732524e-09,2.8615067083179415e-09,8.145876793481527e-10,1.6604727258170836e-07,1.0536139034162572e-09,2.7585712304096552e-09,-1.995795679442616e-14,4.474275536865616e-14,1.804570975107706e-08,1.1419022200744522e-09,6.634307480487599e-10,1.9422402803443627e-11,-1.1388045624722049e-11,1.399068225176087e-06,1.0204635373127745e-10,8.987459715722634e-11,2.72864763734662e-09,-2.3135484757386134e-15
