milliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,8.997402761821136e-08,-5.020423146359233e-12,5.009747066610822e-09,-4.0343578058680416e-11,1.6991845863707317e-07,-1.1733926550132725e-11,-4.6543603531325806e-11,2.383899586489198e-14,-1.2341080534841811e-14,2.000081626497729e-08,-2.9542898647452074e-10,6.873710516500176e-10,1.4209466468780818e-11,-2.6829632707883735e-12,1.4010086976673863e-06,-5.2258971642913106e-11,2.4628398492907055e-11,-1.0144411430798668e-09,-1.0287085026431076e-15
100,8.894327068390554e-08,1.025000857974363e-09,2.8733534627959597e-09,5.474401097644853e-11,1.6892949039451575e-07,1.0850287960938178e-09,1.4561754423326247e-10,-1.3371218668882163e-14,-1.442058047835592e-14,1.9818738008160315e-08,1.245111255440927e-10,7.051976767311526e-10,9.793537681044587e-12,-1.16052547403055e-11,1.4007274723455345e-06,8.726501966227266e-13,1.698533044927989e-11,7.580969572722661e-10,-1.7181564795338484e-15
200,8.887760320665126e-08,1.0517559825654657e-09,2.8636253773915336e-09,2.6453516355933113e-11,1.6884149445398013e-07,1.0731509556391492e-09,1.4542441684507968e-10,4.3396803379604365e-14,-7.396562377697141e-14,1.9555675944277556e-08,3.1037922219519074e-10,7.114682494687632e-10,-9.961838278228518e-12,-2.195727418188068e-12,1.398706976588584e-06,8.194341547228997e-12,4.621677990906413e-11,-6.450104971784844e-11,-1.1277295964510986e-15
300,8.885010713132424e-08,1.0445513459175827e-09,2.8992666238261035e-09,4.266851223782465e-11,1.6870407311364763e-07,1.0650552892596452e-09,2.8571777795567043e-10,3.5151167021102305e-14,-1.0017782449301132e-13,1.9966458572469453e-08,1.6382772319851213e-10,6.984340219918045e-10,8.109191500621612e-13,-4.8794449750739435e-12,1.4006275735174253e-06,3.480066681881326e-11,1.6495753748170907e-11,-3.797709147556233e-10,1.67453865036053e-15
400,8.880053390973386e-08,1.0623535396513523e-09,2.847175715678359e-09,1.63143125084377e-10,1.6855298142931505e-07,1.0586581087128044e-09,5.276721902915272e-10,-3.227423414644513e-14,-9.154851898153932e-14,2.0283040021566908e-08,2.5672489387889824e-10,7.109432845155516e-10,1.0796270034459139e-11,3.822082158956764e-12,1.4001857827991883e-06,3.4640194537815934e-11,2.2192484072348434e-11,2.5447692030716154e-10,-1.3168712495988197e-15
500,8.884477850064205e-08,1.056527286829242e-09,2.8964505903668544e-09,1.75848192862965e-10,1.6818037324524028e-07,1.0700164455963972e-09,6.053024949706865e-10,-3.469140367262577e-14,8.117506955906674e-14,2.0232172086564207e-08,2.5269408359343353e-10,7.073103928868505e-10,-4.961762152580391e-13,1.2263586474973766e-11,1.4010186861447808e-06,3.476716313820561e-11,1.1890248906990446e-11,7.837373070965387e-10,6.22250957383979e-16
600,8.872910434380594e-08,1.0366956739082773e-09,2.9007244009304566e-09,1.9958685289344747e-10,1.6802208497840475e-07,1.0702861602735262e-09,7.633186500038384e-10,2.8852400030474506e-14,1.2747049325999515e-14,1.9714051485989885e-08,-1.3694452741090686e-10,7.098105191666291e-10,-6.103894524908553e-12,-1.09067667702841e-11,1.4013596789645485e-06,2.973616573843481e-11,-3.821858317880748e-11,6.460161414819258e-14,1.8125160567170453e-16
700,8.869462110146069e-08,1.0405354108624434e-09,2.865926950204138e-09,2.4109085479198215e-10,1.682194663521596e-07,1.0593692569708264e-09,8.687164594832175e-10,4.117382933677333e-14,-8.089417610319774e-14,1.945850913677757e-08,1.1473097052068747e-10,6.865280682042098e-10,-6.406744834326012e-12,-5.19082869278277e-12,1.3989524004745474e-06,1.044013106466774e-11,1.653008308364799e-11,1.8688301755005395e-09,1.172778080585237e-15
800,8.86648651089143e-08,1.040610330138314e-09,2.8502499918515035e-09,2.399412682557937e-10,1.677950723686667e-07,1.0754605485537337e-09,9.261325495691736e-10,5.649476284723918e-15,-1.0013037688309256e-13,1.948314074039183e-08,4.1449129669217523e-10,6.929351518186359e-10,1.5260268102384636e-11,8.480139301455047e-12,1.4011106005528732e-06,3.2741314496575253e-11,-4.023315164565434e-11,1.8326429416650445e-09,1.7471953720765776e-15
900,8.865639839527117e-08,1.0567606202129097e-09,2.907183085821386e-09,2.420685639081166e-10,1.6781824319568982e-07,1.0732363307344798e-09,1.0199658317770757e-09,-5.337901919286148e-15,-1.2351999785339572e-13,1.959746288654372e-08,4.4965539367676226e-10,6.871104205305835e-10,9.703983946620037e-12,-1.2509817102709482e-11,1.401299031017455e-06,3.3229608560082033e-12,3.2983005761979266e-11,1.6716000507654271e-09,1.7100904802543204e-16
1000,8.863412165342045e-08,1.0520209202386164e-09,2.9042789095328776e-09,3.1747746406068224e-10,1.678264541468558e-07,1.0764601965377182e-09,1.2206413016427489e-09,3.82200081257807e-14,-5.55196690058069e-14,1.9440575256877067e-08,5.224017197145201e-10,6.869211978005887e-10,1.0521315767819053e-12,-1.3869681691499427e-11,1.398541412632525e-06,-5.725177158562069e-11,1.685153135102393e-11,-6.50376681591704e-10,7.777220896322304e-16
1100,8.855638203790658e-08,1.0570065086631353e-09,2.9069946140733767e-09,3.2890437682713973e-10,1.674477590124086e-07,1.0570363075154592e-09,1.2915273729182662e-09,3.086016626698291e-14,-3.577694796586939e-14,1.9517286133116707e-08,7.2133918760635e-11,6.987243511107243e-10,6.040913738587199e-13,-7.80047149607684e-12,1.4018548132829204e-06,-3.0065913612211046e-11,1.9869378860771908e-11,9.43856853110925e-10,-1.9672280517603646e-15
1200,8.854915887451272e-08,1.0569486635447348e-09,2.8555736300217132e-09,4.108617161857635e-10,1.6759522808520325e-07,1.0671779597622785e-09,1.3714230653993216e-09,-1.8312491604455937e-14,-9.142571415682134e-14,1.919707772992783e-08,8.532228147617752e-11,6.9343255654386e-10,7.230201894916654e-12,-5.120069131125269e-12,1.4015257244876064e-06,2.380508201176889e-12,-2.5012683740340097e-11,-1.8614688321415077e-09,-1.0579142056495624e-15
