milliseconds,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,I
0,9.002183536530255e-08,1.170691184713851e-11,4.987539840004157e-09,-3.2618622413087554e-11,1.701051829301662e-07,5.986929778636334e-12,5.5260065494967376e-11,-4.2769733134248104e-14,-8.548608771968217e-14,2.0196041795410972e-08,-1.31775057276883e-10,7.091809595285064e-10,-1.4158031766253573e-11,1.1218441547906819e-11,1.3999951285033716e-06,2.934706310305782e-11,-2.041872854462443e-11,-4.3947594698098924e-11,-3.504598582839141e-16
100,8.892895819586711e-08,1.0017621063127845e-09,2.9073882207904825e-09,2.0276086915403592e-11,1.6889691868122035e-07,1.0918088840088472e-09,2.1074360585254654e-10,7.016388293284039e-14,-8.770105145701652e-15,2.0435323081637397e-08,-8.10898288177649e-11,7.03335652731926e-10,1.0040803774997936e-11,1.3579304265457077e-11,1.400494423844407e-06,-6.085421466461634e-11,-4.466398494297628e-11,-9.084235254990566e-10,1.1557588992942121e-15
200,8.888487355309623e-08,1.052183077230681e-09,2.8923006475605375e-09,7.333921077338024e-12,1.6869148335384094e-07,1.0895442657091076e-09,2.0803718363972654e-10,-3.917152081513547e-14,-8.101884618482226e-14,1.9892785260190938e-08,2.60321582596704e-10,6.861580704320871e-10,6.903764526936885e-12,2.7143704179215818e-12,1.398811364504271e-06,1.0836234548157302e-12,-1.64405212448466e-13,-1.0680112304836728e-09,1.4144930327523247e-15
300,8.8874553931891e-08,1.0369675855051092e-09,2.869960888477623e-09,1.3440121461887e-10,1.6865800747703667e-07,1.0607547316141713e-09,4.159815163013834e-10,-4.685768796920285e-14,4.996575921920147e-14,1.9562710958983017e-08,4.595751704301141e-12,7.103440151843936e-10,-4.02485104713283e-12,-6.186900577619234e-12,1.4016348777313092e-06,-4.913090419697095e-11,3.46471066561736e-11,1.1381653490032726e-09,-1.1033540074740279e-15
400,8.887837533997929e-08,1.050179363893145e-09,2.8477408336974573e-09,1.0814934855888761e-10,1.6858535387133896e-07,1.085144278077443e-09,5.716146997396259e-10,5.779878803709155e-14,-5.697545332234118e-14,1.9513822216966535e-08,2.034278940101331e-10,6.984467385875334e-10,6.002551852453345e-12,-1.1624886923808389e-11,1.3990551046535878e-06,5.844588834905637e-11,6.191063983990697e-13,1.3322637973583653e-09,1.4293502884485815e-16
500,8.882274412019728e-08,1.0618934689855776e-09,2.862441396513309e-09,1.4338060770869337e-10,1.684058571617808e-07,1.0858123063154782e-09,6.164740996615734e-10,2.477872521557062e-14,4.5024935804446886e-14,2.0221246109869625e-08,1.6661768344014552e-10,7.096973553907976e-10,6.818498507138303e-13,1.2027934313120363e-11,1.401998150818542e-06,-4.2767096770294635e-11,-2.8007783827553072e-11,-1.472928208425487e-09,1.5033321684745437e-15
600,8.877364749407607e-08,1.0493752932328746e-09,2.868286611242716e-09,1.5334846749730374e-10,1.680644949204086e-07,1.0651718896445846e-09,6.362205713025338e-10,4.791765822424121e-14,1.1049486307192125e-13,1.968673950364849e-08,2.1838457843423836e-10,6.899671054515733e-10,7.553293241371036e-12,-1.0766933680124993e-11,1.3981553730633236e-06,1.8988374832637247e-11,-1.141828115919202e-11,-1.1520392610660814e-10,-1.819734116163772e-15
700,8.870795019970723e-08,1.0648626384773007e-09,2.863456525372366e-09,2.368747427270037e-10,1.6815119289705132e-07,1.0589670821903905e-09,8.310600018201236e-10,5.665058076818352e-15,5.939588744491966e-14,1.9929448728380688e-08,4.609983444790532e-11,7.117417749849479e-10,8.57674297592098e-12,1.0440726026453083e-11,1.4015371010235876e-06,-2.988458804379421e-11,-3.864558072691359e-11,1.771567254230116e-09,5.644000532050532e-16
800,8.870513813533311e-08,1.0512254546902236e-09,2.8786777595687347e-09,2.579997445345833e-10,1.6803361573916302e-07,1.0805066443181394e-09,9.914178844082764e-10,4.747899825201822e-14,6.033938698924202e-14,1.986135644191933e-08,4.4996513937755384e-10,6.830450556054428e-10,-5.143270697481486e-12,-8.545861412741943e-12,1.3979969875882508e-06,-1.1096418151936586e-11,-1.408999330080324e-11,4.846590213930252e-10,-2.916864179500648e-16
900,8.864393958255763e-08,1.0387158937585114e-09,2.8649933160999947e-09,2.5056485700479513e-10,1.6775623580779834e-07,1.0626632903835476e-09,1.0753991613365626e-09,6.687819511630726e-14,7.086855513156536e-14,2.005696770282017e-08,2.4297912636474405e-10,6.986531883280626e-10,3.2001543027136887e-12,1.311438068994846e-11,1.4009166788372526e-06,-2.5783927326665708e-11,3.109832287413297e-11,9.83117068016651e-10,-1.912950744044998e-15
