milliseconds,x,y,y0
0,0.011087224270217697,0.2035640564971682,0.4903100738142625
100,0.011213428834334266,0.22421537661284352,0.4593328815188778
200,0.02943746103217501,0.26634117863174317,0.41716230170167756
300,0.0274220998155602,0.28364154528246127,0.37655285013406176
400,0.02572195797944086,0.29556673550063434,0.3250347281841492
500,0.0464456726574905,0.3059311799934674,0.2905615403200422
600,0.04471867563528313,0.3081421433856395,0.28557973740537496
700,0.034412520049385394,0.304670526191058,0.2510040489005599
800,0.04047599888603438,0.297725873407589,0.2371136699367779
900,0.04888360031383344,0.3012026612496796,0.2145111861007336
1000,0.046603880552428915,0.2902913204445723,0.1884160829546451
1100,0.057230265966608324,0.29601125291828184,0.18396821021314858
1200,0.07052010130677892,0.2890687904201843,0.18378032458984597
1300,0.07547467551502057,0.2798836781894676,0.17632009814035066
1400,0.0632657401828263,0.2732761833936371,0.1469238611856086
1500,0.08942522394678633,0.2694204346944018,0.1546968800890757
1600,0.08541890131379765,0.2552510057394462,0.13919739684473514
1700,0.09268664196627908,0.25267910021479445,0.1395380610217559
1800,0.12280395311452703,0.24373021140669401,0.13874207851487183
1900,0.1360849434692272,0.24724197751262522,0.15187298429476115
2000,0.15401352252891737,0.2398268371400311,0.15703142071934933
2100,0.1656025754388086,0.2267676377984202,0.15742048688555457
2200,0.1794945848599258,0.23047008801305752,0.16930786767849262
2300,0.1910501081679424,0.22231300039466265,0.17934064159912924
2400,0.24016092909967043,0.22651879062700608,0.17894292288975092
2500,0.2680799032625969,0.221726846187894,0.1909736384996356
2600,0.2827051550561552,0.23726628101816272,0.20807478732007356
2700,0.33124856501757755,0.22800560683128404,0.24769154298177293
2800,0.3459646145488315,0.24083797731339027,0.2555495330997708
2900,0.4002171584790372,0.2475964106444963,0.29907810869946816
3000,0.45044361666037014,0.26980489180809014,0.3111235844611383
3100,0.5039335658014361,0.27560122009592436,0.3608519475663731
3200,0.5361224348071544,0.2889125000694347,0.39857740446020407
3300,0.5882435476397042,0.3094893082592833,0.4184338011183428
3400,0.6374661799870056,0.32440436297983144,0.47394101665315347
3500,0.6852968496400524,0.3522690353383291,0.504974988278587
3600,0.752153982682989,0.3712059925104806,0.5651749306991672
3700,0.7809239705297364,0.40460824641276405,0.6016882298592142
3800,0.7991997671248928,0.4460150489898998,0.6542055848188525
3900,0.8483890920368914,0.4828145755561819,0.7072102644308955
4000,0.8456402110860489,0.516353672651071,0.7615061560417518
4100,0.8596301701969301,0.5416160619713954,0.7939159823037725
4200,0.8447769485823787,0.5840369353467425,0.8507151595334276
4300,0.8332643003811101,0.6352561716268409,0.8691643529047514
4400,0.7847564432601668,0.6597324852454022,0.8882086759364385
4500,0.7398249238465234,0.7002165219663128,0.9064233588371554
4600,0.697887376957146,0.7402413527698376,0.9185384437268095
4700,0.6610794503027483,0.7649520724217488,0.9131095846383533
4800,0.5793292097671617,0.7966160266707734,0.9253755989707217
4900,0.5341113780226671,0.832903440657822,0.901719480556486
5000,0.485190758687244,0.8593166589798202,0.8634278651845908
