miliseconds,alpha,beta,gamma
0,0.46426856471563965,0.20112478324564975,0.33527602927290434
100,0.432777053507843,0.24904900257554513,0.31874860558006707
200,0.4148193418333161,0.27877502024514744,0.30530552034530073
300,0.4025071906351465,0.29739993821662,0.3038596870139999
400,0.39169087648705553,0.30947820530401693,0.3024333344618895
500,0.3795435601591172,0.3180578023110053,0.3012131930463662
600,0.37076514632231206,0.32436625441199085,0.30624430168798594
700,0.36328310649787665,0.3266617018309446,0.30378553937408964
800,0.3609700638845713,0.3281333704121452,0.31295002739983346
900,0.35797268647801767,0.3308187271647699,0.3156777015068324
1000,0.3529077668712998,0.33227400073648994,0.31581768645889613
1100,0.34475657587872727,0.33151392709513455,0.3188949500502989
1200,0.33940628181308713,0.3321821249967926,0.32312408762772277
1300,0.3344383119060307,0.3323777101678833,0.3306922667660222
1400,0.3301770460363498,0.3328980359862918,0.33635185888776453
1500,0.32808040481653716,0.33291374458993733,0.3369508452180017
1600,0.32027456137634935,0.33366838851561936,0.34163937881302164
1700,0.31760407574871735,0.3318613580531173,0.3476273846486804
1800,0.31330757481250876,0.3336284144002969,0.35387594688775054
1900,0.30840460354137916,0.3327558557422218,0.3604615977416639
2000,0.30407447775973967,0.3330781310231687,0.36145225223472377
2100,0.30087211423833593,0.3325818785192589,0.365575909165599
2200,0.30010201900469935,0.33237073724124505,0.3732445726332478
2300,0.2899704039610852,0.33047031795443205,0.3740270179329541
2400,0.28791476823612466,0.3311929251611399,0.37903859436265674
2500,0.28139446906730814,0.3310332889119578,0.3829817413027718
2600,0.2808876136217644,0.33067716199969444,0.3903449163927698
2700,0.2746634734320203,0.32999135615098873,0.3970320361038928
2800,0.27316898259972433,0.3293044953187996,0.4017805595392546
2900,0.2652065740942872,0.32711153532883896,0.40349603997964784
3000,0.26397952764360977,0.3265426845200015,0.40743268943851785
3100,0.2603585056418732,0.327341274998116,0.415286002859364
3200,0.2565088825497165,0.32673757487826816,0.4157284086637876
3300,0.25057575506588853,0.3250656107749223,0.4223973515426223
3400,0.24987554666575595,0.32434774431541386,0.4244003420753503
3500,0.24798883361658433,0.32365493977991044,0.429678106124439
3600,0.2428564088100745,0.32303612405717663,0.4394399310102781
3700,0.23367485683498962,0.32236691162202735,0.4414641430932956
3800,0.22996197317387423,0.32099180087408113,0.4429013159817542
3900,0.22905248629949046,0.32089685235586785,0.4477892476470202
4000,0.22468474547678355,0.31841748396568204,0.4548969966950752
4100,0.2223904535821221,0.31858507143462395,0.45993778954247305
4200,0.21665241709030095,0.31764936950548117,0.46720250023427756
4300,0.21434263683468724,0.315403472368526,0.471704798893173
4400,0.20937908306410602,0.3144571466653848,0.47596518519922454
4500,0.20443443830029667,0.3133332900668123,0.48187460056450737
4600,0.20501493719992958,0.31167505435297466,0.48505139011266274
4700,0.19771655550631767,0.31153878248531097,0.4901514084425131
4800,0.19900057629512388,0.30997666294356824,0.49585082932643476
4900,0.1951831010399103,0.30845965070892206,0.4959514548000356
5000,0.1926747165117499,0.30673691125384267,0.5003741900055092
