miliseconds,alpha,beta,gamma
0,0.46499485658462003,0.2003006053546413,0.33891549821214706
100,0.43016537652660175,0.24973530200604,0.32079030466356706
200,0.4132215301433347,0.27919858757438376,0.30638918802426895
300,0.3989471460992996,0.29798079128362387,0.3052510337094815
400,0.3853059843375597,0.30981229119063963,0.3026182317432674
500,0.38195509013790985,0.3190552137072741,0.2993139164393179
600,0.3726427549994201,0.32279688185313554,0.3061921836049148
700,0.36943880571584814,0.32695988025837636,0.30800700080173143
800,0.36003416750996065,0.32913363024684805,0.30929300768075935
900,0.3529717194065902,0.33041421246710173,0.31226789620103756
1000,0.3490488568863804,0.33266121921815955,0.31519022287111303
1100,0.3443673025452935,0.3325038830809961,0.3248639689584879
1200,0.3428783915211742,0.3330340902657571,0.3267020559192299
1300,0.3378947790367892,0.3339120580489222,0.32892203133680964
1400,0.32931577143850693,0.3331377209518691,0.33461559339817465
1500,0.3242642758153271,0.3323213368314883,0.33777360275912804
1600,0.3198354259423577,0.332879599372341,0.3444570155228639
1700,0.3164111527083134,0.3319214387189778,0.34608043283133033
1800,0.3126992355737998,0.3335364951582005,0.35083726180680813
1900,0.31017645818186584,0.33189320494369556,0.3562693898753083
2000,0.30660366763521174,0.3327314260298584,0.36244804262412433
2100,0.3009346670434592,0.3319004394897441,0.36514604969692294
2200,0.29458613442022197,0.3314310786715963,0.3721579999257675
2300,0.29041928402088923,0.3302346302086766,0.373246744875075
2400,0.2916692770620972,0.3308564432954547,0.38169474792172015
2500,0.28240193868224706,0.32948493050175204,0.3841492960936349
2600,0.2784611241710419,0.33094813113939314,0.3909782013259466
2700,0.2774810289315463,0.32968817535723877,0.3952890554374509
2800,0.26889506948794717,0.32953596299471455,0.4019624910335785
2900,0.26767516809851954,0.32887359939881466,0.40048449666793
3000,0.2632366939231903,0.32801784820913715,0.4066566562713631
3100,0.25994050961836623,0.32765817738187825,0.4141845861937054
3200,0.25925713515225335,0.3267116683419567,0.4192049799028935
3300,0.24985557276225817,0.3243680529736468,0.4205570781159574
3400,0.2491151613782723,0.3243374728254087,0.42449284155117234
3500,0.24142948395429498,0.3242713606553138,0.43231533548189094
3600,0.24205390484328612,0.322193609659521,0.43810465187251313
3700,0.2371727440410109,0.32289068618649536,0.4424840781035196
3800,0.2306629302517246,0.3213501304586999,0.44481342844578586
3900,0.23128053812093602,0.3200394069537389,0.4477198967660771
4000,0.228858662715195,0.3179709110774728,0.45618937351017375
4100,0.22176259779635604,0.3186177055116834,0.45706680386682214
4200,0.21831453346101437,0.3169304768727387,0.46241983990215535
4300,0.2121331172452746,0.31544261409729724,0.4674616236417635
4400,0.2096303221381804,0.31550472042603217,0.47136103950136127
4500,0.20583976864980208,0.3135023926539577,0.47870756645405377
4600,0.20154171870728635,0.31254569416132183,0.4832705777444282
4700,0.20217772215047752,0.3107318615450367,0.48989284777737135
4800,0.19527927988040392,0.30943390521273134,0.49116108477558795
4900,0.19624134174736144,0.3072943764445578,0.4960701013366938
5000,0.19128914033898434,0.3059438357322263,0.5035739607147464
