milliseconds,alpha,beta,gamma
0,0.4615115862811243,0.2004782142780932,0.3364333665851459
100,0.4344202020076047,0.2485512672380522,0.3208504080361523
200,0.4126440279576891,0.2781944142491183,0.30716070148654945
300,0.40013080248336974,0.29837366515087343,0.30277606137773677
400,0.38832152213789584,0.3108044754072621,0.3031433949465599
500,0.3799846513853413,0.3187282376158645,0.3013025934642383
600,0.3700172953510305,0.3243940611189863,0.3028503596921413
700,0.366845876702129,0.32627919017099616,0.30702505298609156
800,0.36413754232287,0.3294364645528927,0.3123444147342608
900,0.3549848366625077,0.33099361768040536,0.3115223643709383
1000,0.3493578085556392,0.33072249672282217,0.31827428735743307
1100,0.3426172105033,0.3319031518111131,0.3227311617641111
1200,0.34268233715384,0.3322362246842288,0.32832642218245317
1300,0.33947843633650976,0.3334503558465511,0.3331085474682883
1400,0.3341929089342378,0.3331485263319965,0.3332147696075284
1500,0.324057904371507,0.33256364114241266,0.3388340824171475
1600,0.3197047332311246,0.33257480342859624,0.3427339145998618
1700,0.32025530907946986,0.3341036937093958,0.3494051490667167
1800,0.31573530360980506,0.33220214395991804,0.35378218471908673
1900,0.3124679667560176,0.3330307556945691,0.35854091184770015
2000,0.3063666013202507,0.33308579724213144,0.36006982845398405
2100,0.3017527820668125,0.33172857409343365,0.36491936656620677
2200,0.2993090393587639,0.33133418668016545,0.3721260266446519
2300,0.2939132954633923,0.3318700180838928,0.37753753532138973
2400,0.2875379240891011,0.3303465594578089,0.3811035476284958
2500,0.28782620899740047,0.33101474574905837,0.3877510988717258
2600,0.27870838136354353,0.32933354503962897,0.391964896312339
2700,0.27694168445722017,0.3297542225905338,0.3968589681015945
2800,0.2717116307685938,0.32917143231319246,0.40102042369696295
2900,0.2660710277888951,0.3287597335432281,0.4006062670845255
3000,0.2627811958731679,0.327227045500421,0.4085872639553419
3100,0.2577953599037655,0.32683677217966056,0.41552900865231357
3200,0.2579304990319252,0.3265113527757874,0.4175705806750452
3300,0.2536804134270664,0.3257896829330632,0.4202988354807732
3400,0.24540189046832597,0.32533507494882624,0.427996718290415
3500,0.24362857463509374,0.3238875567495569,0.432378930716934
3600,0.24044120320435247,0.32240663450286583,0.43689181951481554
3700,0.2384098632511828,0.3220425178896687,0.4434408962365548
3800,0.2319059960133178,0.32172351592238996,0.448738498392953
3900,0.2284341693935486,0.31934030319000484,0.4476807061228483
4000,0.22363818048874295,0.3179863530919736,0.45272545456905866
4100,0.22117078319205766,0.3173703722594573,0.45686539388214764
4200,0.21558270365065668,0.31718888812278123,0.4660355849471467
4300,0.21781580317584773,0.3168338601041761,0.4714916701414716
4400,0.21315096563941965,0.31451461321699237,0.4756812293266883
4500,0.20929339499074978,0.3123514194503732,0.47727192467706747
4600,0.20651218159137394,0.3118455913762691,0.4861235604384272
4700,0.19793927714404377,0.31186134500742163,0.48923240235029875
4800,0.19685049495550602,0.3087176486421451,0.49443253526747
4900,0.19388167640538115,0.3093377892544885,0.4955409836773455
5000,0.18923629899278802,0.30600960370994523,0.5042619377790001
