miliseconds,alpha,beta,gamma
0,0.46036175734130236,0.19930582614690037,0.3393931523651856
100,0.4340650473278285,0.24791351596753153,0.319336273899421
200,0.41248728697167514,0.2778247836006201,0.3100923123032943
300,0.3965568896061889,0.2985379945916275,0.3002099322412148
400,0.3895179398353688,0.3091210801056118,0.3029608951333819
500,0.37938025849575957,0.31821531890256277,0.3021208642338886
600,0.3703731250594965,0.32435893680878614,0.3059158714634088
700,0.3642071293544772,0.3278291391736532,0.306466918499491
800,0.3617101199663499,0.32927118115828896,0.30807971271145423
900,0.35331146421133863,0.3295661767118187,0.3126098225084806
1000,0.3518299228156423,0.33088938698719783,0.3149637847354033
1100,0.3434889093725977,0.3333440136139602,0.32416091742560554
1200,0.34204568619626136,0.33325309213491644,0.32822253951887864
1300,0.33410810033810423,0.3323387718877391,0.3307840102664912
1400,0.3331901096113036,0.3328133803565128,0.3358915508091533
1500,0.3274908333055357,0.3321049418732133,0.341605120295745
1600,0.32173048904671625,0.333644380920547,0.3417611667156307
1700,0.317324980758149,0.33380986146085295,0.34838560809838354
1800,0.31295004429263107,0.3337650640769027,0.3543460659864231
1900,0.3113720485183449,0.3327755294675242,0.35549941456091494
2000,0.3075764419991949,0.3321485611513339,0.3621799366458539
2100,0.29843270744637956,0.332812109698401,0.3697747442771288
2200,0.29994396979574117,0.3320557363253522,0.3725810980386747
2300,0.2910280728261754,0.332359051834563,0.3730727787633502
2400,0.28786747222055703,0.3309386041914282,0.3831403671032535
2500,0.28364310961455913,0.3304928102863634,0.3822038595019122
2600,0.2831149762718483,0.3288702127507938,0.38743782889476336
2700,0.27525853952926094,0.3288208707350344,0.3916846209217009
2800,0.27459720233708407,0.328610995850853,0.4016554735339792
2900,0.2695030832496702,0.3285161677786337,0.4005136408542435
3000,0.26717566077670374,0.32840200404301817,0.4097010813731844
3100,0.25823740296538716,0.3261340131750782,0.41207307553640365
3200,0.2534476875410932,0.3258159265549168,0.4148648888251279
3300,0.255459359361695,0.32568466375811667,0.4244342922922105
3400,0.25146845569573395,0.32340969833176236,0.42541935866533975
3500,0.24401145991469572,0.32324023998738693,0.43322085841484465
3600,0.23941208817422038,0.32291649502429276,0.43841915192453546
3700,0.23773220835761022,0.32172686811305823,0.44403090290783154
3800,0.23224677510407532,0.321310507831351,0.44508808102456326
3900,0.23224341815608668,0.3202941423691746,0.44891838489719477
4000,0.22847548862455194,0.31814266262687674,0.45290796881454587
4100,0.2205125333349437,0.3186418562198345,0.45866416597626475
4200,0.21549621906903335,0.31712337561932324,0.4633377946637059
4300,0.21727317457995127,0.31473128860340277,0.46640679026955834
4400,0.20773457996265626,0.3148587221148715,0.4722857663053968
4500,0.20503110511424447,0.3145466465310207,0.48038862950614564
4600,0.2065557624904905,0.3116842801408581,0.485095607577903
4700,0.19795587699221015,0.31000692956582215,0.4909776954189759
4800,0.1964789842420943,0.3100782320601316,0.4906482720465016
4900,0.19431077301489566,0.30813834908522025,0.5002502546352435
5000,0.18740980121051937,0.3067318584126132,0.5042738215009279
